iso3,country_name_canonical,region,income_group,is_primary_analysis_sample,sample_inclusion_category,inclusion_reason,is_chile_focal,is_ai_leader_sensitivity,is_large_ai_power_sensitivity,is_latam_peer_sensitivity,is_eu_laggard_sensitivity,is_eu_member_or_laggard_sensitivity,has_comparable_region_income,leave_group_region,leave_group_income,special_case_flag,notes
BGR,Bulgaria,Europe & Central Asia,High income,True,mvp_preregistered,Included in preregistered 43-country MVP sample,False,False,False,False,False,False,True,Europe & Central Asia,High income,none,Primary analysis sample; sensitivity flags only; particiones predictivas eliminadas.
FIN,Finland,Europe & Central Asia,High income,True,mvp_preregistered,Included in preregistered 43-country MVP sample,False,False,False,False,False,False,True,Europe & Central Asia,High income,none,Primary analysis sample; sensitivity flags only; particiones predictivas eliminadas.
CRI,Costa Rica,Latin America & Caribbean ,High income,True,mvp_preregistered,Included in preregistered 43-country MVP sample,False,False,False,True,False,False,True,Latin America & Caribbean ,High income,none,Primary analysis sample; sensitivity flags only; particiones predictivas eliminadas.
CHL,Chile,Latin America & Caribbean ,High income,True,mvp_preregistered,Included in preregistered 43-country MVP sample,True,False,False,True,False,False,True,Latin America & Caribbean ,High income,none,Primary analysis sample; sensitivity flags only; particiones predictivas eliminadas.
USA,United States,North America,High income,True,mvp_preregistered,Included in preregistered 43-country MVP sample,False,True,True,False,False,False,True,North America,High income,none,Primary analysis sample; sensitivity flags only; particiones predictivas eliminadas.
CHN,China,East Asia & Pacific,Upper middle income,True,mvp_preregistered,Included in preregistered 43-country MVP sample,False,True,True,False,False,False,True,East Asia & Pacific,Upper middle income,none,Primary analysis sample; sensitivity flags only; particiones predictivas eliminadas.
IND,India,South Asia,Lower middle income,True,mvp_preregistered,Included in preregistered 43-country MVP sample,False,False,True,False,False,False,True,South Asia,Lower middle income,none,Primary analysis sample; sensitivity flags only; particiones predictivas eliminadas.
JPN,Japan,East Asia & Pacific,High income,True,mvp_preregistered,Included in preregistered 43-country MVP sample,False,True,True,False,False,False,True,East Asia & Pacific,High income,none,Primary analysis sample; sensitivity flags only; particiones predictivas eliminadas.
EST,Estonia,Europe & Central Asia,High income,True,mvp_preregistered,Included in preregistered 43-country MVP sample,False,False,False,False,False,False,True,Europe & Central Asia,High income,none,Primary analysis sample; sensitivity flags only; particiones predictivas eliminadas.
ARG,Argentina,Latin America & Caribbean ,Upper middle income,True,mvp_preregistered,Included in preregistered 43-country MVP sample,False,False,False,True,False,False,True,Latin America & Caribbean ,Upper middle income,none,Primary analysis sample; sensitivity flags only; particiones predictivas eliminadas.
BRA,Brazil,Latin America & Caribbean ,Upper middle income,True,mvp_preregistered,Included in preregistered 43-country MVP sample,False,False,False,True,False,False,True,Latin America & Caribbean ,Upper middle income,none,Primary analysis sample; sensitivity flags only; particiones predictivas eliminadas.
COL,Colombia,Latin America & Caribbean ,Upper middle income,True,mvp_preregistered,Included in preregistered 43-country MVP sample,False,False,False,True,False,False,True,Latin America & Caribbean ,Upper middle income,none,Primary analysis sample; sensitivity flags only; particiones predictivas eliminadas.
MEX,Mexico,Latin America & Caribbean ,Upper middle income,True,mvp_preregistered,Included in preregistered 43-country MVP sample,False,False,False,True,False,False,True,Latin America & Caribbean ,Upper middle income,none,Primary analysis sample; sensitivity flags only; particiones predictivas eliminadas.
PER,Peru,Latin America & Caribbean ,Upper middle income,True,mvp_preregistered,Included in preregistered 43-country MVP sample,False,False,False,True,False,False,True,Latin America & Caribbean ,Upper middle income,none,Primary analysis sample; sensitivity flags only; particiones predictivas eliminadas.
URY,Uruguay,Latin America & Caribbean ,High income,True,mvp_preregistered,Included in preregistered 43-country MVP sample,False,False,False,True,False,False,True,Latin America & Caribbean ,High income,none,Primary analysis sample; sensitivity flags only; particiones predictivas eliminadas.
GRC,Greece,Europe & Central Asia,High income,True,mvp_preregistered,Included in preregistered 43-country MVP sample,False,False,False,False,True,True,True,Europe & Central Asia,High income,none,Primary analysis sample; sensitivity flags only; particiones predictivas eliminadas.
ROU,Romania,Europe & Central Asia,High income,True,mvp_preregistered,Included in preregistered 43-country MVP sample,False,False,False,False,True,True,True,Europe & Central Asia,High income,none,Primary analysis sample; sensitivity flags only; particiones predictivas eliminadas.
HRV,Croatia,Europe & Central Asia,High income,True,mvp_preregistered,Included in preregistered 43-country MVP sample,False,False,False,False,True,True,True,Europe & Central Asia,High income,none,Primary analysis sample; sensitivity flags only; particiones predictivas eliminadas.
