bloque,variable,codigo_wb,nombre_wb,descripcion,unidad,escala,rango_min,rango_max,fuente,metodo_extraccion,url_api,url_web
Capital_Humano,tertiary_education_enrollment,SE.TER.ENRR,"School enrollment, tertiary (% gross)",Tasa bruta de matricula en educacion terciaria. Indicador de capital humano avanzado.,% bruto,Porcentaje,1.6942,166.3896,WDI,API v2 (source=2),https://api.worldbank.org/v2/country/all/indicator/SE.TER.ENRR?date=2018:2025&format=json&source=2,https://data.worldbank.org/indicator/SE.TER.ENRR
Capital_Humano,education_expenditure_pct_gdp,SE.XPD.TOTL.GD.ZS,"Government expenditure on education, total (% of GDP)",Gasto publico en educacion como porcentaje del PIB. Control de inversion en capital humano.,% PIB,Porcentaje,0.0,16.3905,WDI,API v2 (source=2),https://api.worldbank.org/v2/country/all/indicator/SE.XPD.TOTL.GD.ZS?date=2018:2025&format=json&source=2,https://data.worldbank.org/indicator/SE.XPD.TOTL.GD.ZS
Capital_Humano,rd_expenditure_pct_gdp,GB.XPD.RSDV.GD.ZS,Research and development expenditure (% of GDP),Gasto en investigacion y desarrollo como porcentaje del PIB. Indicador directo de capacidad cientifica nacional.,% PIB,Porcentaje,0.0055,6.3459,WDI,API v2 (source=2),https://api.worldbank.org/v2/country/all/indicator/GB.XPD.RSDV.GD.ZS?date=2018:2025&format=json&source=2,https://data.worldbank.org/indicator/GB.XPD.RSDV.GD.ZS
Capital_Humano,researchers_rd_per_million,SP.POP.SCIE.RD.P6,Researchers in R&D (per million people),Investigadores en I+D por cada millon de personas. Indicador de intensidad de capital cientifico.,por 1M personas,Ratio,1.4457,20047.0465,WDI,API v2 (source=2),https://api.worldbank.org/v2/country/all/indicator/SP.POP.SCIE.RD.P6?date=2018:2025&format=json&source=2,https://data.worldbank.org/indicator/SP.POP.SCIE.RD.P6
Innovacion,patent_applications_residents,IP.PAT.RESD,"Patent applications, residents",Solicitudes de patentes presentadas por residentes del pais. Indicador directo de produccion de innovacion domestica.,Numero,Absoluta,1.0,1426644.0,WDI,API v2 (source=2),https://api.worldbank.org/v2/country/all/indicator/IP.PAT.RESD?date=2018:2025&format=json&source=2,https://data.worldbank.org/indicator/IP.PAT.RESD
Innovacion,high_tech_exports_pct_manufactured,TX.VAL.TECH.MF.ZS,High-technology exports (% of manufactured exports),Exportaciones de alta tecnologia como porcentaje de las exportaciones manufactureras. Indicador de sofisticacion tecnologica de la canasta exportadora.,% exports manuf.,Porcentaje,0.0,95.6179,WDI,API v2 (source=2),https://api.worldbank.org/v2/country/all/indicator/TX.VAL.TECH.MF.ZS?date=2018:2025&format=json&source=2,https://data.worldbank.org/indicator/TX.VAL.TECH.MF.ZS
Innovacion,ict_goods_exports_pct,TX.VAL.ICTG.ZS.UN,ICT goods exports (% of total goods exports),Exportaciones de bienes TIC como porcentaje del total de exportaciones de bienes. Indicador de especializacion en bienes tecnologicos.,% exports bienes,Porcentaje,0.0,62.47,WDI,API v2 (source=2),https://api.worldbank.org/v2/country/all/indicator/TX.VAL.ICTG.ZS.UN?date=2018:2025&format=json&source=2,https://data.worldbank.org/indicator/TX.VAL.ICTG.ZS.UN
Innovacion,ict_service_exports_pct,BX.GSR.CCIS.ZS,"ICT service exports (% of service exports, BoP)",Exportaciones de servicios TIC como porcentaje de las exportaciones totales de servicios. Indicador de economia digital exportadora de servicios.,% exports servicios,Porcentaje,0.0081,63.9617,WDI,API v2 (source=2),https://api.worldbank.org/v2/country/all/indicator/BX.GSR.CCIS.ZS?date=2018:2025&format=json&source=2,https://data.worldbank.org/indicator/BX.GSR.CCIS.ZS
Gobernanza,control_of_corruption,CC.EST,Control of Corruption: Estimate,"Percepcion sobre el grado en que el poder publico se ejerce para beneficio privado, incluyendo corrupcion menor y grave, y captura del Estado por elites. Escala aprox. -2.5 a +2.5. Fuente: WGI (Worldwide Governance Indicators).",-2.5 a +2.5,Indice estandarizado,-2.0647,2.3172,WGI,Excel directo (govindicators/doc/wgidataset_with_sourcedata-2025.xlsx),WGI no disponible via API. Descargado de: https://www.worldbank.org/content/dam/sites/govindicators/doc/wgidataset_with_sourcedata-2025.xlsx,https://www.worldbank.org/en/publication/worldwide-governance-indicators
Gobernanza,government_effectiveness,GE.EST,Government Effectiveness: Estimate,"Percepcion sobre la calidad de los servicios publicos, la calidad del servicio civil y su grado de independencia de presiones politicas, la calidad de la formulacion e implementacion de politicas, y la credibilidad del compromiso gubernamental con dichas politicas. Fuente: WGI.",-2.5 a +2.5,Indice estandarizado,-2.2426,2.2796,WGI,Excel directo (govindicators/doc/wgidataset_with_sourcedata-2025.xlsx),WGI no disponible via API. Descargado de: https://www.worldbank.org/content/dam/sites/govindicators/doc/wgidataset_with_sourcedata-2025.xlsx,https://www.worldbank.org/en/publication/worldwide-governance-indicators
Gobernanza,political_stability,PV.EST,Political Stability and Absence of Violence/Terrorism: Estimate,"Percepcion sobre la probabilidad de inestabilidad politica o violencia con motivacion politica, incluyendo terrorismo. Fuente: WGI.",-2.5 a +2.5,Indice estandarizado,-2.7506,1.7589,WGI,Excel directo (govindicators/doc/wgidataset_with_sourcedata-2025.xlsx),WGI no disponible via API. Descargado de: https://www.worldbank.org/content/dam/sites/govindicators/doc/wgidataset_with_sourcedata-2025.xlsx,https://www.worldbank.org/en/publication/worldwide-governance-indicators
Gobernanza,regulatory_quality,RQ.EST,Regulatory Quality: Estimate,"Percepcion sobre la capacidad del gobierno de formular e implementar politicas y regulaciones solidas que permitan y promuevan el desarrollo del sector privado. ATENCION: este indicador mide calidad regulatoria GENERAL, no regulacion especifica de IA. Debe usarse como control institucional, no como proxy de regulacion de inteligencia artificial. Fuente: WGI.",-2.5 a +2.5,Indice estandarizado,-2.1727,2.2142,WGI,Excel directo (govindicators/doc/wgidataset_with_sourcedata-2025.xlsx),WGI no disponible via API. Descargado de: https://www.worldbank.org/content/dam/sites/govindicators/doc/wgidataset_with_sourcedata-2025.xlsx,https://www.worldbank.org/en/publication/worldwide-governance-indicators
Gobernanza,rule_of_law,RL.EST,Rule of Law: Estimate,"Percepcion sobre el grado en que los agentes confian y respetan las reglas sociales, en particular la calidad del cumplimiento de contratos, derechos de propiedad, la policia y los tribunales, asi como la probabilidad de delito y violencia. Fuente: WGI.",-2.5 a +2.5,Indice estandarizado,-2.3521,2.109,WGI,Excel directo (govindicators/doc/wgidataset_with_sourcedata-2025.xlsx),WGI no disponible via API. Descargado de: https://www.worldbank.org/content/dam/sites/govindicators/doc/wgidataset_with_sourcedata-2025.xlsx,https://www.worldbank.org/en/publication/worldwide-governance-indicators
Gobernanza,voice_accountability,VA.EST,Voice and Accountability: Estimate,"Percepcion sobre el grado en que los ciudadanos pueden participar en la eleccion de su gobierno, asi como la libertad de expresion, de asociacion y de prensa. Fuente: WGI.",-2.5 a +2.5,Indice estandarizado,-2.2898,1.9844,WGI,Excel directo (govindicators/doc/wgidataset_with_sourcedata-2025.xlsx),WGI no disponible via API. Descargado de: https://www.worldbank.org/content/dam/sites/govindicators/doc/wgidataset_with_sourcedata-2025.xlsx,https://www.worldbank.org/en/publication/worldwide-governance-indicators
Gobernanza,control_of_corruption_se,CC.STD.ERR,Control of Corruption: Standard Error,Error estandar de la estimacion de Control de Corrupcion. Permite construir intervalos de confianza y evaluar la precision de la medicion. Fuente: WGI.,Error estandar,Incertidumbre,0.1478,0.9703,WGI,Excel directo (govindicators/doc/wgidataset_with_sourcedata-2025.xlsx),WGI no disponible via API. Descargado de: https://www.worldbank.org/content/dam/sites/govindicators/doc/wgidataset_with_sourcedata-2025.xlsx,https://www.worldbank.org/en/publication/worldwide-governance-indicators
Gobernanza,government_effectiveness_se,GE.STD.ERR,Government Effectiveness: Standard Error,Error estandar de la estimacion de Efectividad Gubernamental. Fuente: WGI.,Error estandar,Incertidumbre,0.1773,0.4911,WGI,Excel directo (govindicators/doc/wgidataset_with_sourcedata-2025.xlsx),WGI no disponible via API. Descargado de: https://www.worldbank.org/content/dam/sites/govindicators/doc/wgidataset_with_sourcedata-2025.xlsx,https://www.worldbank.org/en/publication/worldwide-governance-indicators
Gobernanza,political_stability_se,PV.STD.ERR,Political Stability: Standard Error,Error estandar de la estimacion de Estabilidad Politica. Fuente: WGI.,Error estandar,Incertidumbre,0.2165,0.5332,WGI,Excel directo (govindicators/doc/wgidataset_with_sourcedata-2025.xlsx),WGI no disponible via API. Descargado de: https://www.worldbank.org/content/dam/sites/govindicators/doc/wgidataset_with_sourcedata-2025.xlsx,https://www.worldbank.org/en/publication/worldwide-governance-indicators
Gobernanza,regulatory_quality_se,RQ.STD.ERR,Regulatory Quality: Standard Error,Error estandar de la estimacion de Calidad Regulatoria. Fuente: WGI.,Error estandar,Incertidumbre,0.1497,0.4849,WGI,Excel directo (govindicators/doc/wgidataset_with_sourcedata-2025.xlsx),WGI no disponible via API. Descargado de: https://www.worldbank.org/content/dam/sites/govindicators/doc/wgidataset_with_sourcedata-2025.xlsx,https://www.worldbank.org/en/publication/worldwide-governance-indicators
Gobernanza,rule_of_law_se,RL.STD.ERR,Rule of Law: Standard Error,Error estandar de la estimacion de Estado de Derecho. Fuente: WGI.,Error estandar,Incertidumbre,0.1322,0.6574,WGI,Excel directo (govindicators/doc/wgidataset_with_sourcedata-2025.xlsx),WGI no disponible via API. Descargado de: https://www.worldbank.org/content/dam/sites/govindicators/doc/wgidataset_with_sourcedata-2025.xlsx,https://www.worldbank.org/en/publication/worldwide-governance-indicators
Gobernanza,voice_accountability_se,VA.STD.ERR,Voice and Accountability: Standard Error,Error estandar de la estimacion de Voz y Rendicion de Cuentas. Fuente: WGI.,Error estandar,Incertidumbre,0.1361,0.5425,WGI,Excel directo (govindicators/doc/wgidataset_with_sourcedata-2025.xlsx),WGI no disponible via API. Descargado de: https://www.worldbank.org/content/dam/sites/govindicators/doc/wgidataset_with_sourcedata-2025.xlsx,https://www.worldbank.org/en/publication/worldwide-governance-indicators
