Country,2019,2020,2021,2022,2023,2024,2025
Malawi,0,0,0.0,0,0,0,0.0
Malaysia,50,50,50.0,100,100,100,100.0
Maldives,0,0,0.0,0,0,0,0.0
Mali,0,0,0.0,0,0,0,0.0
Malta,0,100,100.0,100,100,100,100.0
Marshall Islands,0,0,0.0,0,0,0,0.0
Mauritania,0,0,0.0,0,0,100,100.0
Mauritius,0,100,100.0,100,100,100,100.0
Mexico,50,50,50.0,0,0,50,50.0
Mongolia,0,0,0.0,0,0,0,0.0
Montenegro,0,0,0.0,0,0,0,0.0
Morocco,0,0,0.0,0,0,0,0.0
Mozambique,0,0,0.0,0,0,0,0.0
Myanmar,0,0,0.0,0,0,0,0.0
Namibia,0,0,0.0,0,0,0,0.0
Nepal,0,0,0.0,0,0,0,100.0
Netherlands,0,100,100.0,100,100,100,100.0
New Zealand,50,50,50.0,50,0,0,100.0
Nicaragua,0,0,0.0,0,0,0,0.0
Niger,0,0,0.0,0,0,0,0.0
Nigeria,0,0,0.0,50,50,100,100.0
North Macedonia,0,0,0.0,50,0,0,0.0
Norway,50,100,100.0,100,100,100,100.0
Oman,0,0,50.0,100,100,100,100.0
Pakistan,0,0,0.0,50,50,50,50.0
Panama,0,0,0.0,0,0,0,0.0
Papua New Guinea,0,0,0.0,0,0,0,0.0
Paraguay,0,0,0.0,0,0,0,0.0
Peru,0,0,100.0,100,100,100,100.0
Philippines,0,0,0.0,100,100,100,100.0
Poland,50,100,100.0,100,100,100,100.0
Portugal,0,100,100.0,100,100,100,100.0
Qatar,0,0,100.0,100,100,100,100.0
Republic of Korea,100,100,100.0,100,100,100,100.0
Republic of Moldova,0,0,0.0,0,100,100,100.0
Romania,0,50,50.0,50,50,100,100.0
Russian Federation,50,100,100.0,100,100,100,100.0
Rwanda,0,0,0.0,50,100,100,100.0
Saint Kitts and Nevis,0,0,0.0,0,0,0,0.0
Saint Lucia,0,0,0.0,0,0,0,0.0
Saint Vincent and the Grenadines,0,0,0.0,0,0,0,0.0
Samoa,0,0,0.0,0,0,0,0.0
San Marino,0,0,0.0,0,0,0,0.0
Sao Tome and Principe,0,0,0.0,0,0,0,0.0
Saudi Arabia,0,0,100.0,100,100,100,100.0
Senegal,0,0,0.0,0,100,100,100.0
Serbia,0,100,100.0,100,100,100,100.0
Seychelles,0,0,0.0,0,0,0,0.0
Sierra Leone,0,0,0.0,0,0,0,0.0
Singapore,100,100,100.0,100,100,100,100.0
Slovakia,0,100,100.0,0,100,100,100.0
Slovenia,0,50,100.0,100,100,100,100.0
Solomon Islands,0,0,0.0,0,0,0,0.0
Somalia,0,0,0.0,0,0,0,0.0
South Africa,0,0,0.0,0,0,50,50.0
South Sudan,0,0,0.0,0,0,0,0.0
Spain,0,100,100.0,100,100,100,100.0
Sri Lanka,0,0,0.0,0,50,100,100.0
State of Palestine,0,0,0.0,0,100,100,100.0
Sudan,0,0,0.0,0,0,0,0.0
Suriname,0,0,0.0,0,0,0,0.0
Sweden,100,100,100.0,100,100,100,100.0
Switzerland,0,0,0.0,0,0,0,0.0
Syrian Arab Republic,0,0,,0,0,0,0.0
Taiwan,100,100,100.0,100,100,100,100.0
Tajikistan,0,0,0.0,50,100,100,100.0
Thailand,0,0,0.0,100,100,100,100.0
Timor-Leste,0,0,0.0,0,0,0,0.0
Togo,0,0,0.0,0,0,0,0.0
Tonga,0,0,,0,0,0,0.0
Trinidad and Tobago,0,0,0.0,0,0,0,0.0
Tunisia,50,50,50.0,50,50,0,0.0
Türkiye,0,0,100.0,100,100,100,100.0
Turkmenistan,0,0,0.0,0,0,0,0.0
Uganda,0,0,0.0,0,0,0,0.0
Ukraine,0,50,50.0,100,100,100,100.0
United Arab Emirates,50,100,100.0,100,100,100,100.0
United Kingdom of Great Britain and Northern Ireland,100,100,100.0,100,100,100,100.0
United Republic of Tanzania,0,0,0.0,0,0,0,0.0
United States of America,50,100,100.0,100,100,100,100.0
Uruguay,50,100,100.0,100,100,100,100.0
Uzbekistan,0,0,0.0,50,50,100,100.0
Vanuatu,0,0,0.0,0,0,0,0.0
"Venezuela, Bolivarian Republic of",0,0,0.0,0,0,0,0.0
Viet Nam,0,0,100.0,100,100,100,100.0
Yemen,0,0,0.0,0,0,0,0.0
Zambia,0,0,0.0,0,0,100,100.0
Zimbabwe,0,0,0.0,0,0,0,0.0
"Venezuela, Bolivarian Republic of",0,0,0.0,0,0,0,
Viet Nam,0,0,100.0,100,100,100,
Yemen,0,0,0.0,0,0,0,
Zambia,0,0,0.0,0,0,100,
Zimbabwe,0,0,0.0,0,0,0,
