iso3,year,has_ai_law,regulatory_approach,regulatory_intensity,year_enacted,enforcement_level,thematic_coverage,regulatory_status_group,x1_source
AUS,2015,0,light_touch,1,,none,0,soft_framework,OECD
AUS,2016,0,light_touch,4,,none,0,soft_framework,OECD
AUS,2017,0,light_touch,6,,none,0,soft_framework,OECD
AUS,2018,1,regulation_focused,13,2018.0,low,0,binding_regulation,OECD
AUS,2019,1,regulation_focused,19,2018.0,medium,0,binding_regulation,OECD
AUS,2020,1,regulation_focused,17,2018.0,low,0,binding_regulation,OECD
AUS,2021,1,comprehensive,19,2018.0,medium,0,binding_regulation,OECD
AUS,2022,1,comprehensive,18,2018.0,medium,0,binding_regulation,OECD
AUS,2023,1,comprehensive,17,2018.0,medium,0,binding_regulation,OECD
AUS,2024,1,regulation_focused,17,2018.0,medium,9,binding_regulation,OECD
AUS,2025,0,strategy_led,5,,medium,11,strategy_only,IAPP
AUT,2013,1,regulation_focused,4,1999.0,medium,13,binding_regulation,OECD
AUT,2014,1,regulation_focused,4,1999.0,medium,13,binding_regulation,OECD
AUT,2015,1,regulation_focused,5,1999.0,medium,13,binding_regulation,OECD
AUT,2016,1,regulation_focused,7,1999.0,medium,15,binding_regulation,OECD
AUT,2017,1,regulation_focused,7,1999.0,medium,15,binding_regulation,OECD
AUT,2018,1,regulation_focused,9,1999.0,medium,16,binding_regulation,OECD
AUT,2019,1,regulation_focused,11,1999.0,high,16,binding_regulation,OECD
AUT,2020,1,regulation_focused,12,1999.0,high,18,binding_regulation,OECD
AUT,2021,1,regulation_focused,13,1999.0,high,20,binding_regulation,OECD
AUT,2022,1,regulation_focused,15,1999.0,high,20,binding_regulation,OECD
AUT,2023,1,regulation_focused,18,1999.0,high,25,binding_regulation,OECD
AUT,2024,1,regulation_focused,25,1999.0,high,25,binding_regulation,OECD
AUT,2025,1,comprehensive,10,2024.0,high,14,binding_regulation,IAPP
BEL,2013,0,light_touch,4,,none,0,soft_framework,OECD
BEL,2014,0,light_touch,4,,none,0,soft_framework,OECD
BEL,2015,0,light_touch,4,,none,0,soft_framework,OECD
BEL,2016,1,regulation_focused,6,2016.0,low,0,binding_regulation,OECD
BEL,2017,1,regulation_focused,8,2016.0,low,4,binding_regulation,OECD
BEL,2018,1,regulation_focused,10,2016.0,low,6,binding_regulation,OECD
BEL,2019,1,regulation_focused,12,2016.0,low,9,binding_regulation,OECD
BEL,2020,1,regulation_focused,12,2016.0,low,11,binding_regulation,OECD
BEL,2021,1,regulation_focused,12,2016.0,low,18,binding_regulation,OECD
BEL,2022,1,regulation_focused,12,2016.0,low,21,binding_regulation,OECD
BEL,2023,1,regulation_focused,13,2016.0,low,23,binding_regulation,OECD
BEL,2024,1,regulation_focused,14,2016.0,low,28,binding_regulation,OECD
BEL,2025,1,comprehensive,10,2024.0,high,14,binding_regulation,IAPP
BGD,2025,0,strategy_led,2,,low,4,strategy_only,IAPP
BGR,2013,0,none,0,,none,0,no_framework,OECD
BGR,2014,0,none,0,,none,0,no_framework,OECD
BGR,2015,0,none,0,,none,0,no_framework,OECD
BGR,2016,0,light_touch,1,,none,3,soft_framework,OECD
BGR,2017,0,light_touch,1,,none,3,soft_framework,OECD
BGR,2018,0,light_touch,1,,none,3,soft_framework,OECD
BGR,2019,0,light_touch,1,,none,3,soft_framework,OECD
BGR,2020,0,strategy_led,4,,none,9,strategy_only,OECD
BGR,2021,0,strategy_led,7,,none,13,strategy_only,OECD
BGR,2022,0,strategy_led,7,2022.0,none,13,strategy_only,OECD
BGR,2023,0,strategy_led,9,2022.0,none,15,strategy_only,OECD
BGR,2024,0,strategy_led,9,2022.0,none,15,strategy_only,OECD
BGR,2025,1,comprehensive,10,2024.0,high,14,binding_regulation,IAPP
BHR,2025,0,strategy_led,2,,low,3,strategy_only,IAPP
BLR,2025,0,light_touch,1,,none,1,soft_framework,IAPP
BLZ,2025,0,none,0,,none,0,no_framework,IAPP
BRA,2013,0,none,0,,none,0,no_framework,OECD
BRA,2014,0,none,0,,none,0,no_framework,OECD
BRA,2015,0,none,0,,none,0,no_framework,OECD
BRA,2016,0,none,0,,none,0,no_framework,OECD
BRA,2017,0,none,0,,none,0,no_framework,OECD
BRA,2018,0,strategy_led,2,,none,4,strategy_only,OECD
BRA,2019,1,comprehensive,6,2019.0,low,10,binding_regulation,OECD
BRA,2020,1,comprehensive,8,2019.0,medium,13,binding_regulation,OECD
BRA,2021,1,comprehensive,8,2019.0,high,13,binding_regulation,OECD
BRA,2022,1,comprehensive,9,2019.0,high,15,binding_regulation,OECD
BRA,2023,1,comprehensive,10,2019.0,high,15,binding_regulation,OECD
BRA,2024,1,comprehensive,10,2019.0,high,15,binding_regulation,OECD
BRA,2025,0,strategy_led,5,,medium,10,strategy_only,IAPP
BRB,2025,0,none,0,,none,0,no_framework,IAPP
CAN,2013,0,light_touch,1,,none,0,soft_framework,OECD
CAN,2014,0,light_touch,1,,none,0,soft_framework,OECD
CAN,2015,0,light_touch,1,,none,0,soft_framework,OECD
CAN,2016,0,light_touch,2,,none,0,soft_framework,OECD
CAN,2017,0,strategy_led,4,,none,0,strategy_only,OECD
CAN,2018,0,strategy_led,4,,none,0,strategy_only,OECD
CAN,2019,0,strategy_led,8,,medium,0,strategy_only,OECD
CAN,2020,0,strategy_led,9,,medium,0,strategy_only,OECD
CAN,2021,0,strategy_led,9,,medium,0,strategy_only,OECD
CAN,2022,0,strategy_led,9,,medium,0,strategy_only,OECD
CAN,2023,0,strategy_led,9,,medium,0,strategy_only,OECD
CAN,2024,0,strategy_led,9,,medium,0,strategy_only,OECD
CAN,2025,0,strategy_led,5,,medium,11,strategy_only,IAPP
CHE,2013,0,none,0,,none,0,no_framework,OECD
CHE,2014,0,none,0,,none,0,no_framework,OECD
CHE,2015,0,none,0,,none,0,no_framework,OECD
CHE,2016,0,light_touch,1,,none,2,soft_framework,OECD
CHE,2017,0,light_touch,2,,none,7,soft_framework,OECD
CHE,2018,0,light_touch,2,,none,7,soft_framework,OECD
CHE,2019,0,light_touch,2,,none,7,soft_framework,OECD
CHE,2020,0,strategy_led,3,,none,13,strategy_only,OECD
CHE,2021,0,strategy_led,4,,none,14,strategy_only,OECD
CHE,2022,0,strategy_led,5,,none,14,strategy_only,OECD
CHE,2023,0,light_touch,4,,none,10,soft_framework,OECD
CHE,2024,0,light_touch,4,,none,10,soft_framework,OECD
CHE,2025,0,light_touch,3,,low,7,soft_framework,IAPP
CHL,2013,0,none,0,,none,0,no_framework,OECD
CHL,2014,0,none,0,,none,0,no_framework,OECD
CHL,2015,0,none,0,,none,0,no_framework,OECD
CHL,2016,0,none,0,,none,0,no_framework,OECD
CHL,2017,0,none,0,,none,0,no_framework,OECD
CHL,2018,0,light_touch,2,,none,8,soft_framework,OECD
CHL,2019,0,light_touch,3,,none,8,soft_framework,OECD
CHL,2020,1,light_touch,7,2020.0,medium,15,soft_framework,OECD
CHL,2021,1,light_touch,7,2020.0,low,14,soft_framework,OECD
CHL,2022,1,light_touch,7,2020.0,low,14,soft_framework,OECD
CHL,2023,1,light_touch,7,2020.0,low,14,soft_framework,OECD
CHL,2024,1,light_touch,7,2020.0,low,14,soft_framework,OECD
CHL,2025,0,strategy_led,4,,low,8,strategy_only,IAPP
CHN,2025,1,comprehensive,9,2021.0,high,13,binding_regulation,IAPP
CMR,2025,0,none,0,,none,0,no_framework,IAPP
COL,2013,0,light_touch,1,,none,2,soft_framework,OECD
COL,2014,0,light_touch,1,,none,2,soft_framework,OECD
COL,2015,0,light_touch,1,,none,2,soft_framework,OECD
COL,2016,0,light_touch,1,,none,2,soft_framework,OECD
COL,2017,0,light_touch,1,,none,2,soft_framework,OECD
COL,2018,0,light_touch,4,,none,16,soft_framework,OECD
COL,2019,0,light_touch,5,,none,17,soft_framework,OECD
COL,2020,1,light_touch,12,2020.0,medium,19,soft_framework,OECD
COL,2021,1,light_touch,12,2020.0,medium,20,soft_framework,OECD
COL,2022,1,light_touch,12,2020.0,medium,21,soft_framework,OECD
COL,2023,1,light_touch,12,2020.0,medium,18,soft_framework,OECD
COL,2024,1,comprehensive,17,2020.0,high,19,binding_regulation,OECD
COL,2025,0,strategy_led,3,,low,7,strategy_only,IAPP
CRI,2013,0,none,0,,none,0,no_framework,OECD
CRI,2014,0,none,0,,none,0,no_framework,OECD
CRI,2015,0,none,0,,none,0,no_framework,OECD
CRI,2016,0,none,0,,none,0,no_framework,OECD
CRI,2017,0,none,0,,none,0,no_framework,OECD
CRI,2018,1,regulation_focused,8,2018.0,high,2,binding_regulation,OECD
CRI,2019,1,regulation_focused,12,2018.0,high,2,binding_regulation,OECD
CRI,2020,1,regulation_focused,14,2018.0,high,20,binding_regulation,OECD
CRI,2021,1,regulation_focused,12,2018.0,high,20,binding_regulation,OECD
CRI,2022,1,regulation_focused,12,2018.0,high,20,binding_regulation,OECD
CRI,2023,1,regulation_focused,12,2018.0,high,20,binding_regulation,OECD
CRI,2024,1,comprehensive,14,2018.0,high,22,binding_regulation,OECD
CRI,2025,0,strategy_led,2,,low,4,strategy_only,IAPP
CYP,2013,0,light_touch,1,,none,3,soft_framework,OECD
CYP,2014,0,light_touch,2,,none,3,soft_framework,OECD
CYP,2015,0,light_touch,2,,none,3,soft_framework,OECD
CYP,2016,0,light_touch,2,,none,3,soft_framework,OECD
CYP,2017,0,light_touch,2,,none,3,soft_framework,OECD
CYP,2018,0,light_touch,2,,none,3,soft_framework,OECD
CYP,2019,0,strategy_led,3,,none,3,strategy_only,OECD
CYP,2020,0,strategy_led,3,,none,3,strategy_only,OECD
CYP,2021,0,light_touch,2,,none,3,soft_framework,OECD
CYP,2022,0,light_touch,3,,none,4,soft_framework,OECD
CYP,2023,1,light_touch,5,2023.0,low,7,soft_framework,OECD
CYP,2024,1,light_touch,5,2023.0,low,7,soft_framework,OECD
CYP,2025,1,comprehensive,10,2024.0,high,14,binding_regulation,IAPP
CZE,2013,0,light_touch,1,,none,2,soft_framework,OECD
CZE,2014,0,light_touch,1,,none,2,soft_framework,OECD
CZE,2015,0,light_touch,1,,none,2,soft_framework,OECD
CZE,2016,0,light_touch,1,,none,2,soft_framework,OECD
CZE,2017,0,light_touch,2,,none,5,soft_framework,OECD
CZE,2018,0,light_touch,4,,none,7,soft_framework,OECD
CZE,2019,0,light_touch,4,,none,7,soft_framework,OECD
CZE,2020,0,light_touch,7,,none,8,soft_framework,OECD
CZE,2021,0,light_touch,6,,none,6,soft_framework,OECD
CZE,2022,0,light_touch,6,,none,6,soft_framework,OECD
CZE,2023,0,light_touch,8,,none,8,soft_framework,OECD
CZE,2024,0,strategy_led,9,,none,8,strategy_only,OECD
CZE,2025,1,comprehensive,10,2024.0,high,14,binding_regulation,IAPP
DEU,2013,0,light_touch,1,,none,3,soft_framework,OECD
DEU,2014,0,light_touch,1,,none,3,soft_framework,OECD
DEU,2015,0,light_touch,2,,none,7,soft_framework,OECD
DEU,2016,0,light_touch,4,,none,12,soft_framework,OECD
DEU,2017,0,light_touch,6,,none,13,soft_framework,OECD
DEU,2018,0,strategy_led,11,,medium,16,strategy_only,OECD
DEU,2019,0,strategy_led,15,,medium,20,strategy_only,OECD
DEU,2020,0,strategy_led,16,,medium,23,strategy_only,OECD
DEU,2021,1,comprehensive,22,2021.0,medium,24,binding_regulation,OECD
DEU,2022,1,comprehensive,23,2021.0,medium,25,binding_regulation,OECD
DEU,2023,1,comprehensive,24,2021.0,medium,25,binding_regulation,OECD
DEU,2024,1,comprehensive,24,2021.0,medium,25,binding_regulation,OECD
DEU,2025,1,comprehensive,10,2024.0,high,14,binding_regulation,IAPP
DNK,2013,0,light_touch,1,,none,3,soft_framework,OECD
DNK,2014,0,light_touch,1,,none,3,soft_framework,OECD
DNK,2015,0,light_touch,1,,none,3,soft_framework,OECD
DNK,2016,0,light_touch,1,,none,3,soft_framework,OECD
DNK,2017,0,light_touch,2,,none,3,soft_framework,OECD
DNK,2018,0,light_touch,2,,none,3,soft_framework,OECD
DNK,2019,0,light_touch,4,,medium,5,soft_framework,OECD
DNK,2020,0,light_touch,5,,medium,5,soft_framework,OECD
DNK,2021,1,light_touch,6,2021.0,medium,5,soft_framework,OECD
DNK,2022,1,light_touch,6,2021.0,medium,9,soft_framework,OECD
DNK,2023,1,light_touch,7,2021.0,medium,11,soft_framework,OECD
DNK,2024,1,strategy_led,10,2021.0,medium,21,strategy_only,OECD
DNK,2025,1,comprehensive,10,2024.0,high,14,binding_regulation,IAPP
ECU,2013,0,none,0,,none,0,no_framework,OECD
ECU,2014,0,none,0,,none,0,no_framework,OECD
ECU,2015,0,none,0,,none,0,no_framework,OECD
ECU,2016,0,none,0,,none,0,no_framework,OECD
ECU,2017,0,none,0,,none,0,no_framework,OECD
ECU,2018,0,none,0,,none,0,no_framework,OECD
ECU,2019,0,none,0,,none,0,no_framework,OECD
ECU,2020,0,none,0,,none,0,no_framework,OECD
ECU,2021,0,none,0,,none,0,no_framework,OECD
ECU,2022,0,none,0,,none,0,no_framework,OECD
ECU,2023,0,none,0,,none,0,no_framework,OECD
ECU,2024,0,none,0,,none,0,no_framework,OECD
ECU,2025,0,light_touch,1,,none,2,soft_framework,IAPP
EGY,2013,0,none,0,,none,0,no_framework,OECD
EGY,2014,0,none,0,,none,0,no_framework,OECD
EGY,2015,0,none,0,,none,0,no_framework,OECD
EGY,2016,0,none,0,,none,0,no_framework,OECD
EGY,2017,0,none,0,,none,0,no_framework,OECD
EGY,2018,0,none,0,,none,0,no_framework,OECD
EGY,2019,0,strategy_led,3,,medium,0,strategy_only,OECD
EGY,2020,1,comprehensive,6,2020.0,medium,0,binding_regulation,OECD
EGY,2021,1,comprehensive,6,2020.0,medium,0,binding_regulation,OECD
EGY,2022,1,comprehensive,6,2020.0,medium,0,binding_regulation,OECD
EGY,2023,1,regulation_focused,6,2020.0,medium,0,binding_regulation,OECD
EGY,2024,1,regulation_focused,6,2020.0,medium,0,binding_regulation,OECD
EGY,2025,0,strategy_led,3,,low,6,strategy_only,IAPP
ESP,2013,1,regulation_focused,2,1998.0,low,5,binding_regulation,OECD
ESP,2014,1,regulation_focused,2,1998.0,low,5,binding_regulation,OECD
ESP,2015,1,regulation_focused,4,1998.0,low,12,binding_regulation,OECD
ESP,2016,1,regulation_focused,6,1998.0,medium,13,binding_regulation,OECD
ESP,2017,1,regulation_focused,6,1998.0,medium,13,binding_regulation,OECD
ESP,2018,1,regulation_focused,6,1998.0,medium,13,binding_regulation,OECD
ESP,2019,1,regulation_focused,6,1998.0,medium,13,binding_regulation,OECD
ESP,2020,1,regulation_focused,7,1998.0,medium,14,binding_regulation,OECD
ESP,2021,1,comprehensive,13,1998.0,medium,20,binding_regulation,OECD
ESP,2022,1,comprehensive,18,1998.0,medium,21,binding_regulation,OECD
ESP,2023,1,comprehensive,20,1998.0,high,21,binding_regulation,OECD
ESP,2024,1,comprehensive,23,1998.0,high,26,binding_regulation,OECD
ESP,2025,1,comprehensive,10,2024.0,high,14,binding_regulation,IAPP
EST,2013,0,none,0,,none,0,no_framework,OECD
EST,2014,0,none,0,,none,0,no_framework,OECD
EST,2015,0,none,0,,none,0,no_framework,OECD
EST,2016,0,none,0,,none,0,no_framework,OECD
EST,2017,0,none,0,,none,0,no_framework,OECD
EST,2018,0,light_touch,1,,none,0,soft_framework,OECD
EST,2019,0,strategy_led,5,,medium,0,strategy_only,OECD
EST,2020,0,strategy_led,8,,medium,0,strategy_only,OECD
EST,2021,0,strategy_led,8,,medium,0,strategy_only,OECD
EST,2022,0,strategy_led,10,,medium,0,strategy_only,OECD
EST,2023,0,strategy_led,11,,medium,0,strategy_only,OECD
EST,2024,0,light_touch,10,,medium,0,soft_framework,OECD
EST,2025,1,comprehensive,10,2024.0,high,14,binding_regulation,IAPP
FIN,2013,0,none,0,,none,0,no_framework,OECD
FIN,2014,0,none,0,,none,0,no_framework,OECD
FIN,2015,0,none,0,,none,0,no_framework,OECD
FIN,2016,0,none,0,,none,0,no_framework,OECD
FIN,2017,0,light_touch,1,,none,7,soft_framework,OECD
FIN,2018,0,light_touch,2,,none,8,soft_framework,OECD
FIN,2019,0,light_touch,3,,none,13,soft_framework,OECD
FIN,2020,1,comprehensive,7,2020.0,low,19,binding_regulation,OECD
FIN,2021,1,comprehensive,8,2020.0,low,21,binding_regulation,OECD
FIN,2022,1,comprehensive,9,2020.0,low,22,binding_regulation,OECD
FIN,2023,1,regulation_focused,9,2020.0,low,22,binding_regulation,OECD
FIN,2024,1,regulation_focused,10,2020.0,low,23,binding_regulation,OECD
FIN,2025,1,comprehensive,10,2024.0,high,14,binding_regulation,IAPP
FRA,2013,0,light_touch,1,,none,7,soft_framework,OECD
FRA,2014,0,light_touch,1,,none,7,soft_framework,OECD
FRA,2015,0,light_touch,1,,none,7,soft_framework,OECD
FRA,2016,1,regulation_focused,3,2016.0,low,10,binding_regulation,OECD
FRA,2017,1,regulation_focused,4,2016.0,low,10,binding_regulation,OECD
FRA,2018,1,comprehensive,8,2016.0,medium,21,binding_regulation,OECD
FRA,2019,1,comprehensive,15,2016.0,high,21,binding_regulation,OECD
FRA,2020,1,comprehensive,16,2016.0,high,22,binding_regulation,OECD
FRA,2021,1,comprehensive,20,2016.0,high,24,binding_regulation,OECD
FRA,2022,1,comprehensive,25,2016.0,high,25,binding_regulation,OECD
FRA,2023,1,comprehensive,25,2016.0,medium,25,binding_regulation,OECD
FRA,2024,1,comprehensive,26,2016.0,medium,25,binding_regulation,OECD
FRA,2025,1,comprehensive,10,2024.0,high,14,binding_regulation,IAPP
GBR,2013,0,light_touch,3,,none,8,soft_framework,OECD
GBR,2014,0,light_touch,3,,none,8,soft_framework,OECD
GBR,2015,0,light_touch,4,,medium,10,soft_framework,OECD
GBR,2016,0,light_touch,4,,medium,10,soft_framework,OECD
GBR,2017,0,light_touch,7,,medium,12,soft_framework,OECD
GBR,2018,1,regulation_focused,16,2018.0,medium,18,binding_regulation,OECD
GBR,2019,1,regulation_focused,18,2018.0,medium,19,binding_regulation,OECD
GBR,2020,1,regulation_focused,21,2018.0,medium,19,binding_regulation,OECD
GBR,2021,1,regulation_focused,23,2018.0,medium,19,binding_regulation,OECD
GBR,2022,1,regulation_focused,24,2018.0,medium,19,binding_regulation,OECD
GBR,2023,1,regulation_focused,25,2018.0,medium,19,binding_regulation,OECD
GBR,2024,1,regulation_focused,27,2018.0,medium,19,binding_regulation,OECD
GBR,2025,0,strategy_led,6,,high,13,strategy_only,IAPP
GHA,2025,0,strategy_led,2,,low,3,strategy_only,IAPP
GRC,2013,0,light_touch,1,,none,3,soft_framework,OECD
GRC,2014,0,light_touch,1,,none,3,soft_framework,OECD
GRC,2015,0,light_touch,2,,none,7,soft_framework,OECD
GRC,2016,0,light_touch,2,,none,7,soft_framework,OECD
GRC,2017,0,light_touch,2,,none,7,soft_framework,OECD
GRC,2018,0,light_touch,2,,none,7,soft_framework,OECD
GRC,2019,0,light_touch,3,,medium,19,soft_framework,OECD
GRC,2020,0,light_touch,3,,medium,22,soft_framework,OECD
GRC,2021,0,light_touch,4,,medium,23,soft_framework,OECD
GRC,2022,1,regulation_focused,7,2022.0,medium,25,binding_regulation,OECD
GRC,2023,1,regulation_focused,11,2022.0,medium,26,binding_regulation,OECD
GRC,2024,1,comprehensive,16,2022.0,medium,28,binding_regulation,OECD
GRC,2025,1,comprehensive,10,2024.0,high,14,binding_regulation,IAPP
HRV,2013,0,none,0,,none,0,no_framework,OECD
HRV,2014,0,light_touch,1,,none,3,soft_framework,OECD
HRV,2015,0,light_touch,1,,none,3,soft_framework,OECD
HRV,2016,0,light_touch,1,,none,3,soft_framework,OECD
HRV,2017,0,light_touch,2,,none,4,soft_framework,OECD
HRV,2018,0,light_touch,3,,none,7,soft_framework,OECD
HRV,2019,0,light_touch,4,,none,7,soft_framework,OECD
HRV,2020,0,strategy_led,6,,none,9,strategy_only,OECD
HRV,2021,0,strategy_led,7,2021.0,none,12,strategy_only,OECD
HRV,2022,0,strategy_led,8,2021.0,none,12,strategy_only,OECD
HRV,2023,0,strategy_led,10,2021.0,none,16,strategy_only,OECD
HRV,2024,0,strategy_led,12,2021.0,none,16,strategy_only,OECD
HRV,2025,1,comprehensive,10,2024.0,high,14,binding_regulation,IAPP
HUN,2013,0,none,0,,none,0,no_framework,OECD
HUN,2014,0,none,0,,none,0,no_framework,OECD
HUN,2015,0,light_touch,1,,none,3,soft_framework,OECD
HUN,2016,0,light_touch,2,,none,4,soft_framework,OECD
HUN,2017,0,light_touch,2,,none,4,soft_framework,OECD
HUN,2018,0,light_touch,4,,medium,9,soft_framework,OECD
HUN,2019,0,light_touch,5,,medium,16,soft_framework,OECD
HUN,2020,0,strategy_led,11,,medium,19,strategy_only,OECD
HUN,2021,0,strategy_led,12,,medium,19,strategy_only,OECD
HUN,2022,0,strategy_led,11,2022.0,medium,20,strategy_only,OECD
HUN,2023,0,strategy_led,12,2022.0,medium,20,strategy_only,OECD
HUN,2024,0,strategy_led,12,2022.0,medium,20,strategy_only,OECD
HUN,2025,1,comprehensive,10,2024.0,high,14,binding_regulation,IAPP
IDN,2013,0,none,0,,none,0,no_framework,OECD
IDN,2014,0,none,0,,none,0,no_framework,OECD
IDN,2015,0,none,0,,none,0,no_framework,OECD
IDN,2016,0,none,0,,none,0,no_framework,OECD
IDN,2017,0,none,0,,none,0,no_framework,OECD
IDN,2018,0,none,0,,none,0,no_framework,OECD
IDN,2019,0,none,0,,none,0,no_framework,OECD
IDN,2020,0,none,0,,none,0,no_framework,OECD
IDN,2021,0,none,0,,none,0,no_framework,OECD
IDN,2022,0,none,0,,none,0,no_framework,OECD
IDN,2023,0,none,0,,none,0,no_framework,OECD
IDN,2024,0,none,0,,none,0,no_framework,OECD
IDN,2025,0,strategy_led,3,,low,7,strategy_only,IAPP
IND,2013,0,light_touch,1,,none,2,soft_framework,OECD
IND,2014,0,light_touch,1,,none,2,soft_framework,OECD
IND,2015,0,light_touch,2,,none,4,soft_framework,OECD
IND,2016,0,light_touch,2,,none,4,soft_framework,OECD
IND,2017,0,light_touch,4,,medium,12,soft_framework,OECD
IND,2018,0,strategy_led,5,,medium,14,strategy_only,OECD
IND,2019,0,strategy_led,6,,medium,17,strategy_only,OECD
IND,2020,0,strategy_led,9,,medium,17,strategy_only,OECD
IND,2021,0,strategy_led,11,,medium,20,strategy_only,OECD
IND,2022,0,strategy_led,11,,medium,20,strategy_only,OECD
IND,2023,1,comprehensive,13,2023.0,medium,22,binding_regulation,OECD
IND,2024,1,comprehensive,17,2023.0,medium,22,binding_regulation,OECD
IND,2025,0,light_touch,4,,medium,10,soft_framework,IAPP
IRL,2013,0,light_touch,1,,none,0,soft_framework,OECD
IRL,2014,0,light_touch,1,,none,0,soft_framework,OECD
IRL,2015,0,light_touch,1,,none,0,soft_framework,OECD
IRL,2016,0,light_touch,1,,none,0,soft_framework,OECD
IRL,2017,0,light_touch,1,,none,0,soft_framework,OECD
IRL,2018,0,light_touch,2,,none,4,soft_framework,OECD
IRL,2019,1,regulation_focused,6,2019.0,low,6,binding_regulation,OECD
IRL,2020,1,regulation_focused,6,2019.0,low,8,binding_regulation,OECD
IRL,2021,1,regulation_focused,7,2019.0,medium,8,binding_regulation,OECD
IRL,2022,1,regulation_focused,8,2019.0,medium,9,binding_regulation,OECD
IRL,2023,1,regulation_focused,9,2019.0,medium,11,binding_regulation,OECD
IRL,2024,1,regulation_focused,9,2019.0,medium,12,binding_regulation,OECD
IRL,2025,1,comprehensive,10,2024.0,high,14,binding_regulation,IAPP
ISL,2013,0,none,0,,none,0,no_framework,OECD
ISL,2014,0,none,0,,none,0,no_framework,OECD
ISL,2015,0,none,0,,none,0,no_framework,OECD
ISL,2016,0,none,0,,none,0,no_framework,OECD
ISL,2017,0,none,0,,none,0,no_framework,OECD
ISL,2018,0,light_touch,2,,medium,10,soft_framework,OECD
ISL,2019,0,light_touch,2,,medium,10,soft_framework,OECD
ISL,2020,0,light_touch,3,,medium,13,soft_framework,OECD
ISL,2021,0,strategy_led,4,,medium,14,strategy_only,OECD
ISL,2022,0,strategy_led,4,,medium,14,strategy_only,OECD
ISL,2023,0,strategy_led,4,,medium,14,strategy_only,OECD
ISL,2024,0,strategy_led,4,,medium,14,strategy_only,OECD
ISL,2025,0,light_touch,2,,low,4,soft_framework,IAPP
ISR,2013,0,none,0,,none,0,no_framework,OECD
ISR,2014,0,none,0,,none,0,no_framework,OECD
ISR,2015,0,none,0,,none,0,no_framework,OECD
ISR,2016,0,none,0,,none,0,no_framework,OECD
ISR,2017,0,none,0,,none,0,no_framework,OECD
ISR,2018,0,light_touch,1,,none,0,soft_framework,OECD
ISR,2019,0,light_touch,1,,none,0,soft_framework,OECD
ISR,2020,0,light_touch,2,,none,0,soft_framework,OECD
ISR,2021,1,comprehensive,8,2021.0,medium,16,binding_regulation,OECD
ISR,2022,1,comprehensive,8,2021.0,medium,16,binding_regulation,OECD
ISR,2023,1,comprehensive,10,2021.0,medium,16,binding_regulation,OECD
ISR,2024,1,comprehensive,10,2021.0,medium,16,binding_regulation,OECD
