variable,archivo_origen,hoja_origen,columna_origen,header_origen_exacto,filas_datos,notas_lectura
norm_digital_public_services,SHARED_-2019-Index-data-for-report.xlsx,Data,Col W (indice 22),Digital public services,Filas 7-200 (194 paises),Fila 1=header. Fila 5=Max Score. NORMALISED. Version 0-1.
norm_govt_effectiveness,SHARED_-2019-Index-data-for-report.xlsx,Data,Col X (indice 23),Effectiveness of government,Filas 7-200 (194 paises),Fila 1=header. Fila 5=Max Score. NORMALISED. Version 0-1.
norm_ict_govt_vision,SHARED_-2019-Index-data-for-report.xlsx,Data,Col Y (indice 24),Importance of ICTs to government vision of the future,Filas 7-200 (194 paises),Fila 1=header. Fila 5=Max Score. NORMALISED. Version 0-1. Gap en col Z(25).
avg_governance,SHARED_-2019-Index-data-for-report.xlsx,Data,Col AD (indice 29),Average: Governance,Filas 7-200 (194 paises),Fila 1=header. Fila 5=Max Score. Promedio simple de Privacy laws + AI strategy normalizados.
avg_infrastructure_data,SHARED_-2019-Index-data-for-report.xlsx,Data,Col AE (indice 30),Average: Infrastructure and data,Filas 7-200 (194 paises),Fila 1=header. Fila 5=Max Score. Promedio: Data availability + Gov't procurement + Data capability normalizados.
avg_skills_education,SHARED_-2019-Index-data-for-report.xlsx,Data,Col AF (indice 31),Average: Skills and education,Filas 7-200 (194 paises),Fila 1=header. Fila 5=Max Score. Promedio: Technology skills + Log AI startups + Innovation capability normalizados.
avg_govt_public_services,SHARED_-2019-Index-data-for-report.xlsx,Data,Col AG (indice 32),Average: Government and public services,Filas 7-200 (194 paises),Fila 1=header. Fila 5=Max Score. Promedio: Digital public services + Govt effectiveness + ICT govt vision normalizados.
rank_global,SHARED_-2019-Index-data-for-report.xlsx,Rankings,Col A (indice 0),Rank (of 194),Filas 2-195 (194 paises),"Fila 0=regiones, Fila 1=sub-headers. Region: global. Bloques de 3 cols (Rank, Country, Score) con gaps."
score_global,SHARED_-2019-Index-data-for-report.xlsx,Rankings,Col C (indice 2),Score,Filas 2-195 (194 paises),"Fila 0=regiones, Fila 1=sub-headers. Region: global. Escala 0-10. Mismo score que INDEX SCORE."
rank_asia_pacific,SHARED_-2019-Index-data-for-report.xlsx,Rankings,Col E (indice 3),Rank (of 194 globally; regionally),Filas 2-195 (194 paises),"Fila 0=regiones, Fila 1=sub-headers. Region: asia_pacific. Bloques de 3 cols (Rank, Country, Score) con gaps."
score_asia_pacific,SHARED_-2019-Index-data-for-report.xlsx,Rankings,Col G (indice 5),Score,Filas 2-195 (194 paises),"Fila 0=regiones, Fila 1=sub-headers. Region: asia_pacific. Escala 0-10. Mismo score que INDEX SCORE."
rank_africa,SHARED_-2019-Index-data-for-report.xlsx,Rankings,Col I (indice 6),Rank (of 194 globally; regionally),Filas 2-195 (194 paises),"Fila 0=regiones, Fila 1=sub-headers. Region: africa. Bloques de 3 cols (Rank, Country, Score) con gaps."
score_africa,SHARED_-2019-Index-data-for-report.xlsx,Rankings,Col K (indice 8),Score,Filas 2-195 (194 paises),"Fila 0=regiones, Fila 1=sub-headers. Region: africa. Escala 0-10. Mismo score que INDEX SCORE."
rank_latam,SHARED_-2019-Index-data-for-report.xlsx,Rankings,Col M (indice 9),Rank (of 194 globally; regionally),Filas 2-195 (194 paises),"Fila 0=regiones, Fila 1=sub-headers. Region: latam. Bloques de 3 cols (Rank, Country, Score) con gaps."
score_latam,SHARED_-2019-Index-data-for-report.xlsx,Rankings,Col O (indice 11),Score,Filas 2-195 (194 paises),"Fila 0=regiones, Fila 1=sub-headers. Region: latam. Escala 0-10. Mismo score que INDEX SCORE."
rank_north_america,SHARED_-2019-Index-data-for-report.xlsx,Rankings,Col Q (indice 12),Rank (of 194 globally; regionally),Filas 2-195 (194 paises),"Fila 0=regiones, Fila 1=sub-headers. Region: north_america. Bloques de 3 cols (Rank, Country, Score) con gaps."
score_north_america,SHARED_-2019-Index-data-for-report.xlsx,Rankings,Col S (indice 14),Score,Filas 2-195 (194 paises),"Fila 0=regiones, Fila 1=sub-headers. Region: north_america. Escala 0-10. Mismo score que INDEX SCORE."
rank_eastern_europe,SHARED_-2019-Index-data-for-report.xlsx,Rankings,Col U (indice 15),Rank (of 194 globally; regionally),Filas 2-195 (194 paises),"Fila 0=regiones, Fila 1=sub-headers. Region: eastern_europe. Bloques de 3 cols (Rank, Country, Score) con gaps."
score_eastern_europe,SHARED_-2019-Index-data-for-report.xlsx,Rankings,Col W (indice 17),Score,Filas 2-195 (194 paises),"Fila 0=regiones, Fila 1=sub-headers. Region: eastern_europe. Escala 0-10. Mismo score que INDEX SCORE."
rank_australasia,SHARED_-2019-Index-data-for-report.xlsx,Rankings,Col Y (indice 18),Rank (of 194 globally; regionally),Filas 2-195 (194 paises),"Fila 0=regiones, Fila 1=sub-headers. Region: australasia. Bloques de 3 cols (Rank, Country, Score) con gaps."
score_australasia,SHARED_-2019-Index-data-for-report.xlsx,Rankings,Col AA (indice 20),Score,Filas 2-195 (194 paises),"Fila 0=regiones, Fila 1=sub-headers. Region: australasia. Escala 0-10. Mismo score que INDEX SCORE."
rank_western_europe,SHARED_-2019-Index-data-for-report.xlsx,Rankings,Col AC (indice 21),Rank (of 194 globally; regionally),Filas 2-195 (194 paises),"Fila 0=regiones, Fila 1=sub-headers. Region: western_europe. Bloques de 3 cols (Rank, Country, Score) con gaps."
score_western_europe,SHARED_-2019-Index-data-for-report.xlsx,Rankings,Col AE (indice 23),Score,Filas 2-195 (194 paises),"Fila 0=regiones, Fila 1=sub-headers. Region: western_europe. Escala 0-10. Mismo score que INDEX SCORE."
region_pertenece,SHARED_-2019-Index-data-for-report.xlsx,Rankings,Variable derivada,(derivado) Region de pertenencia,Filas 2-195 (194 paises),"Fila 0=regiones, Fila 1=sub-headers. No es columna explicita. Determinada por la region donde aparece el pais."
total_score,2020-Government-AI-Readiness-Index-public-dataset.xlsx,Detailed scores,Col B (indice 1 tras limpiar unnamed),Overall score,Filas 3-174 (172 paises),Header fila 2. Unnamed eliminadas. Header: 'Overall score'. Promedio 3 pilares.
total_score,2021-Government-AI-Readiness-Index-public-dataset.xlsx,Detailed scores,Col B (indice 1 tras limpiar unnamed),Overall score,Filas 3-162 (160 paises),Header fila 2. Unnamed eliminadas. Header: 'Overall score'. Promedio 3 pilares.
total_score,2022-Government-AI-Readiness-Index-public-data.xlsx,Detailed scores,Col B (indice 1 tras limpiar unnamed),Overall score,Filas 3-183 (181 paises),Header fila 2. Unnamed eliminadas. Header: 'Overall score'. Promedio 3 pilares.
total_score,2023-Government-AI-Readiness-Index-Public-Indicator-Data.xlsx,Pillar & dimension scores,Col B (indice 1 tras limpiar unnamed),Overall score,Filas 3-195 (193 paises),Header fila 2. Unnamed eliminadas. Header: 'Overall score'. Promedio 3 pilares.
total_score,2024-GAIRI-data.xlsx,Scores per pillar and dimension,Col B (indice 1 tras limpiar unnamed),Total,Filas 3-190 (188 paises),Header fila 2. Unnamed eliminadas. Header: 'Total' (diferente a 2020-2023).
government,2020-Government-AI-Readiness-Index-public-dataset.xlsx,Detailed scores,Col C (indice 2 tras limpiar unnamed),Government,Filas 3-174 (172 paises),Header fila 2. Unnamed eliminadas. 
government,2021-Government-AI-Readiness-Index-public-dataset.xlsx,Detailed scores,Col C (indice 2 tras limpiar unnamed),Government,Filas 3-162 (160 paises),Header fila 2. Unnamed eliminadas. 
government,2022-Government-AI-Readiness-Index-public-data.xlsx,Detailed scores,Col C (indice 2 tras limpiar unnamed),Government,Filas 3-183 (181 paises),Header fila 2. Unnamed eliminadas. 
government,2023-Government-AI-Readiness-Index-Public-Indicator-Data.xlsx,Pillar & dimension scores,Col C (indice 2 tras limpiar unnamed),Government,Filas 3-195 (193 paises),Header fila 2. Unnamed eliminadas. 
government,2024-GAIRI-data.xlsx,Scores per pillar and dimension,Col C (indice 2 tras limpiar unnamed),Government,Filas 3-190 (188 paises),Header fila 2. Unnamed eliminadas. 
technology_sector,2020-Government-AI-Readiness-Index-public-dataset.xlsx,Detailed scores,Col D (indice 3 tras limpiar unnamed),Technology Sector,Filas 3-174 (172 paises),Header fila 2. Unnamed eliminadas. Header con espacio.
technology_sector,2021-Government-AI-Readiness-Index-public-dataset.xlsx,Detailed scores,Col D (indice 3 tras limpiar unnamed),Technology Sector,Filas 3-162 (160 paises),Header fila 2. Unnamed eliminadas. Header con espacio.
technology_sector,2022-Government-AI-Readiness-Index-public-data.xlsx,Detailed scores,Col D (indice 3 tras limpiar unnamed),Technology Sector,Filas 3-183 (181 paises),Header fila 2. Unnamed eliminadas. Header con espacio.
technology_sector,2023-Government-AI-Readiness-Index-Public-Indicator-Data.xlsx,Pillar & dimension scores,Col D (indice 3 tras limpiar unnamed),Technology Sector,Filas 3-195 (193 paises),Header fila 2. Unnamed eliminadas. Header con espacio.
technology_sector,2024-GAIRI-data.xlsx,Scores per pillar and dimension,Col D (indice 3 tras limpiar unnamed),Technology Sector,Filas 3-190 (188 paises),Header fila 2. Unnamed eliminadas. Header con espacio.
data_infrastructure,2020-Government-AI-Readiness-Index-public-dataset.xlsx,Detailed scores,Col E (indice 4 tras limpiar unnamed),Data and Infrastructure,Filas 3-174 (172 paises),Header fila 2. Unnamed eliminadas. 
data_infrastructure,2021-Government-AI-Readiness-Index-public-dataset.xlsx,Detailed scores,Col E (indice 4 tras limpiar unnamed),Data and Infrastructure,Filas 3-162 (160 paises),Header fila 2. Unnamed eliminadas. 
data_infrastructure,2022-Government-AI-Readiness-Index-public-data.xlsx,Detailed scores,Col E (indice 4 tras limpiar unnamed),Data and Infrastructure,Filas 3-183 (181 paises),Header fila 2. Unnamed eliminadas. 
data_infrastructure,2023-Government-AI-Readiness-Index-Public-Indicator-Data.xlsx,Pillar & dimension scores,Col E (indice 4 tras limpiar unnamed),Data and Infrastructure,Filas 3-195 (193 paises),Header fila 2. Unnamed eliminadas. 
data_infrastructure,2024-GAIRI-data.xlsx,Scores per pillar and dimension,Col E (indice 4 tras limpiar unnamed),Data and Infrastructure,Filas 3-190 (188 paises),Header fila 2. Unnamed eliminadas. 
vision,2020-Government-AI-Readiness-Index-public-dataset.xlsx,Detailed scores,Col F (indice 5 tras limpiar unnamed),Vision,Filas 3-174 (172 paises),Header fila 2. Unnamed eliminadas. Gap entre Data&Infrastructure y Vision.
vision,2021-Government-AI-Readiness-Index-public-dataset.xlsx,Detailed scores,Col F (indice 5 tras limpiar unnamed),Vision,Filas 3-162 (160 paises),Header fila 2. Unnamed eliminadas. Gap entre Data&Infrastructure y Vision.
vision,2022-Government-AI-Readiness-Index-public-data.xlsx,Detailed scores,Col F (indice 5 tras limpiar unnamed),Vision,Filas 3-183 (181 paises),Header fila 2. Unnamed eliminadas. Gap entre Data&Infrastructure y Vision.
vision,2023-Government-AI-Readiness-Index-Public-Indicator-Data.xlsx,Pillar & dimension scores,Col F (indice 5 tras limpiar unnamed),Vision,Filas 3-195 (193 paises),Header fila 2. Unnamed eliminadas. Gap entre Data&Infrastructure y Vision.
vision,2024-GAIRI-data.xlsx,Scores per pillar and dimension,Col F (indice 5 tras limpiar unnamed),Vision,Filas 3-190 (188 paises),Header fila 2. Unnamed eliminadas. Gap entre Data&Infrastructure y Vision.
governance_ethics,2020-Government-AI-Readiness-Index-public-dataset.xlsx,Detailed scores,Col G (indice 6 tras limpiar unnamed),Governance and Ethics,Filas 3-174 (172 paises),Header fila 2. Unnamed eliminadas. 
governance_ethics,2021-Government-AI-Readiness-Index-public-dataset.xlsx,Detailed scores,Col G (indice 6 tras limpiar unnamed),Governance and Ethics,Filas 3-162 (160 paises),Header fila 2. Unnamed eliminadas. 
governance_ethics,2022-Government-AI-Readiness-Index-public-data.xlsx,Detailed scores,Col G (indice 6 tras limpiar unnamed),Governance and Ethics,Filas 3-183 (181 paises),Header fila 2. Unnamed eliminadas. 
governance_ethics,2023-Government-AI-Readiness-Index-Public-Indicator-Data.xlsx,Pillar & dimension scores,Col G (indice 6 tras limpiar unnamed),Governance and Ethics,Filas 3-195 (193 paises),Header fila 2. Unnamed eliminadas. 
governance_ethics,2024-GAIRI-data.xlsx,Scores per pillar and dimension,Col G (indice 6 tras limpiar unnamed),Governance and Ethics,Filas 3-190 (188 paises),Header fila 2. Unnamed eliminadas. 
digital_capacity,2020-Government-AI-Readiness-Index-public-dataset.xlsx,Detailed scores,Col H (indice 7 tras limpiar unnamed),Digital Capacity,Filas 3-174 (172 paises),Header fila 2. Unnamed eliminadas. 
digital_capacity,2021-Government-AI-Readiness-Index-public-dataset.xlsx,Detailed scores,Col H (indice 7 tras limpiar unnamed),Digital Capacity,Filas 3-162 (160 paises),Header fila 2. Unnamed eliminadas. 
digital_capacity,2022-Government-AI-Readiness-Index-public-data.xlsx,Detailed scores,Col H (indice 7 tras limpiar unnamed),Digital Capacity,Filas 3-183 (181 paises),Header fila 2. Unnamed eliminadas. 
digital_capacity,2023-Government-AI-Readiness-Index-Public-Indicator-Data.xlsx,Pillar & dimension scores,Col H (indice 7 tras limpiar unnamed),Digital Capacity,Filas 3-195 (193 paises),Header fila 2. Unnamed eliminadas. 
digital_capacity,2024-GAIRI-data.xlsx,Scores per pillar and dimension,Col H (indice 7 tras limpiar unnamed),Digital Capacity,Filas 3-190 (188 paises),Header fila 2. Unnamed eliminadas. 
adaptability,2020-Government-AI-Readiness-Index-public-dataset.xlsx,Detailed scores,Col I (indice 8 tras limpiar unnamed),Adaptability,Filas 3-174 (172 paises),Header fila 2. Unnamed eliminadas. 
adaptability,2021-Government-AI-Readiness-Index-public-dataset.xlsx,Detailed scores,Col I (indice 8 tras limpiar unnamed),Adaptability,Filas 3-162 (160 paises),Header fila 2. Unnamed eliminadas. 
adaptability,2022-Government-AI-Readiness-Index-public-data.xlsx,Detailed scores,Col I (indice 8 tras limpiar unnamed),Adaptability,Filas 3-183 (181 paises),Header fila 2. Unnamed eliminadas. 
adaptability,2023-Government-AI-Readiness-Index-Public-Indicator-Data.xlsx,Pillar & dimension scores,Col I (indice 8 tras limpiar unnamed),Adaptability,Filas 3-195 (193 paises),Header fila 2. Unnamed eliminadas. 
adaptability,2024-GAIRI-data.xlsx,Scores per pillar and dimension,Col I (indice 8 tras limpiar unnamed),Adaptability,Filas 3-190 (188 paises),Header fila 2. Unnamed eliminadas. 
size,2020-Government-AI-Readiness-Index-public-dataset.xlsx,Detailed scores,Col J (indice 9 tras limpiar unnamed),Size,Filas 3-174 (172 paises),Header fila 2. Unnamed eliminadas. SOLO 2020-2021. Renombrada a Maturity en 2022.
size,2021-Government-AI-Readiness-Index-public-dataset.xlsx,Detailed scores,Col J (indice 9 tras limpiar unnamed),Size,Filas 3-162 (160 paises),Header fila 2. Unnamed eliminadas. SOLO 2020-2021. Renombrada a Maturity en 2022.
maturity,2022-Government-AI-Readiness-Index-public-data.xlsx,Detailed scores,Col J (indice 9 tras limpiar unnamed),Maturity,Filas 3-183 (181 paises),Header fila 2. Unnamed eliminadas. DESDE 2022. Antes (2020-2021) se llamaba Size.
maturity,2023-Government-AI-Readiness-Index-Public-Indicator-Data.xlsx,Pillar & dimension scores,Col J (indice 9 tras limpiar unnamed),Maturity,Filas 3-195 (193 paises),Header fila 2. Unnamed eliminadas. DESDE 2022. Antes (2020-2021) se llamaba Size.
maturity,2024-GAIRI-data.xlsx,Scores per pillar and dimension,Col J (indice 9 tras limpiar unnamed),Maturity,Filas 3-190 (188 paises),Header fila 2. Unnamed eliminadas. DESDE 2022. Antes (2020-2021) se llamaba Size.
innovation_capacity,2020-Government-AI-Readiness-Index-public-dataset.xlsx,Detailed scores,Col K (indice 10 tras limpiar unnamed),Innovation Capacity,Filas 3-174 (172 paises),Header fila 2. Unnamed eliminadas. 2 missing en 2021.
innovation_capacity,2021-Government-AI-Readiness-Index-public-dataset.xlsx,Detailed scores,Col K (indice 10 tras limpiar unnamed),Innovation Capacity,Filas 3-162 (160 paises),Header fila 2. Unnamed eliminadas. 2 missing en 2021.
innovation_capacity,2022-Government-AI-Readiness-Index-public-data.xlsx,Detailed scores,Col K (indice 10 tras limpiar unnamed),Innovation Capacity,Filas 3-183 (181 paises),Header fila 2. Unnamed eliminadas. 2 missing en 2021.
innovation_capacity,2023-Government-AI-Readiness-Index-Public-Indicator-Data.xlsx,Pillar & dimension scores,Col K (indice 10 tras limpiar unnamed),Innovation Capacity,Filas 3-195 (193 paises),Header fila 2. Unnamed eliminadas. 2 missing en 2021.
innovation_capacity,2024-GAIRI-data.xlsx,Scores per pillar and dimension,Col K (indice 10 tras limpiar unnamed),Innovation Capacity,Filas 3-190 (188 paises),Header fila 2. Unnamed eliminadas. 2 missing en 2021.
human_capital,2020-Government-AI-Readiness-Index-public-dataset.xlsx,Detailed scores,Col L (indice 11 tras limpiar unnamed),Human Capital,Filas 3-174 (172 paises),Header fila 2. Unnamed eliminadas. 
human_capital,2021-Government-AI-Readiness-Index-public-dataset.xlsx,Detailed scores,Col L (indice 11 tras limpiar unnamed),Human Capital,Filas 3-162 (160 paises),Header fila 2. Unnamed eliminadas. 
human_capital,2022-Government-AI-Readiness-Index-public-data.xlsx,Detailed scores,Col L (indice 11 tras limpiar unnamed),Human Capital,Filas 3-183 (181 paises),Header fila 2. Unnamed eliminadas. 
human_capital,2023-Government-AI-Readiness-Index-Public-Indicator-Data.xlsx,Pillar & dimension scores,Col L (indice 11 tras limpiar unnamed),Human Capital,Filas 3-195 (193 paises),Header fila 2. Unnamed eliminadas. 
human_capital,2024-GAIRI-data.xlsx,Scores per pillar and dimension,Col L (indice 11 tras limpiar unnamed),Human Capital,Filas 3-190 (188 paises),Header fila 2. Unnamed eliminadas. 
infrastructure,2020-Government-AI-Readiness-Index-public-dataset.xlsx,Detailed scores,Col M (indice 12 tras limpiar unnamed),Infrastructure,Filas 3-174 (172 paises),Header fila 2. Unnamed eliminadas. 
infrastructure,2021-Government-AI-Readiness-Index-public-dataset.xlsx,Detailed scores,Col M (indice 12 tras limpiar unnamed),Infrastructure,Filas 3-162 (160 paises),Header fila 2. Unnamed eliminadas. 
infrastructure,2022-Government-AI-Readiness-Index-public-data.xlsx,Detailed scores,Col M (indice 12 tras limpiar unnamed),Infrastructure,Filas 3-183 (181 paises),Header fila 2. Unnamed eliminadas. 
infrastructure,2023-Government-AI-Readiness-Index-Public-Indicator-Data.xlsx,Pillar & dimension scores,Col M (indice 12 tras limpiar unnamed),Infrastructure,Filas 3-195 (193 paises),Header fila 2. Unnamed eliminadas. 
infrastructure,2024-GAIRI-data.xlsx,Scores per pillar and dimension,Col M (indice 12 tras limpiar unnamed),Infrastructure,Filas 3-190 (188 paises),Header fila 2. Unnamed eliminadas. 
data_availability,2020-Government-AI-Readiness-Index-public-dataset.xlsx,Detailed scores,Col N (indice 13 tras limpiar unnamed),Data Availability,Filas 3-174 (172 paises),Header fila 2. Unnamed eliminadas. 
data_availability,2021-Government-AI-Readiness-Index-public-dataset.xlsx,Detailed scores,Col N (indice 13 tras limpiar unnamed),Data Availability,Filas 3-162 (160 paises),Header fila 2. Unnamed eliminadas. 
data_availability,2022-Government-AI-Readiness-Index-public-data.xlsx,Detailed scores,Col N (indice 13 tras limpiar unnamed),Data Availability,Filas 3-183 (181 paises),Header fila 2. Unnamed eliminadas. 
data_availability,2023-Government-AI-Readiness-Index-Public-Indicator-Data.xlsx,Pillar & dimension scores,Col N (indice 13 tras limpiar unnamed),Data Availability,Filas 3-195 (193 paises),Header fila 2. Unnamed eliminadas. 
data_availability,2024-GAIRI-data.xlsx,Scores per pillar and dimension,Col N (indice 13 tras limpiar unnamed),Data Availability,Filas 3-190 (188 paises),Header fila 2. Unnamed eliminadas. 
data_representativeness,2020-Government-AI-Readiness-Index-public-dataset.xlsx,Detailed scores,Col O (indice 14 tras limpiar unnamed),Data Representativeness,Filas 3-174 (172 paises),"Header fila 2. Unnamed eliminadas. Missing: 7(2020), 1(2021), 1(2022), 2(2023), 0(2024)."
data_representativeness,2021-Government-AI-Readiness-Index-public-dataset.xlsx,Detailed scores,Col O (indice 14 tras limpiar unnamed),Data Representativeness,Filas 3-162 (160 paises),"Header fila 2. Unnamed eliminadas. Missing: 7(2020), 1(2021), 1(2022), 2(2023), 0(2024)."
data_representativeness,2022-Government-AI-Readiness-Index-public-data.xlsx,Detailed scores,Col O (indice 14 tras limpiar unnamed),Data Representativeness,Filas 3-183 (181 paises),"Header fila 2. Unnamed eliminadas. Missing: 7(2020), 1(2021), 1(2022), 2(2023), 0(2024)."
data_representativeness,2023-Government-AI-Readiness-Index-Public-Indicator-Data.xlsx,Pillar & dimension scores,Col O (indice 14 tras limpiar unnamed),Data Representativeness,Filas 3-195 (193 paises),"Header fila 2. Unnamed eliminadas. Missing: 7(2020), 1(2021), 1(2022), 2(2023), 0(2024)."
data_representativeness,2024-GAIRI-data.xlsx,Scores per pillar and dimension,Col O (indice 14 tras limpiar unnamed),Data Representativeness,Filas 3-190 (188 paises),"Header fila 2. Unnamed eliminadas. Missing: 7(2020), 1(2021), 1(2022), 2(2023), 0(2024)."
ranking_detail,2024-GAIRI-data.xlsx,Scores per pillar and dimension,Col C (indice 2),Ranking,"Filas 3-190 (188 paises, 82 sin ranking)",SOLO 2024. 82 missing (106 rankeados).
rank,2025-Government-AI-Readiness-Index-data-1.xlsx,Dimensions-Pillars,Col A (indice 0 tras eliminar gaps),Ranking,Filas 3-197 (195 paises),"Fila 1=labels, Fila 2=header REAL. Ordinal 1-195."
total_score,2025-Government-AI-Readiness-Index-data-1.xlsx,Dimensions-Pillars,Col C (indice 2 tras eliminar gaps),Total Score,Filas 3-197 (195 paises),"Fila 1=labels, Fila 2=header REAL. Gap en col D."
policy_capacity,2025-Government-AI-Readiness-Index-data-1.xlsx,Dimensions-Pillars,Col E (indice 4 tras eliminar gaps),Policy Capacity,Filas 3-197 (195 paises),"Fila 1=labels, Fila 2=header REAL. "
ai_infrastructure,2025-Government-AI-Readiness-Index-data-1.xlsx,Dimensions-Pillars,Col F (indice 5 tras eliminar gaps),AI Infrastructure,Filas 3-197 (195 paises),"Fila 1=labels, Fila 2=header REAL. "
governance_2025,2025-Government-AI-Readiness-Index-data-1.xlsx,Dimensions-Pillars,Col G (indice 6 tras eliminar gaps),Governance,Filas 3-197 (195 paises),"Fila 1=labels, Fila 2=header REAL. NO confundir con government de 2020-2024."
