variable_matriz,source_id,table_id,original_variable,tipo_matriz,unit,direction,bloque_tematico,regla_temporal_default,is_primary,redundant_with,pct_complete,notes
oecd_4_digital_gov_oecd_open_gov_data,oecd,4_DIGITAL_GOV,oecd_open_gov_data,numeric,count,unknown,tech_infrastructure_control,latest_available_per_country_per_indicator,True,,17.32,generated from real source columns; no synthetic values
oecd_5_ict_business_oecd_biz_ai_pct,oecd,5_ICT_BUSINESS,oecd_biz_ai_pct,numeric,pct,unknown,adoption_diffusion,latest_available_per_country_per_indicator,True,,16.45,generated from real source columns; no synthetic values
oecd_5_ict_business_oecd_biz_bigdata_pct,oecd,5_ICT_BUSINESS,oecd_biz_bigdata_pct,numeric,pct,unknown,adoption_diffusion,latest_available_per_country_per_indicator,True,,15.58,generated from real source columns; no synthetic values
oecd_5_ict_business_oecd_biz_cloud_pct,oecd,5_ICT_BUSINESS,oecd_biz_cloud_pct,numeric,pct,unknown,adoption_diffusion,latest_available_per_country_per_indicator,True,,16.45,generated from real source columns; no synthetic values
oecd_5_ict_business_oecd_biz_ict_specialists_pct,oecd,5_ICT_BUSINESS,oecd_biz_ict_specialists_pct,numeric,pct,unknown,adoption_diffusion,latest_available_per_country_per_indicator,True,,15.58,generated from real source columns; no synthetic values
oecd_5_ict_business_oecd_biz_iot_pct,oecd,5_ICT_BUSINESS,oecd_biz_iot_pct,numeric,pct,unknown,adoption_diffusion,latest_available_per_country_per_indicator,True,,15.58,generated from real source columns; no synthetic values
oecd_5_ict_business_oecd_biz_website_pct,oecd,5_ICT_BUSINESS,oecd_biz_website_pct,numeric,pct,unknown,adoption_diffusion,latest_available_per_country_per_indicator,True,,15.58,generated from real source columns; no synthetic values
oecd_6_fdi_restrictiveness_oecd_fdi_restrictiveness,oecd,6_FDI_RESTRICTIVENESS,oecd_fdi_restrictiveness,numeric,count,lower_better,institutional_control,latest_available_per_country_per_indicator,True,,45.02,generated from real source columns; no synthetic values
oecd_7_pmr_oecd_pmr_overall,oecd,7_PMR,oecd_pmr_overall,numeric,count,unknown,institutional_control,latest_available_per_country_per_indicator,True,,23.81,generated from real source columns; no synthetic values
oecd_8_rd_tax_oecd_rd_tax_subsidy_rate,oecd,8_RD_TAX,oecd_rd_tax_subsidy_rate,numeric,count,unknown,socioeconomic_control,latest_available_per_country_per_indicator,True,,22.51,generated from real source columns; no synthetic values
oxford_adaptability,oxford,Consolidado,adaptability,numeric,score_0_100,higher_better,ecosystem_outcome,latest_year_per_country,True,,83.55,generated from real source columns; no synthetic values
oxford_ai_infrastructure,oxford,Consolidado,ai_infrastructure,numeric,score_0_100,higher_better,ecosystem_outcome,latest_year_per_country,True,,84.42,generated from real source columns; no synthetic values
oxford_ai_sector_maturity,oxford,Consolidado,ai_sector_maturity,numeric,score_0_100,higher_better,ecosystem_outcome,latest_year_per_country,True,,84.42,generated from real source columns; no synthetic values
oxford_ai_technology_diffusion,oxford,Consolidado,ai_technology_diffusion,numeric,score_0_100,higher_better,ecosystem_outcome,latest_year_per_country,True,,84.42,generated from real source columns; no synthetic values
oxford_compute_capacity,oxford,Consolidado,compute_capacity,numeric,score_0_100,higher_better,ecosystem_outcome,latest_year_per_country,True,,84.42,generated from real source columns; no synthetic values
oxford_data_availability,oxford,Consolidado,data_availability,numeric,score_0_100,higher_better,ecosystem_outcome,latest_year_per_country,True,,83.55,generated from real source columns; no synthetic values
oxford_data_infrastructure,oxford,Consolidado,data_infrastructure,numeric,score_0_100,higher_better,ecosystem_outcome,latest_year_per_country,True,,83.55,generated from real source columns; no synthetic values
oxford_data_quality,oxford,Consolidado,data_quality,numeric,score_0_100,higher_better,ecosystem_outcome,latest_year_per_country,True,,84.42,generated from real source columns; no synthetic values
oxford_data_representativeness,oxford,Consolidado,data_representativeness,numeric,score_0_100,higher_better,ecosystem_outcome,latest_year_per_country,True,,83.12,generated from real source columns; no synthetic values
oxford_development_diffusion,oxford,Consolidado,development_diffusion,numeric,score_0_100,higher_better,ecosystem_outcome,latest_year_per_country,True,,84.42,generated from real source columns; no synthetic values
oxford_digital_capacity,oxford,Consolidado,digital_capacity,numeric,score_0_100,higher_better,ecosystem_outcome,latest_year_per_country,True,,83.55,generated from real source columns; no synthetic values
oxford_e_government_delivery,oxford,Consolidado,e_government_delivery,numeric,score_0_100,higher_better,ecosystem_outcome,latest_year_per_country,True,,84.42,generated from real source columns; no synthetic values
oxford_enabling_technical_infrastructure,oxford,Consolidado,enabling_technical_infrastructure,numeric,score_0_100,higher_better,ecosystem_outcome,latest_year_per_country,True,,84.42,generated from real source columns; no synthetic values
oxford_governance_2025,oxford,Consolidado,governance_2025,numeric,score_0_100,higher_better,ecosystem_outcome,latest_year_per_country,True,,84.42,generated from real source columns; no synthetic values
oxford_governance_ethics,oxford,Consolidado,governance_ethics,numeric,score_0_100,higher_better,ecosystem_outcome,latest_year_per_country,True,,83.55,generated from real source columns; no synthetic values
oxford_governance_principles,oxford,Consolidado,governance_principles,numeric,score_0_100,higher_better,ecosystem_outcome,latest_year_per_country,True,,84.42,generated from real source columns; no synthetic values
oxford_government,oxford,Consolidado,government,numeric,score_0_100,higher_better,ecosystem_outcome,latest_year_per_country,True,,83.55,generated from real source columns; no synthetic values
oxford_government_digital_policy,oxford,Consolidado,government_digital_policy,numeric,score_0_100,higher_better,ecosystem_outcome,latest_year_per_country,True,,84.42,generated from real source columns; no synthetic values
oxford_human_capital,oxford,Consolidado,human_capital,numeric,score_0_100,higher_better,ecosystem_outcome,latest_year_per_country,True,,83.55,generated from real source columns; no synthetic values
oxford_human_capital_2025,oxford,Consolidado,human_capital_2025,numeric,score_0_100,higher_better,ecosystem_outcome,latest_year_per_country,True,,84.42,generated from real source columns; no synthetic values
oxford_ind_5g_infrastructure,oxford,Consolidado,ind_5g_infrastructure,numeric,score_0_100,higher_better,ecosystem_outcome,latest_year_per_country,True,,83.55,generated from real source columns; no synthetic values
oxford_ind_accountability,oxford,Consolidado,ind_accountability,numeric,score_0_100,higher_better,ecosystem_outcome,latest_year_per_country,True,,83.55,generated from real source columns; no synthetic values
oxford_ind_adoption_emerging_tech,oxford,Consolidado,ind_adoption_emerging_tech,numeric,score_0_100,higher_better,ecosystem_outcome,latest_year_per_country,True,,79.65,generated from real source columns; no synthetic values
oxford_ind_ai_research_papers_log,oxford,Consolidado,ind_ai_research_papers_log,numeric,score_0_100,higher_better,ecosystem_outcome,latest_year_per_country,True,,83.55,generated from real source columns; no synthetic values
oxford_ind_ai_strategy,oxford,Consolidado,ind_ai_strategy,numeric,score_0_100,higher_better,ecosystem_outcome,latest_year_per_country,True,,83.55,generated from real source columns; no synthetic values
oxford_ind_ai_unicorns_log,oxford,Consolidado,ind_ai_unicorns_log,numeric,score_0_100,higher_better,ecosystem_outcome,latest_year_per_country,True,,83.55,generated from real source columns; no synthetic values
oxford_ind_broadband_quality,oxford,Consolidado,ind_broadband_quality,numeric,score_0_100,higher_better,ecosystem_outcome,latest_year_per_country,True,,79.65,generated from real source columns; no synthetic values
oxford_ind_company_investment_emerging_tech,oxford,Consolidado,ind_company_investment_emerging_tech,numeric,score_0_100,higher_better,ecosystem_outcome,latest_year_per_country,True,,79.65,generated from real source columns; no synthetic values
oxford_ind_cost_internet_device,oxford,Consolidado,ind_cost_internet_device,numeric,score_0_100,higher_better,ecosystem_outcome,latest_year_per_country,True,,82.68,generated from real source columns; no synthetic values
oxford_ind_cybersecurity,oxford,Consolidado,ind_cybersecurity,numeric,score_0_100,higher_better,ecosystem_outcome,latest_year_per_country,True,,83.55,generated from real source columns; no synthetic values
oxford_ind_data_governance,oxford,Consolidado,ind_data_governance,numeric,score_0_100,higher_better,ecosystem_outcome,latest_year_per_country,True,,83.55,generated from real source columns; no synthetic values
oxford_ind_data_protection_laws,oxford,Consolidado,ind_data_protection_laws,numeric,score_0_100,higher_better,ecosystem_outcome,latest_year_per_country,True,,83.12,generated from real source columns; no synthetic values
oxford_ind_eng_tech_higher_ed_quality,oxford,Consolidado,ind_eng_tech_higher_ed_quality,numeric,score_0_100,higher_better,ecosystem_outcome,latest_year_per_country,True,,83.55,generated from real source columns; no synthetic values
oxford_ind_ethical_principles,oxford,Consolidado,ind_ethical_principles,numeric,score_0_100,higher_better,ecosystem_outcome,latest_year_per_country,True,,83.55,generated from real source columns; no synthetic values
oxford_ind_female_stem_graduates,oxford,Consolidado,ind_female_stem_graduates,numeric,score_0_100,higher_better,ecosystem_outcome,latest_year_per_country,True,,82.25,generated from real source columns; no synthetic values
oxford_ind_foundational_it,oxford,Consolidado,ind_foundational_it,numeric,score_0_100,higher_better,ecosystem_outcome,latest_year_per_country,True,,83.55,generated from real source columns; no synthetic values
oxford_ind_gender_gap_internet,oxford,Consolidado,ind_gender_gap_internet,numeric,score_0_100,higher_better,ecosystem_outcome,latest_year_per_country,True,,79.65,generated from real source columns; no synthetic values
oxford_ind_github_activity_log,oxford,Consolidado,ind_github_activity_log,numeric,score_0_100,higher_better,ecosystem_outcome,latest_year_per_country,True,,83.55,generated from real source columns; no synthetic values
oxford_ind_govt_effectiveness,oxford,Consolidado,ind_govt_effectiveness,numeric,score_0_100,higher_better,ecosystem_outcome,latest_year_per_country,True,,83.55,generated from real source columns; no synthetic values
oxford_ind_govt_promotion_emerging_tech,oxford,Consolidado,ind_govt_promotion_emerging_tech,numeric,score_0_100,higher_better,ecosystem_outcome,latest_year_per_country,True,,79.65,generated from real source columns; no synthetic values
oxford_ind_govt_responsiveness,oxford,Consolidado,ind_govt_responsiveness,numeric,score_0_100,higher_better,ecosystem_outcome,latest_year_per_country,True,,80.95,generated from real source columns; no synthetic values
oxford_ind_households_internet,oxford,Consolidado,ind_households_internet,numeric,score_0_100,higher_better,ecosystem_outcome,latest_year_per_country,True,,83.12,generated from real source columns; no synthetic values
oxford_ind_ict_skills,oxford,Consolidado,ind_ict_skills,numeric,score_0_100,higher_better,ecosystem_outcome,latest_year_per_country,True,,78.35,generated from real source columns; no synthetic values
oxford_ind_ict_trade_goods_log,oxford,Consolidado,ind_ict_trade_goods_log,numeric,score_0_100,higher_better,ecosystem_outcome,latest_year_per_country,True,,83.12,generated from real source columns; no synthetic values
oxford_ind_ict_trade_services_log,oxford,Consolidado,ind_ict_trade_services_log,numeric,score_0_100,higher_better,ecosystem_outcome,latest_year_per_country,True,,83.12,generated from real source columns; no synthetic values
oxford_ind_mobile_subscriptions,oxford,Consolidado,ind_mobile_subscriptions,numeric,score_0_100,higher_better,ecosystem_outcome,latest_year_per_country,True,,83.55,generated from real source columns; no synthetic values
oxford_ind_non_ai_unicorns_log,oxford,Consolidado,ind_non_ai_unicorns_log,numeric,score_0_100,higher_better,ecosystem_outcome,latest_year_per_country,True,,83.55,generated from real source columns; no synthetic values
oxford_ind_online_services,oxford,Consolidado,ind_online_services,numeric,score_0_100,higher_better,ecosystem_outcome,latest_year_per_country,True,,83.55,generated from real source columns; no synthetic values
oxford_ind_open_data,oxford,Consolidado,ind_open_data,numeric,score_0_100,higher_better,ecosystem_outcome,latest_year_per_country,True,,80.95,generated from real source columns; no synthetic values
oxford_ind_procurement_data,oxford,Consolidado,ind_procurement_data,numeric,score_0_100,higher_better,ecosystem_outcome,latest_year_per_country,True,,80.95,generated from real source columns; no synthetic values
oxford_ind_rd_spending_log,oxford,Consolidado,ind_rd_spending_log,numeric,score_0_100,higher_better,ecosystem_outcome,latest_year_per_country,True,,82.25,generated from real source columns; no synthetic values
oxford_ind_regulatory_quality,oxford,Consolidado,ind_regulatory_quality,numeric,score_0_100,higher_better,ecosystem_outcome,latest_year_per_country,True,,83.55,generated from real source columns; no synthetic values
oxford_ind_software_spending,oxford,Consolidado,ind_software_spending,numeric,score_0_100,higher_better,ecosystem_outcome,latest_year_per_country,True,,79.65,generated from real source columns; no synthetic values
oxford_ind_statistical_capacity,oxford,Consolidado,ind_statistical_capacity,numeric,score_0_100,higher_better,ecosystem_outcome,latest_year_per_country,True,,83.12,generated from real source columns; no synthetic values
oxford_ind_stem_graduates,oxford,Consolidado,ind_stem_graduates,numeric,score_0_100,higher_better,ecosystem_outcome,latest_year_per_country,True,,83.55,generated from real source columns; no synthetic values
oxford_ind_supercomputers_log,oxford,Consolidado,ind_supercomputers_log,numeric,score_0_100,higher_better,ecosystem_outcome,latest_year_per_country,True,,83.55,generated from real source columns; no synthetic values
oxford_ind_telecom_infrastructure,oxford,Consolidado,ind_telecom_infrastructure,numeric,score_0_100,higher_better,ecosystem_outcome,latest_year_per_country,True,,83.55,generated from real source columns; no synthetic values
oxford_ind_time_govt_regulations,oxford,Consolidado,ind_time_govt_regulations,numeric,score_0_100,higher_better,ecosystem_outcome,latest_year_per_country,True,,77.92,generated from real source columns; no synthetic values
oxford_ind_vc_availability,oxford,Consolidado,ind_vc_availability,numeric,score_0_100,higher_better,ecosystem_outcome,latest_year_per_country,True,,77.92,generated from real source columns; no synthetic values
oxford_infrastructure,oxford,Consolidado,infrastructure,numeric,score_0_100,higher_better,ecosystem_outcome,latest_year_per_country,True,,83.55,generated from real source columns; no synthetic values
oxford_innovation_capacity,oxford,Consolidado,innovation_capacity,numeric,score_0_100,higher_better,ecosystem_outcome,latest_year_per_country,True,,83.55,generated from real source columns; no synthetic values
oxford_maturity,oxford,Consolidado,maturity,numeric,score_0_100,higher_better,ecosystem_outcome,latest_year_per_country,True,,83.55,generated from real source columns; no synthetic values
oxford_policy_capacity,oxford,Consolidado,policy_capacity,numeric,score_0_100,higher_better,ecosystem_outcome,latest_year_per_country,True,,84.42,generated from real source columns; no synthetic values
oxford_policy_commitment,oxford,Consolidado,policy_commitment,numeric,score_0_100,higher_better,ecosystem_outcome,latest_year_per_country,True,,84.42,generated from real source columns; no synthetic values
oxford_policy_vision,oxford,Consolidado,policy_vision,numeric,score_0_100,higher_better,ecosystem_outcome,latest_year_per_country,True,,84.42,generated from real source columns; no synthetic values
oxford_public_sector_adoption,oxford,Consolidado,public_sector_adoption,numeric,score_0_100,higher_better,ecosystem_outcome,latest_year_per_country,True,,84.42,generated from real source columns; no synthetic values
oxford_regulatory_compliance,oxford,Consolidado,regulatory_compliance,numeric,score_0_100,higher_better,ecosystem_outcome,latest_year_per_country,True,,84.42,generated from real source columns; no synthetic values
oxford_resilience,oxford,Consolidado,resilience,numeric,score_0_100,higher_better,ecosystem_outcome,latest_year_per_country,True,,84.42,generated from real source columns; no synthetic values
oxford_safety_security,oxford,Consolidado,safety_security,numeric,score_0_100,higher_better,ecosystem_outcome,latest_year_per_country,True,,84.42,generated from real source columns; no synthetic values
oxford_size,oxford,Consolidado,size,numeric,score_0_100,higher_better,ecosystem_outcome,latest_year_per_country,True,,76.19,generated from real source columns; no synthetic values
oxford_societal_transition,oxford,Consolidado,societal_transition,numeric,score_0_100,higher_better,ecosystem_outcome,latest_year_per_country,True,,84.42,generated from real source columns; no synthetic values
oxford_technology_sector,oxford,Consolidado,technology_sector,numeric,score_0_100,higher_better,ecosystem_outcome,latest_year_per_country,True,,83.55,generated from real source columns; no synthetic values
oxford_total_score,oxford,Consolidado,total_score,numeric,score_0_100,higher_better,ecosystem_outcome,latest_year_per_country,True,,84.42,generated from real source columns; no synthetic values
oxford_vision,oxford,Consolidado,vision,numeric,score_0_100,higher_better,ecosystem_outcome,latest_year_per_country,True,,83.55,generated from real source columns; no synthetic values
stanford_fig_3_4_4_fig_3_4_4_number_of_rai_submissions,stanford,stanford_ai_index_2026_unificado,fig_3.4.4/fig_3.4.4_Number of RAI submissions,numeric,count,unknown,regulatory_treatment,latest_available_per_figure,True,,4.33,generated from real source columns; no synthetic values
stanford_fig_3_4_5_fig_3_4_5_number_of_rai_submissions,stanford,stanford_ai_index_2026_unificado,fig_3.4.5/fig_3.4.5_number_of_rai_submissions,numeric,count,unknown,regulatory_treatment,latest_available_per_figure,True,,36.8,generated from real source columns; no synthetic values
stanford_fig_3_5_2_fig_3_5_2_ai_action_summit_inclusive_2025,stanford,stanford_ai_index_2026_unificado,fig_3.5.2/fig_3.5.2_ai_action_summit_inclusive_2025,numeric,count,unknown,regulatory_treatment,latest_available_per_figure,True,,25.11,generated from real source columns; no synthetic values
stanford_fig_3_5_2_fig_3_5_2_bletchley_declaration_2023,stanford,stanford_ai_index_2026_unificado,fig_3.5.2/fig_3.5.2_bletchley_declaration_2023,numeric,count,unknown,regulatory_treatment,latest_available_per_figure,True,,25.11,generated from real source columns; no synthetic values
stanford_fig_3_5_2_fig_3_5_2_coe_drafters_2022,stanford,stanford_ai_index_2026_unificado,fig_3.5.2/fig_3.5.2_coe_drafters_2022,numeric,count,unknown,regulatory_treatment,latest_available_per_figure,True,,25.11,generated from real source columns; no synthetic values
stanford_fig_3_5_2_fig_3_5_2_g20_ai_principles_2019,stanford,stanford_ai_index_2026_unificado,fig_3.5.2/fig_3.5.2_g20_ai_principles_2019,numeric,count,unknown,regulatory_treatment,latest_available_per_figure,True,,25.11,generated from real source columns; no synthetic values
stanford_fig_3_5_2_fig_3_5_2_g7_hiroshima_ai_process_2023,stanford,stanford_ai_index_2026_unificado,fig_3.5.2/fig_3.5.2_g7_hiroshima_ai_process_2023,numeric,count,unknown,regulatory_treatment,latest_available_per_figure,True,,25.11,generated from real source columns; no synthetic values
stanford_fig_3_5_2_fig_3_5_2_gpai_ministerial_declaration_2022,stanford,stanford_ai_index_2026_unificado,fig_3.5.2/fig_3.5.2_gpai_ministerial_declaration_2022,numeric,count,unknown,regulatory_treatment,latest_available_per_figure,True,,25.11,generated from real source columns; no synthetic values
stanford_fig_3_5_2_fig_3_5_2_oecd_ai_principles_2019,stanford,stanford_ai_index_2026_unificado,fig_3.5.2/fig_3.5.2_oecd_ai_principles_2019,numeric,count,unknown,regulatory_treatment,latest_available_per_figure,True,,25.11,generated from real source columns; no synthetic values
stanford_fig_3_5_2_fig_3_5_2_seoul_ministerial_statement_2024,stanford,stanford_ai_index_2026_unificado,fig_3.5.2/fig_3.5.2_seoul_ministerial_statement_2024,numeric,count,unknown,regulatory_treatment,latest_available_per_figure,True,,25.11,generated from real source columns; no synthetic values
stanford_fig_3_6_1_fig_3_6_1_data_protection_and_privacy,stanford,stanford_ai_index_2026_unificado,fig_3.6.1/fig_3.6.1_Data Protection & Privacy,numeric,count,unknown,regulatory_treatment,latest_available_per_figure,True,,59.74,generated from real source columns; no synthetic values
stanford_fig_3_7_1_fig_3_7_1_bias_and_unfair_discrimination,stanford,stanford_ai_index_2026_unificado,fig_3.7.1/fig_3.7.1_Bias & Unfair Discrimination,numeric,count,unknown,regulatory_treatment,latest_available_per_figure,True,,59.74,generated from real source columns; no synthetic values
stanford_fig_3_7_2_fig_3_7_2_gender_equality,stanford,stanford_ai_index_2026_unificado,fig_3.7.2/fig_3.7.2_Gender Equality,numeric,count,unknown,regulatory_treatment,latest_available_per_figure,True,,59.74,generated from real source columns; no synthetic values
stanford_fig_3_7_3_fig_3_7_3_cultural_and_linguistic_diversity,stanford,stanford_ai_index_2026_unificado,fig_3.7.3/fig_3.7.3_Cultural & Linguistic Diversity,numeric,count,unknown,regulatory_treatment,latest_available_per_figure,True,,59.74,generated from real source columns; no synthetic values
