iso3,country_name,region,income_group,question_id,question_label,dimension_type,outcome,observed_value,score_value,score_source,rank_global,percentile_global,rank_desc,n_comparable_countries,missing_observed_value,missing_score_value,interpretation_label,strength_weakness_label,score_scope,independent_prediction,causal_claim,notes
CHE,Switzerland,Europe & Central Asia,High income,Q1,Inversión,question_outcome,oxford_ind_company_investment_emerging_tech,89.25,89.25,observed_or_phase6_score,4.0,0.9302325581395349,4.0,43,False,False,top_pioneer,strength,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.
SWE,Sweden,Europe & Central Asia,High income,Q1,Inversión,question_outcome,oxford_ind_company_investment_emerging_tech,92.0,92.0,observed_or_phase6_score,3.0,0.9534883720930233,3.0,43,False,False,top_pioneer,strength,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.
AUT,Austria,Europe & Central Asia,High income,Q1,Inversión,question_outcome,oxford_ind_company_investment_emerging_tech,64.25,64.25,observed_or_phase6_score,22.0,0.5,22.0,43,False,False,middle_performer,neutral,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.
KOR,South Korea,East Asia & Pacific,High income,Q1,Inversión,question_outcome,oxford_ind_company_investment_emerging_tech,59.5,59.5,observed_or_phase6_score,25.0,0.4418604651162791,25.0,43,False,False,middle_performer,neutral,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.
HUN,Hungary,Europe & Central Asia,High income,Q1,Inversión,question_outcome,oxford_ind_company_investment_emerging_tech,28.25,28.25,observed_or_phase6_score,39.0,0.11627906976744186,39.0,43,False,False,bottom_laggard,weakness,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.
DNK,Denmark,Europe & Central Asia,High income,Q1,Inversión,question_outcome,oxford_ind_company_investment_emerging_tech,76.75,76.75,observed_or_phase6_score,12.0,0.7441860465116279,12.0,43,False,False,middle_performer,neutral,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.
DEU,Germany,Europe & Central Asia,High income,Q1,Inversión,question_outcome,oxford_ind_company_investment_emerging_tech,86.75,86.75,observed_or_phase6_score,7.0,0.8604651162790697,7.0,43,False,False,high_performer,strength,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.
POL,Poland,Europe & Central Asia,High income,Q1,Inversión,question_outcome,oxford_ind_company_investment_emerging_tech,37.25,37.25,observed_or_phase6_score,36.0,0.18604651162790697,36.0,43,False,False,bottom_laggard,weakness,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.
TWN,Taiwan,,,Q1,Inversión,question_outcome,oxford_ind_company_investment_emerging_tech,70.45,70.45,observed_or_phase6_score,16.0,0.6511627906976745,16.0,43,False,False,middle_performer,neutral,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.
CZE,Czech Republic,Europe & Central Asia,High income,Q1,Inversión,question_outcome,oxford_ind_company_investment_emerging_tech,55.0,55.0,observed_or_phase6_score,27.0,0.3953488372093023,27.0,43,False,False,low_performer,neutral,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.
ITA,Italy,Europe & Central Asia,High income,Q1,Inversión,question_outcome,oxford_ind_company_investment_emerging_tech,41.0,41.0,observed_or_phase6_score,31.0,0.3023255813953488,31.0,43,False,False,low_performer,neutral,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.
BGR,Bulgaria,Europe & Central Asia,High income,Q1,Inversión,question_outcome,oxford_ind_company_investment_emerging_tech,46.5,46.5,observed_or_phase6_score,29.0,0.3488372093023256,29.0,43,False,False,low_performer,neutral,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.
FIN,Finland,Europe & Central Asia,High income,Q1,Inversión,question_outcome,oxford_ind_company_investment_emerging_tech,87.75,87.75,observed_or_phase6_score,5.0,0.8953488372093024,5.0,43,False,False,high_performer,strength,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.
CRI,Costa Rica,Latin America & Caribbean ,High income,Q1,Inversión,question_outcome,oxford_ind_company_investment_emerging_tech,48.25,48.25,observed_or_phase6_score,28.0,0.37209302325581395,28.0,43,False,False,low_performer,neutral,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.
CHL,Chile,Latin America & Caribbean ,High income,Q1,Inversión,question_outcome,oxford_ind_company_investment_emerging_tech,38.5,38.5,observed_or_phase6_score,35.0,0.20930232558139536,35.0,43,False,False,low_performer,weakness,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.
USA,United States,North America,High income,Q1,Inversión,question_outcome,oxford_ind_company_investment_emerging_tech,100.0,100.0,observed_or_phase6_score,1.0,1.0,1.0,43,False,False,top_pioneer,strength,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.
CHN,China,East Asia & Pacific,Upper middle income,Q1,Inversión,question_outcome,oxford_ind_company_investment_emerging_tech,59.75,59.75,observed_or_phase6_score,24.0,0.46511627906976744,24.0,43,False,False,middle_performer,neutral,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.
IND,India,South Asia,Lower middle income,Q1,Inversión,question_outcome,oxford_ind_company_investment_emerging_tech,64.25,64.25,observed_or_phase6_score,22.0,0.5,22.0,43,False,False,middle_performer,neutral,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.
JPN,Japan,East Asia & Pacific,High income,Q1,Inversión,question_outcome,oxford_ind_company_investment_emerging_tech,80.0,80.0,observed_or_phase6_score,9.0,0.813953488372093,9.0,43,False,False,high_performer,strength,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.
EST,Estonia,Europe & Central Asia,High income,Q1,Inversión,question_outcome,oxford_ind_company_investment_emerging_tech,58.75,58.75,observed_or_phase6_score,26.0,0.4186046511627907,26.0,43,False,False,middle_performer,neutral,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.
ARG,Argentina,Latin America & Caribbean ,Upper middle income,Q1,Inversión,question_outcome,oxford_ind_company_investment_emerging_tech,34.5,34.5,observed_or_phase6_score,37.0,0.16279069767441862,37.0,43,False,False,bottom_laggard,weakness,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.
BRA,Brazil,Latin America & Caribbean ,Upper middle income,Q1,Inversión,question_outcome,oxford_ind_company_investment_emerging_tech,39.0,39.0,observed_or_phase6_score,33.0,0.2558139534883721,33.0,43,False,False,low_performer,neutral,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.
COL,Colombia,Latin America & Caribbean ,Upper middle income,Q1,Inversión,question_outcome,oxford_ind_company_investment_emerging_tech,38.75,38.75,observed_or_phase6_score,34.0,0.23255813953488372,34.0,43,False,False,low_performer,weakness,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.
MEX,Mexico,Latin America & Caribbean ,Upper middle income,Q1,Inversión,question_outcome,oxford_ind_company_investment_emerging_tech,39.75,39.75,observed_or_phase6_score,32.0,0.27906976744186046,32.0,43,False,False,low_performer,neutral,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.
PER,Peru,Latin America & Caribbean ,Upper middle income,Q1,Inversión,question_outcome,oxford_ind_company_investment_emerging_tech,25.25,25.25,observed_or_phase6_score,41.0,0.05813953488372093,41.0,43,False,False,bottom_laggard,weakness,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.
URY,Uruguay,Latin America & Caribbean ,High income,Q1,Inversión,question_outcome,oxford_ind_company_investment_emerging_tech,27.0,27.0,observed_or_phase6_score,40.0,0.09302325581395349,40.0,43,False,False,bottom_laggard,weakness,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.
GRC,Greece,Europe & Central Asia,High income,Q1,Inversión,question_outcome,oxford_ind_company_investment_emerging_tech,23.5,23.5,observed_or_phase6_score,43.0,0.023255813953488372,43.0,43,False,False,bottom_laggard,weakness,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.
ROU,Romania,Europe & Central Asia,High income,Q1,Inversión,question_outcome,oxford_ind_company_investment_emerging_tech,31.25,31.25,observed_or_phase6_score,38.0,0.13953488372093023,38.0,43,False,False,bottom_laggard,weakness,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.
HRV,Croatia,Europe & Central Asia,High income,Q1,Inversión,question_outcome,oxford_ind_company_investment_emerging_tech,25.25,25.25,observed_or_phase6_score,41.0,0.05813953488372093,41.0,43,False,False,bottom_laggard,weakness,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income,Q1,Inversión,question_outcome,oxford_ind_ai_unicorns_log,0.0,0.0,observed_or_phase6_score,13.0,0.37209302325581395,13.0,43,False,False,low_performer,neutral,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.
SGP,Singapore,East Asia & Pacific,High income,Q1,Inversión,question_outcome,oxford_ind_ai_unicorns_log,26.94303373,26.94303373,observed_or_phase6_score,5.0,0.8837209302325582,5.0,43,False,False,high_performer,strength,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.
NOR,Norway,Europe & Central Asia,High income,Q1,Inversión,question_outcome,oxford_ind_ai_unicorns_log,0.0,0.0,observed_or_phase6_score,13.0,0.37209302325581395,13.0,43,False,False,low_performer,neutral,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.
IRL,Ireland,Europe & Central Asia,High income,Q1,Inversión,question_outcome,oxford_ind_ai_unicorns_log,0.0,0.0,observed_or_phase6_score,13.0,0.37209302325581395,13.0,43,False,False,low_performer,neutral,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.
FRA,France,Europe & Central Asia,High income,Q1,Inversión,question_outcome,oxford_ind_ai_unicorns_log,16.99916163,16.99916163,observed_or_phase6_score,8.0,0.7906976744186046,8.0,43,False,False,high_performer,strength,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.
ESP,Spain,Europe & Central Asia,High income,Q1,Inversión,question_outcome,oxford_ind_ai_unicorns_log,0.0,0.0,observed_or_phase6_score,13.0,0.37209302325581395,13.0,43,False,False,low_performer,neutral,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.
NZL,New Zealand,East Asia & Pacific,High income,Q1,Inversión,question_outcome,oxford_ind_ai_unicorns_log,0.0,0.0,observed_or_phase6_score,13.0,0.37209302325581395,13.0,43,False,False,low_performer,neutral,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.
NLD,Netherlands (Kingdom of the),Europe & Central Asia,High income,Q1,Inversión,question_outcome,oxford_ind_ai_unicorns_log,0.0,0.0,observed_or_phase6_score,13.0,0.37209302325581395,13.0,43,False,False,low_performer,neutral,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.
GBR,United Kingdom,Europe & Central Asia,High income,Q1,Inversión,question_outcome,oxford_ind_ai_unicorns_log,43.94219535,43.94219535,observed_or_phase6_score,3.0,0.9534883720930233,3.0,43,False,False,top_pioneer,strength,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.
QAT,Qatar,"Middle East, North Africa, Afghanistan & Pakistan",High income,Q1,Inversión,question_outcome,oxford_ind_ai_unicorns_log,0.0,0.0,observed_or_phase6_score,13.0,0.37209302325581395,13.0,43,False,False,low_performer,neutral,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.
AUS,Australia,East Asia & Pacific,High income,Q1,Inversión,question_outcome,oxford_ind_ai_unicorns_log,0.0,0.0,observed_or_phase6_score,13.0,0.37209302325581395,13.0,43,False,False,low_performer,neutral,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.
ISR,Israel,"Middle East, North Africa, Afghanistan & Pakistan",High income,Q1,Inversión,question_outcome,oxford_ind_ai_unicorns_log,39.47083098,39.47083098,observed_or_phase6_score,4.0,0.9302325581395349,4.0,43,False,False,top_pioneer,strength,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.
BEL,Belgium,Europe & Central Asia,High income,Q1,Inversión,question_outcome,oxford_ind_ai_unicorns_log,0.0,0.0,observed_or_phase6_score,13.0,0.37209302325581395,13.0,43,False,False,low_performer,neutral,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.
CAN,Canada,North America,High income,Q1,Inversión,question_outcome,oxford_ind_ai_unicorns_log,26.94303373,26.94303373,observed_or_phase6_score,5.0,0.8837209302325582,5.0,43,False,False,high_performer,strength,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.
CHE,Switzerland,Europe & Central Asia,High income,Q1,Inversión,question_outcome,oxford_ind_ai_unicorns_log,0.0,0.0,observed_or_phase6_score,13.0,0.37209302325581395,13.0,43,False,False,low_performer,neutral,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.
SWE,Sweden,Europe & Central Asia,High income,Q1,Inversión,question_outcome,oxford_ind_ai_unicorns_log,0.0,0.0,observed_or_phase6_score,13.0,0.37209302325581395,13.0,43,False,False,low_performer,neutral,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.
AUT,Austria,Europe & Central Asia,High income,Q1,Inversión,question_outcome,oxford_ind_ai_unicorns_log,0.0,0.0,observed_or_phase6_score,13.0,0.37209302325581395,13.0,43,False,False,low_performer,neutral,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.
KOR,South Korea,East Asia & Pacific,High income,Q1,Inversión,question_outcome,oxford_ind_ai_unicorns_log,0.0,0.0,observed_or_phase6_score,13.0,0.37209302325581395,13.0,43,False,False,low_performer,neutral,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.
HUN,Hungary,Europe & Central Asia,High income,Q1,Inversión,question_outcome,oxford_ind_ai_unicorns_log,0.0,0.0,observed_or_phase6_score,13.0,0.37209302325581395,13.0,43,False,False,low_performer,neutral,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.
DNK,Denmark,Europe & Central Asia,High income,Q1,Inversión,question_outcome,oxford_ind_ai_unicorns_log,0.0,0.0,observed_or_phase6_score,13.0,0.37209302325581395,13.0,43,False,False,low_performer,neutral,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.
DEU,Germany,Europe & Central Asia,High income,Q1,Inversión,question_outcome,oxford_ind_ai_unicorns_log,26.94303373,26.94303373,observed_or_phase6_score,5.0,0.8837209302325582,5.0,43,False,False,high_performer,strength,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.
POL,Poland,Europe & Central Asia,High income,Q1,Inversión,question_outcome,oxford_ind_ai_unicorns_log,0.0,0.0,observed_or_phase6_score,13.0,0.37209302325581395,13.0,43,False,False,low_performer,neutral,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.
TWN,Taiwan,,,Q1,Inversión,question_outcome,oxford_ind_ai_unicorns_log,0.0,0.0,observed_or_phase6_score,13.0,0.37209302325581395,13.0,43,False,False,low_performer,neutral,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.
CZE,Czech Republic,Europe & Central Asia,High income,Q1,Inversión,question_outcome,oxford_ind_ai_unicorns_log,0.0,0.0,observed_or_phase6_score,13.0,0.37209302325581395,13.0,43,False,False,low_performer,neutral,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.
ITA,Italy,Europe & Central Asia,High income,Q1,Inversión,question_outcome,oxford_ind_ai_unicorns_log,0.0,0.0,observed_or_phase6_score,13.0,0.37209302325581395,13.0,43,False,False,low_performer,neutral,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.
BGR,Bulgaria,Europe & Central Asia,High income,Q1,Inversión,question_outcome,oxford_ind_ai_unicorns_log,0.0,0.0,observed_or_phase6_score,13.0,0.37209302325581395,13.0,43,False,False,low_performer,neutral,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.
FIN,Finland,Europe & Central Asia,High income,Q1,Inversión,question_outcome,oxford_ind_ai_unicorns_log,0.0,0.0,observed_or_phase6_score,13.0,0.37209302325581395,13.0,43,False,False,low_performer,neutral,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.
CRI,Costa Rica,Latin America & Caribbean ,High income,Q1,Inversión,question_outcome,oxford_ind_ai_unicorns_log,0.0,0.0,observed_or_phase6_score,13.0,0.37209302325581395,13.0,43,False,False,low_performer,neutral,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.
CHL,Chile,Latin America & Caribbean ,High income,Q1,Inversión,question_outcome,oxford_ind_ai_unicorns_log,16.99916163,16.99916163,observed_or_phase6_score,8.0,0.7906976744186046,8.0,43,False,False,high_performer,strength,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.
USA,United States,North America,High income,Q1,Inversión,question_outcome,oxford_ind_ai_unicorns_log,100.0,100.0,observed_or_phase6_score,1.0,1.0,1.0,43,False,False,top_pioneer,strength,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.
CHN,China,East Asia & Pacific,Upper middle income,Q1,Inversión,question_outcome,oxford_ind_ai_unicorns_log,72.21120639,72.21120639,observed_or_phase6_score,2.0,0.9767441860465116,2.0,43,False,False,top_pioneer,strength,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.
IND,India,South Asia,Lower middle income,Q1,Inversión,question_outcome,oxford_ind_ai_unicorns_log,0.0,0.0,observed_or_phase6_score,13.0,0.37209302325581395,13.0,43,False,False,low_performer,neutral,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.
JPN,Japan,East Asia & Pacific,High income,Q1,Inversión,question_outcome,oxford_ind_ai_unicorns_log,16.99916163,16.99916163,observed_or_phase6_score,8.0,0.7906976744186046,8.0,43,False,False,high_performer,strength,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.
EST,Estonia,Europe & Central Asia,High income,Q1,Inversión,question_outcome,oxford_ind_ai_unicorns_log,16.99916163,16.99916163,observed_or_phase6_score,8.0,0.7906976744186046,8.0,43,False,False,high_performer,strength,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.
ARG,Argentina,Latin America & Caribbean ,Upper middle income,Q1,Inversión,question_outcome,oxford_ind_ai_unicorns_log,0.0,0.0,observed_or_phase6_score,13.0,0.37209302325581395,13.0,43,False,False,low_performer,neutral,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.
BRA,Brazil,Latin America & Caribbean ,Upper middle income,Q1,Inversión,question_outcome,oxford_ind_ai_unicorns_log,16.99916163,16.99916163,observed_or_phase6_score,8.0,0.7906976744186046,8.0,43,False,False,high_performer,strength,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.
COL,Colombia,Latin America & Caribbean ,Upper middle income,Q1,Inversión,question_outcome,oxford_ind_ai_unicorns_log,0.0,0.0,observed_or_phase6_score,13.0,0.37209302325581395,13.0,43,False,False,low_performer,neutral,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.
MEX,Mexico,Latin America & Caribbean ,Upper middle income,Q1,Inversión,question_outcome,oxford_ind_ai_unicorns_log,0.0,0.0,observed_or_phase6_score,13.0,0.37209302325581395,13.0,43,False,False,low_performer,neutral,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.
PER,Peru,Latin America & Caribbean ,Upper middle income,Q1,Inversión,question_outcome,oxford_ind_ai_unicorns_log,0.0,0.0,observed_or_phase6_score,13.0,0.37209302325581395,13.0,43,False,False,low_performer,neutral,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.
URY,Uruguay,Latin America & Caribbean ,High income,Q1,Inversión,question_outcome,oxford_ind_ai_unicorns_log,0.0,0.0,observed_or_phase6_score,13.0,0.37209302325581395,13.0,43,False,False,low_performer,neutral,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.
GRC,Greece,Europe & Central Asia,High income,Q1,Inversión,question_outcome,oxford_ind_ai_unicorns_log,0.0,0.0,observed_or_phase6_score,13.0,0.37209302325581395,13.0,43,False,False,low_performer,neutral,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.
ROU,Romania,Europe & Central Asia,High income,Q1,Inversión,question_outcome,oxford_ind_ai_unicorns_log,0.0,0.0,observed_or_phase6_score,13.0,0.37209302325581395,13.0,43,False,False,low_performer,neutral,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.
HRV,Croatia,Europe & Central Asia,High income,Q1,Inversión,question_outcome,oxford_ind_ai_unicorns_log,0.0,0.0,observed_or_phase6_score,13.0,0.37209302325581395,13.0,43,False,False,low_performer,neutral,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income,Q1,Inversión,question_outcome,oxford_ind_vc_availability,25.0,25.0,observed_or_phase6_score,21.0,0.5232558139534884,21.0,43,False,False,middle_performer,neutral,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.
SGP,Singapore,East Asia & Pacific,High income,Q1,Inversión,question_outcome,oxford_ind_vc_availability,100.0,100.0,observed_or_phase6_score,1.0,0.9651162790697675,1.0,43,False,False,top_pioneer,strength,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.
NOR,Norway,Europe & Central Asia,High income,Q1,Inversión,question_outcome,oxford_ind_vc_availability,21.0,21.0,observed_or_phase6_score,24.0,0.46511627906976744,24.0,43,False,False,middle_performer,neutral,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.
IRL,Ireland,Europe & Central Asia,High income,Q1,Inversión,question_outcome,oxford_ind_vc_availability,27.0,27.0,observed_or_phase6_score,20.0,0.5581395348837209,20.0,43,False,False,middle_performer,neutral,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.
FRA,France,Europe & Central Asia,High income,Q1,Inversión,question_outcome,oxford_ind_vc_availability,44.0,44.0,observed_or_phase6_score,10.0,0.7906976744186046,10.0,43,False,False,high_performer,strength,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.
ESP,Spain,Europe & Central Asia,High income,Q1,Inversión,question_outcome,oxford_ind_vc_availability,16.0,16.0,observed_or_phase6_score,25.0,0.4418604651162791,25.0,43,False,False,middle_performer,neutral,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.
NZL,New Zealand,East Asia & Pacific,High income,Q1,Inversión,question_outcome,oxford_ind_vc_availability,38.0,38.0,observed_or_phase6_score,13.0,0.7209302325581395,13.0,43,False,False,middle_performer,neutral,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.
NLD,Netherlands (Kingdom of the),Europe & Central Asia,High income,Q1,Inversión,question_outcome,oxford_ind_vc_availability,33.0,33.0,observed_or_phase6_score,16.0,0.6395348837209303,16.0,43,False,False,middle_performer,neutral,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.
