iso3,country_name,question_id,outcome,model_id,term,term_value,term_percentile,coefficient_or_weight,standardized_contribution,contribution_direction,contribution_rank_within_country,contribution_label,driver_type,interpretation,causal_claim,abs_contribution
ARE,United Arab Emirates,Q1,oxford_ind_company_investment_emerging_tech,phase6_primary_or_available,n_binding,4.0,0.9069767441860465,4.7295748294962765,6.694601644328383,positive,2.0,descriptive_driver_not_causal,model_term,Descriptive contribution based on in-sample model coefficient and country value; not causal.,False,6.694601644328383
JPN,Japan,Q1,oxford_ind_company_investment_emerging_tech,phase6_primary_or_available,n_binding,4.0,0.9069767441860465,4.7295748294962765,6.694601644328383,positive,2.0,descriptive_driver_not_causal,model_term,Descriptive contribution based on in-sample model coefficient and country value; not causal.,False,6.694601644328383
EST,Estonia,Q1,oxford_ind_company_investment_emerging_tech,phase6_primary_or_available,n_binding,0.0,0.3023255813953488,4.7295748294962765,-3.869356913694386,negative,1.0,descriptive_driver_not_causal,model_term,Descriptive contribution based on in-sample model coefficient and country value; not causal.,False,3.869356913694386
ARG,Argentina,Q1,oxford_ind_company_investment_emerging_tech,phase6_primary_or_available,n_binding,3.0,0.7093023255813954,4.7295748294962765,4.053612004822691,positive,2.0,descriptive_driver_not_causal,model_term,Descriptive contribution based on in-sample model coefficient and country value; not causal.,False,4.053612004822691
BRA,Brazil,Q1,oxford_ind_company_investment_emerging_tech,phase6_primary_or_available,n_binding,3.0,0.7093023255813954,4.7295748294962765,4.053612004822691,positive,2.0,descriptive_driver_not_causal,model_term,Descriptive contribution based on in-sample model coefficient and country value; not causal.,False,4.053612004822691
COL,Colombia,Q1,oxford_ind_company_investment_emerging_tech,phase6_primary_or_available,n_binding,3.0,0.7093023255813954,4.7295748294962765,4.053612004822691,positive,2.0,descriptive_driver_not_causal,model_term,Descriptive contribution based on in-sample model coefficient and country value; not causal.,False,4.053612004822691
MEX,Mexico,Q1,oxford_ind_company_investment_emerging_tech,phase6_primary_or_available,n_binding,0.0,0.3023255813953488,4.7295748294962765,-3.869356913694386,negative,1.0,descriptive_driver_not_causal,model_term,Descriptive contribution based on in-sample model coefficient and country value; not causal.,False,3.869356913694386
PER,Peru,Q1,oxford_ind_company_investment_emerging_tech,phase6_primary_or_available,n_binding,4.0,0.9069767441860465,4.7295748294962765,6.694601644328383,positive,2.0,descriptive_driver_not_causal,model_term,Descriptive contribution based on in-sample model coefficient and country value; not causal.,False,6.694601644328383
URY,Uruguay,Q1,oxford_ind_company_investment_emerging_tech,phase6_primary_or_available,n_binding,0.0,0.3023255813953488,4.7295748294962765,-3.869356913694386,negative,1.0,descriptive_driver_not_causal,model_term,Descriptive contribution based on in-sample model coefficient and country value; not causal.,False,3.869356913694386
GRC,Greece,Q1,oxford_ind_company_investment_emerging_tech,phase6_primary_or_available,n_binding,0.0,0.3023255813953488,4.7295748294962765,-3.869356913694386,negative,1.0,descriptive_driver_not_causal,model_term,Descriptive contribution based on in-sample model coefficient and country value; not causal.,False,3.869356913694386
ROU,Romania,Q1,oxford_ind_company_investment_emerging_tech,phase6_primary_or_available,n_binding,0.0,0.3023255813953488,4.7295748294962765,-3.869356913694386,negative,1.0,descriptive_driver_not_causal,model_term,Descriptive contribution based on in-sample model coefficient and country value; not causal.,False,3.869356913694386
HRV,Croatia,Q1,oxford_ind_company_investment_emerging_tech,phase6_primary_or_available,n_binding,0.0,0.3023255813953488,4.7295748294962765,-3.869356913694386,negative,1.0,descriptive_driver_not_causal,model_term,Descriptive contribution based on in-sample model coefficient and country value; not causal.,False,3.869356913694386
ARE,United Arab Emirates,Q1,oxford_ind_company_investment_emerging_tech,phase6_primary_or_available,n_non_binding,7.0,0.8255813953488372,2.2475135488873184,2.7635435334882787,positive,3.0,descriptive_driver_not_causal,model_term,Descriptive contribution based on in-sample model coefficient and country value; not causal.,False,2.7635435334882787
SGP,Singapore,Q1,oxford_ind_company_investment_emerging_tech,phase6_primary_or_available,n_non_binding,8.0,0.8837209302325582,2.2475135488873184,3.4093716418578226,positive,3.0,descriptive_driver_not_causal,model_term,Descriptive contribution based on in-sample model coefficient and country value; not causal.,False,3.4093716418578226
NOR,Norway,Q1,oxford_ind_company_investment_emerging_tech,phase6_primary_or_available,n_non_binding,0.0,0.3023255813953488,2.2475135488873184,-1.7572532250985249,negative,2.0,descriptive_driver_not_causal,model_term,Descriptive contribution based on in-sample model coefficient and country value; not causal.,False,1.7572532250985249
IRL,Ireland,Q1,oxford_ind_company_investment_emerging_tech,phase6_primary_or_available,n_non_binding,0.0,0.3023255813953488,2.2475135488873184,-1.7572532250985249,negative,2.0,descriptive_driver_not_causal,model_term,Descriptive contribution based on in-sample model coefficient and country value; not causal.,False,1.7572532250985249
FRA,France,Q1,oxford_ind_company_investment_emerging_tech,phase6_primary_or_available,n_non_binding,0.0,0.3023255813953488,2.2475135488873184,-1.7572532250985249,negative,2.0,descriptive_driver_not_causal,model_term,Descriptive contribution based on in-sample model coefficient and country value; not causal.,False,1.7572532250985249
ESP,Spain,Q1,oxford_ind_company_investment_emerging_tech,phase6_primary_or_available,n_non_binding,0.0,0.3023255813953488,2.2475135488873184,-1.7572532250985249,negative,2.0,descriptive_driver_not_causal,model_term,Descriptive contribution based on in-sample model coefficient and country value; not causal.,False,1.7572532250985249
NZL,New Zealand,Q1,oxford_ind_company_investment_emerging_tech,phase6_primary_or_available,n_non_binding,7.0,0.8255813953488372,2.2475135488873184,2.7635435334882787,positive,3.0,descriptive_driver_not_causal,model_term,Descriptive contribution based on in-sample model coefficient and country value; not causal.,False,2.7635435334882787
NLD,Netherlands (Kingdom of the),Q1,oxford_ind_company_investment_emerging_tech,phase6_primary_or_available,n_non_binding,0.0,0.3023255813953488,2.2475135488873184,-1.7572532250985249,negative,2.0,descriptive_driver_not_causal,model_term,Descriptive contribution based on in-sample model coefficient and country value; not causal.,False,1.7572532250985249
GBR,United Kingdom,Q1,oxford_ind_company_investment_emerging_tech,phase6_primary_or_available,n_non_binding,9.0,0.9651162790697675,2.2475135488873184,4.055199750227366,positive,3.0,descriptive_driver_not_causal,model_term,Descriptive contribution based on in-sample model coefficient and country value; not causal.,False,4.055199750227366
QAT,Qatar,Q1,oxford_ind_company_investment_emerging_tech,phase6_primary_or_available,n_non_binding,0.0,0.3023255813953488,2.2475135488873184,-1.7572532250985249,negative,2.0,descriptive_driver_not_causal,model_term,Descriptive contribution based on in-sample model coefficient and country value; not causal.,False,1.7572532250985249
AUS,Australia,Q1,oxford_ind_company_investment_emerging_tech,phase6_primary_or_available,n_non_binding,9.0,0.9651162790697675,2.2475135488873184,4.055199750227366,positive,2.0,descriptive_driver_not_causal,model_term,Descriptive contribution based on in-sample model coefficient and country value; not causal.,False,4.055199750227366
ISR,Israel,Q1,oxford_ind_company_investment_emerging_tech,phase6_primary_or_available,n_non_binding,6.0,0.7790697674418605,2.2475135488873184,2.1177154251187353,positive,3.0,descriptive_driver_not_causal,model_term,Descriptive contribution based on in-sample model coefficient and country value; not causal.,False,2.1177154251187353
BEL,Belgium,Q1,oxford_ind_company_investment_emerging_tech,phase6_primary_or_available,n_non_binding,0.0,0.3023255813953488,2.2475135488873184,-1.7572532250985249,negative,2.0,descriptive_driver_not_causal,model_term,Descriptive contribution based on in-sample model coefficient and country value; not causal.,False,1.7572532250985249
CAN,Canada,Q1,oxford_ind_company_investment_emerging_tech,phase6_primary_or_available,n_non_binding,9.0,0.9651162790697675,2.2475135488873184,4.055199750227366,positive,2.0,descriptive_driver_not_causal,model_term,Descriptive contribution based on in-sample model coefficient and country value; not causal.,False,4.055199750227366
CHE,Switzerland,Q1,oxford_ind_company_investment_emerging_tech,phase6_primary_or_available,n_non_binding,0.0,0.3023255813953488,2.2475135488873184,-1.7572532250985249,negative,2.0,descriptive_driver_not_causal,model_term,Descriptive contribution based on in-sample model coefficient and country value; not causal.,False,1.7572532250985249
SWE,Sweden,Q1,oxford_ind_company_investment_emerging_tech,phase6_primary_or_available,n_non_binding,0.0,0.3023255813953488,2.2475135488873184,-1.7572532250985249,negative,2.0,descriptive_driver_not_causal,model_term,Descriptive contribution based on in-sample model coefficient and country value; not causal.,False,1.7572532250985249
AUT,Austria,Q1,oxford_ind_company_investment_emerging_tech,phase6_primary_or_available,n_non_binding,0.0,0.3023255813953488,2.2475135488873184,-1.7572532250985249,negative,2.0,descriptive_driver_not_causal,model_term,Descriptive contribution based on in-sample model coefficient and country value; not causal.,False,1.7572532250985249
KOR,South Korea,Q1,oxford_ind_company_investment_emerging_tech,phase6_primary_or_available,n_non_binding,5.0,0.7093023255813954,2.2475135488873184,1.471887316749192,positive,3.0,descriptive_driver_not_causal,model_term,Descriptive contribution based on in-sample model coefficient and country value; not causal.,False,1.471887316749192
HUN,Hungary,Q1,oxford_ind_company_investment_emerging_tech,phase6_primary_or_available,n_non_binding,0.0,0.3023255813953488,2.2475135488873184,-1.7572532250985249,negative,2.0,descriptive_driver_not_causal,model_term,Descriptive contribution based on in-sample model coefficient and country value; not causal.,False,1.7572532250985249
DNK,Denmark,Q1,oxford_ind_company_investment_emerging_tech,phase6_primary_or_available,n_non_binding,0.0,0.3023255813953488,2.2475135488873184,-1.7572532250985249,negative,2.0,descriptive_driver_not_causal,model_term,Descriptive contribution based on in-sample model coefficient and country value; not causal.,False,1.7572532250985249
DEU,Germany,Q1,oxford_ind_company_investment_emerging_tech,phase6_primary_or_available,n_non_binding,0.0,0.3023255813953488,2.2475135488873184,-1.7572532250985249,negative,2.0,descriptive_driver_not_causal,model_term,Descriptive contribution based on in-sample model coefficient and country value; not causal.,False,1.7572532250985249
POL,Poland,Q1,oxford_ind_company_investment_emerging_tech,phase6_primary_or_available,n_non_binding,0.0,0.3023255813953488,2.2475135488873184,-1.7572532250985249,negative,2.0,descriptive_driver_not_causal,model_term,Descriptive contribution based on in-sample model coefficient and country value; not causal.,False,1.7572532250985249
TWN,Taiwan,Q1,oxford_ind_company_investment_emerging_tech,phase6_primary_or_available,n_non_binding,3.0,0.6046511627906976,2.2475135488873184,0.18023110001010514,positive,3.0,descriptive_driver_not_causal,model_term,Descriptive contribution based on in-sample model coefficient and country value; not causal.,False,0.18023110001010514
CZE,Czech Republic,Q1,oxford_ind_company_investment_emerging_tech,phase6_primary_or_available,n_non_binding,0.0,0.3023255813953488,2.2475135488873184,-1.7572532250985249,negative,2.0,descriptive_driver_not_causal,model_term,Descriptive contribution based on in-sample model coefficient and country value; not causal.,False,1.7572532250985249
ITA,Italy,Q1,oxford_ind_company_investment_emerging_tech,phase6_primary_or_available,n_non_binding,0.0,0.3023255813953488,2.2475135488873184,-1.7572532250985249,negative,2.0,descriptive_driver_not_causal,model_term,Descriptive contribution based on in-sample model coefficient and country value; not causal.,False,1.7572532250985249
BGR,Bulgaria,Q1,oxford_ind_company_investment_emerging_tech,phase6_primary_or_available,n_non_binding,0.0,0.3023255813953488,2.2475135488873184,-1.7572532250985249,negative,2.0,descriptive_driver_not_causal,model_term,Descriptive contribution based on in-sample model coefficient and country value; not causal.,False,1.7572532250985249
FIN,Finland,Q1,oxford_ind_company_investment_emerging_tech,phase6_primary_or_available,n_non_binding,0.0,0.3023255813953488,2.2475135488873184,-1.7572532250985249,negative,2.0,descriptive_driver_not_causal,model_term,Descriptive contribution based on in-sample model coefficient and country value; not causal.,False,1.7572532250985249
CRI,Costa Rica,Q1,oxford_ind_company_investment_emerging_tech,phase6_primary_or_available,n_non_binding,0.0,0.3023255813953488,2.2475135488873184,-1.7572532250985249,negative,2.0,descriptive_driver_not_causal,model_term,Descriptive contribution based on in-sample model coefficient and country value; not causal.,False,1.7572532250985249
CHL,Chile,Q1,oxford_ind_company_investment_emerging_tech,phase6_primary_or_available,n_non_binding,5.0,0.7093023255813954,2.2475135488873184,1.471887316749192,positive,3.0,descriptive_driver_not_causal,model_term,Descriptive contribution based on in-sample model coefficient and country value; not causal.,False,1.471887316749192
USA,United States,Q1,oxford_ind_company_investment_emerging_tech,phase6_primary_or_available,n_non_binding,8.0,0.8837209302325582,2.2475135488873184,3.4093716418578226,positive,3.0,descriptive_driver_not_causal,model_term,Descriptive contribution based on in-sample model coefficient and country value; not causal.,False,3.4093716418578226
CHN,China,Q1,oxford_ind_company_investment_emerging_tech,phase6_primary_or_available,n_non_binding,8.0,0.8837209302325582,2.2475135488873184,3.4093716418578226,positive,3.0,descriptive_driver_not_causal,model_term,Descriptive contribution based on in-sample model coefficient and country value; not causal.,False,3.4093716418578226
IND,India,Q1,oxford_ind_company_investment_emerging_tech,phase6_primary_or_available,n_non_binding,6.0,0.7790697674418605,2.2475135488873184,2.1177154251187353,positive,3.0,descriptive_driver_not_causal,model_term,Descriptive contribution based on in-sample model coefficient and country value; not causal.,False,2.1177154251187353
JPN,Japan,Q1,oxford_ind_company_investment_emerging_tech,phase6_primary_or_available,n_non_binding,9.0,0.9651162790697675,2.2475135488873184,4.055199750227366,positive,3.0,descriptive_driver_not_causal,model_term,Descriptive contribution based on in-sample model coefficient and country value; not causal.,False,4.055199750227366
EST,Estonia,Q1,oxford_ind_company_investment_emerging_tech,phase6_primary_or_available,n_non_binding,0.0,0.3023255813953488,2.2475135488873184,-1.7572532250985249,negative,2.0,descriptive_driver_not_causal,model_term,Descriptive contribution based on in-sample model coefficient and country value; not causal.,False,1.7572532250985249
ARG,Argentina,Q1,oxford_ind_company_investment_emerging_tech,phase6_primary_or_available,n_non_binding,5.0,0.7093023255813954,2.2475135488873184,1.471887316749192,positive,3.0,descriptive_driver_not_causal,model_term,Descriptive contribution based on in-sample model coefficient and country value; not causal.,False,1.471887316749192
BRA,Brazil,Q1,oxford_ind_company_investment_emerging_tech,phase6_primary_or_available,n_non_binding,4.0,0.6395348837209303,2.2475135488873184,0.8260592083796485,positive,3.0,descriptive_driver_not_causal,model_term,Descriptive contribution based on in-sample model coefficient and country value; not causal.,False,0.8260592083796485
COL,Colombia,Q1,oxford_ind_company_investment_emerging_tech,phase6_primary_or_available,n_non_binding,5.0,0.7093023255813954,2.2475135488873184,1.471887316749192,positive,3.0,descriptive_driver_not_causal,model_term,Descriptive contribution based on in-sample model coefficient and country value; not causal.,False,1.471887316749192
MEX,Mexico,Q1,oxford_ind_company_investment_emerging_tech,phase6_primary_or_available,n_non_binding,0.0,0.3023255813953488,2.2475135488873184,-1.7572532250985249,negative,2.0,descriptive_driver_not_causal,model_term,Descriptive contribution based on in-sample model coefficient and country value; not causal.,False,1.7572532250985249
PER,Peru,Q1,oxford_ind_company_investment_emerging_tech,phase6_primary_or_available,n_non_binding,4.0,0.6395348837209303,2.2475135488873184,0.8260592083796485,positive,3.0,descriptive_driver_not_causal,model_term,Descriptive contribution based on in-sample model coefficient and country value; not causal.,False,0.8260592083796485
URY,Uruguay,Q1,oxford_ind_company_investment_emerging_tech,phase6_primary_or_available,n_non_binding,0.0,0.3023255813953488,2.2475135488873184,-1.7572532250985249,negative,2.0,descriptive_driver_not_causal,model_term,Descriptive contribution based on in-sample model coefficient and country value; not causal.,False,1.7572532250985249
GRC,Greece,Q1,oxford_ind_company_investment_emerging_tech,phase6_primary_or_available,n_non_binding,0.0,0.3023255813953488,2.2475135488873184,-1.7572532250985249,negative,2.0,descriptive_driver_not_causal,model_term,Descriptive contribution based on in-sample model coefficient and country value; not causal.,False,1.7572532250985249
ROU,Romania,Q1,oxford_ind_company_investment_emerging_tech,phase6_primary_or_available,n_non_binding,0.0,0.3023255813953488,2.2475135488873184,-1.7572532250985249,negative,2.0,descriptive_driver_not_causal,model_term,Descriptive contribution based on in-sample model coefficient and country value; not causal.,False,1.7572532250985249
HRV,Croatia,Q1,oxford_ind_company_investment_emerging_tech,phase6_primary_or_available,n_non_binding,0.0,0.3023255813953488,2.2475135488873184,-1.7572532250985249,negative,2.0,descriptive_driver_not_causal,model_term,Descriptive contribution based on in-sample model coefficient and country value; not causal.,False,1.7572532250985249
ARE,United Arab Emirates,Q1,oxford_ind_company_investment_emerging_tech,phase6_primary_or_available,iapp_ley_ia_vigente,1.0,0.8611111111111112,7.400864404898034,10.171515220756195,positive,1.0,descriptive_driver_not_causal,model_term,Descriptive contribution based on in-sample model coefficient and country value; not causal.,False,10.171515220756195
SGP,Singapore,Q1,oxford_ind_company_investment_emerging_tech,phase6_primary_or_available,iapp_ley_ia_vigente,0.0,0.3611111111111111,7.400864404898034,-5.0857576103780975,negative,1.0,descriptive_driver_not_causal,model_term,Descriptive contribution based on in-sample model coefficient and country value; not causal.,False,5.0857576103780975
NOR,Norway,Q1,oxford_ind_company_investment_emerging_tech,phase6_primary_or_available,iapp_ley_ia_vigente,,,7.400864404898034,,neutral_or_missing,,descriptive_driver_not_causal,model_term,Descriptive contribution based on in-sample model coefficient and country value; not causal.,False,
IRL,Ireland,Q1,oxford_ind_company_investment_emerging_tech,phase6_primary_or_available,iapp_ley_ia_vigente,,,7.400864404898034,,neutral_or_missing,,descriptive_driver_not_causal,model_term,Descriptive contribution based on in-sample model coefficient and country value; not causal.,False,
FRA,France,Q1,oxford_ind_company_investment_emerging_tech,phase6_primary_or_available,iapp_ley_ia_vigente,,,7.400864404898034,,neutral_or_missing,,descriptive_driver_not_causal,model_term,Descriptive contribution based on in-sample model coefficient and country value; not causal.,False,
ESP,Spain,Q1,oxford_ind_company_investment_emerging_tech,phase6_primary_or_available,iapp_ley_ia_vigente,,,7.400864404898034,,neutral_or_missing,,descriptive_driver_not_causal,model_term,Descriptive contribution based on in-sample model coefficient and country value; not causal.,False,
NZL,New Zealand,Q1,oxford_ind_company_investment_emerging_tech,phase6_primary_or_available,iapp_ley_ia_vigente,0.0,0.3611111111111111,7.400864404898034,-5.0857576103780975,negative,1.0,descriptive_driver_not_causal,model_term,Descriptive contribution based on in-sample model coefficient and country value; not causal.,False,5.0857576103780975
NLD,Netherlands (Kingdom of the),Q1,oxford_ind_company_investment_emerging_tech,phase6_primary_or_available,iapp_ley_ia_vigente,,,7.400864404898034,,neutral_or_missing,,descriptive_driver_not_causal,model_term,Descriptive contribution based on in-sample model coefficient and country value; not causal.,False,
GBR,United Kingdom,Q1,oxford_ind_company_investment_emerging_tech,phase6_primary_or_available,iapp_ley_ia_vigente,0.0,0.3611111111111111,7.400864404898034,-5.0857576103780975,negative,2.0,descriptive_driver_not_causal,model_term,Descriptive contribution based on in-sample model coefficient and country value; not causal.,False,5.0857576103780975
QAT,Qatar,Q1,oxford_ind_company_investment_emerging_tech,phase6_primary_or_available,iapp_ley_ia_vigente,,,7.400864404898034,,neutral_or_missing,,descriptive_driver_not_causal,model_term,Descriptive contribution based on in-sample model coefficient and country value; not causal.,False,
