iso3,country_name,question_id,outcome,model_id,observed_value,fitted_value,residual,absolute_residual,residual_rank,residual_percentile,overperformer_underperformer,gap_vs_best,gap_vs_group_best,gap_vs_chile,gap_vs_singapore,interpretation
ARE,United Arab Emirates,Q1,oxford_ind_company_investment_emerging_tech,simple_adjusted_internal,79.5,72.06160560143805,7.438394398561954,7.438394398561954,29.0,0.3333333333333333,overperformer,20.5,20.5,41.0,1.0,Observed minus fitted within in-sample descriptive model; not causal.
CZE,Czech Republic,Q1,oxford_ind_company_investment_emerging_tech,simple_adjusted_internal,55.0,63.47171035089259,-8.471710350892593,8.471710350892593,28.0,0.35714285714285715,underperformer,45.0,45.0,16.5,-23.5,Observed minus fitted within in-sample descriptive model; not causal.
ITA,Italy,Q1,oxford_ind_company_investment_emerging_tech,simple_adjusted_internal,41.0,52.79844772257677,-11.798447722576768,11.798447722576768,19.0,0.5714285714285714,underperformer,59.0,59.0,2.5,-37.5,Observed minus fitted within in-sample descriptive model; not causal.
BGR,Bulgaria,Q1,oxford_ind_company_investment_emerging_tech,simple_adjusted_internal,46.5,36.548060355134865,9.951939644865135,9.951939644865135,25.0,0.42857142857142855,overperformer,53.5,53.5,8.0,-32.0,Observed minus fitted within in-sample descriptive model; not causal.
FIN,Finland,Q1,oxford_ind_company_investment_emerging_tech,simple_adjusted_internal,87.75,75.84520311567809,11.904796884321911,11.904796884321911,18.0,0.5952380952380952,overperformer,12.25,12.25,49.25,9.25,Observed minus fitted within in-sample descriptive model; not causal.
CRI,Costa Rica,Q1,oxford_ind_company_investment_emerging_tech,simple_adjusted_internal,48.25,37.01376777401246,11.236232225987543,11.236232225987543,22.0,0.5,overperformer,51.75,51.75,9.75,-30.25,Observed minus fitted within in-sample descriptive model; not causal.
CHL,Chile,Q1,oxford_ind_company_investment_emerging_tech,simple_adjusted_internal,38.5,49.194693254053306,-10.694693254053306,10.694693254053306,23.0,0.47619047619047616,underperformer,61.5,61.5,0.0,-40.0,Observed minus fitted within in-sample descriptive model; not causal.
USA,United States,Q1,oxford_ind_company_investment_emerging_tech,simple_adjusted_internal,100.0,94.92663328092738,5.073366719072624,5.073366719072624,33.0,0.23809523809523808,overperformer,0.0,0.0,61.5,21.5,Observed minus fitted within in-sample descriptive model; not causal.
CHN,China,Q1,oxford_ind_company_investment_emerging_tech,simple_adjusted_internal,59.75,60.86674764179541,-1.1167476417954134,1.1167476417954134,41.0,0.047619047619047616,underperformer,40.25,40.25,21.25,-18.75,Observed minus fitted within in-sample descriptive model; not causal.
IND,India,Q1,oxford_ind_company_investment_emerging_tech,simple_adjusted_internal,64.25,47.715314246996925,16.534685753003075,16.534685753003075,8.0,0.8333333333333334,overperformer,35.75,35.75,25.75,-14.25,Observed minus fitted within in-sample descriptive model; not causal.
JPN,Japan,Q1,oxford_ind_company_investment_emerging_tech,simple_adjusted_internal,80.0,98.44787321520658,-18.447873215206585,18.447873215206585,3.0,0.9523809523809523,underperformer,20.0,20.0,41.5,1.5,Observed minus fitted within in-sample descriptive model; not causal.
EST,Estonia,Q1,oxford_ind_company_investment_emerging_tech,simple_adjusted_internal,58.75,61.92996825660376,-3.1799682566037575,3.1799682566037575,35.0,0.19047619047619047,underperformer,41.25,41.25,20.25,-19.75,Observed minus fitted within in-sample descriptive model; not causal.
ARG,Argentina,Q1,oxford_ind_company_investment_emerging_tech,simple_adjusted_internal,34.5,32.83356705198976,1.6664329480102396,1.6664329480102396,39.0,0.09523809523809523,overperformer,65.5,65.5,-4.0,-44.0,Observed minus fitted within in-sample descriptive model; not causal.
BRA,Brazil,Q1,oxford_ind_company_investment_emerging_tech,simple_adjusted_internal,39.0,23.80491831464304,15.19508168535696,15.19508168535696,9.0,0.8095238095238095,overperformer,61.0,61.0,0.5,-39.5,Observed minus fitted within in-sample descriptive model; not causal.
COL,Colombia,Q1,oxford_ind_company_investment_emerging_tech,simple_adjusted_internal,38.75,31.739788196240713,7.010211803759287,7.010211803759287,30.0,0.30952380952380953,overperformer,61.25,61.25,0.25,-39.75,Observed minus fitted within in-sample descriptive model; not causal.
MEX,Mexico,Q1,oxford_ind_company_investment_emerging_tech,simple_adjusted_internal,39.75,26.173151318258387,13.576848681741613,13.576848681741613,14.0,0.6904761904761905,overperformer,60.25,60.25,1.25,-38.75,Observed minus fitted within in-sample descriptive model; not causal.
PER,Peru,Q1,oxford_ind_company_investment_emerging_tech,simple_adjusted_internal,25.25,39.96000717271999,-14.71000717271999,14.71000717271999,10.0,0.7857142857142857,underperformer,74.75,74.75,-13.25,-53.25,Observed minus fitted within in-sample descriptive model; not causal.
URY,Uruguay,Q1,oxford_ind_company_investment_emerging_tech,simple_adjusted_internal,27.0,44.463298518273355,-17.463298518273355,17.463298518273355,6.0,0.8809523809523809,underperformer,73.0,73.0,-11.5,-51.5,Observed minus fitted within in-sample descriptive model; not causal.
GRC,Greece,Q1,oxford_ind_company_investment_emerging_tech,simple_adjusted_internal,23.5,37.57360883653058,-14.073608836530582,14.073608836530582,13.0,0.7142857142857143,underperformer,76.5,76.5,-15.0,-55.0,Observed minus fitted within in-sample descriptive model; not causal.
ROU,Romania,Q1,oxford_ind_company_investment_emerging_tech,simple_adjusted_internal,31.25,39.94399067865131,-8.69399067865131,8.69399067865131,26.0,0.40476190476190477,underperformer,68.75,68.75,-7.25,-47.25,Observed minus fitted within in-sample descriptive model; not causal.
HRV,Croatia,Q1,oxford_ind_company_investment_emerging_tech,simple_adjusted_internal,25.25,53.82435546023723,-28.57435546023723,28.57435546023723,1.0,1.0,underperformer,74.75,74.75,-13.25,-53.25,Observed minus fitted within in-sample descriptive model; not causal.
ARE,United Arab Emirates,Q1,oxford_ind_ai_unicorns_log,simple_adjusted_internal,0.0,38.16464650369596,-38.16464650369596,38.16464650369596,1.0,1.0,underperformer,100.0,100.0,-16.99916163,-26.94303373,Observed minus fitted within in-sample descriptive model; not causal.
SGP,Singapore,Q1,oxford_ind_ai_unicorns_log,simple_adjusted_internal,26.94303373,12.06781875395937,14.87521497604063,14.87521497604063,12.0,0.7380952380952381,overperformer,73.05696627,73.05696627,9.9438721,0.0,Observed minus fitted within in-sample descriptive model; not causal.
NOR,Norway,Q1,oxford_ind_ai_unicorns_log,simple_adjusted_internal,0.0,0.9098722040393019,-0.9098722040393019,0.9098722040393019,38.0,0.11904761904761904,underperformer,100.0,100.0,-16.99916163,-26.94303373,Observed minus fitted within in-sample descriptive model; not causal.
IRL,Ireland,Q1,oxford_ind_ai_unicorns_log,simple_adjusted_internal,0.0,1.368680804234434,-1.368680804234434,1.368680804234434,34.0,0.21428571428571427,underperformer,100.0,100.0,-16.99916163,-26.94303373,Observed minus fitted within in-sample descriptive model; not causal.
FRA,France,Q1,oxford_ind_ai_unicorns_log,simple_adjusted_internal,16.99916163,1.666218475239471,15.332943154760528,15.332943154760528,10.0,0.7857142857142857,overperformer,83.00083837,83.00083837,0.0,-9.9438721,Observed minus fitted within in-sample descriptive model; not causal.
ESP,Spain,Q1,oxford_ind_ai_unicorns_log,simple_adjusted_internal,0.0,2.8305067913002344,-2.8305067913002344,2.8305067913002344,28.0,0.35714285714285715,underperformer,100.0,100.0,-16.99916163,-26.94303373,Observed minus fitted within in-sample descriptive model; not causal.
NZL,New Zealand,Q1,oxford_ind_ai_unicorns_log,simple_adjusted_internal,0.0,9.997654666287854,-9.997654666287854,9.997654666287854,15.0,0.6666666666666666,underperformer,100.0,100.0,-16.99916163,-26.94303373,Observed minus fitted within in-sample descriptive model; not causal.
NLD,Netherlands (Kingdom of the),Q1,oxford_ind_ai_unicorns_log,simple_adjusted_internal,0.0,0.9633517913411467,-0.9633517913411467,0.9633517913411467,37.0,0.14285714285714285,underperformer,100.0,100.0,-16.99916163,-26.94303373,Observed minus fitted within in-sample descriptive model; not causal.
GBR,United Kingdom,Q1,oxford_ind_ai_unicorns_log,simple_adjusted_internal,43.94219535,45.09730221105742,-1.155106861057419,1.155106861057419,35.0,0.19047619047619047,underperformer,56.05780465,56.05780465,26.94303372,16.99916162,Observed minus fitted within in-sample descriptive model; not causal.
QAT,Qatar,Q1,oxford_ind_ai_unicorns_log,simple_adjusted_internal,0.0,2.957370995288822,-2.957370995288822,2.957370995288822,27.0,0.38095238095238093,underperformer,100.0,100.0,-16.99916163,-26.94303373,Observed minus fitted within in-sample descriptive model; not causal.
AUS,Australia,Q1,oxford_ind_ai_unicorns_log,simple_adjusted_internal,0.0,15.847088309318202,-15.847088309318202,15.847088309318202,9.0,0.8095238095238095,underperformer,100.0,100.0,-16.99916163,-26.94303373,Observed minus fitted within in-sample descriptive model; not causal.
ISR,Israel,Q1,oxford_ind_ai_unicorns_log,simple_adjusted_internal,39.47083098,30.85055651679599,8.620274463204012,8.620274463204012,16.0,0.6428571428571429,overperformer,60.52916902,60.52916902,22.471669350000003,12.527797250000003,Observed minus fitted within in-sample descriptive model; not causal.
BEL,Belgium,Q1,oxford_ind_ai_unicorns_log,simple_adjusted_internal,0.0,2.546934212677015,-2.546934212677015,2.546934212677015,30.0,0.30952380952380953,underperformer,100.0,100.0,-16.99916163,-26.94303373,Observed minus fitted within in-sample descriptive model; not causal.
CAN,Canada,Q1,oxford_ind_ai_unicorns_log,simple_adjusted_internal,26.94303373,15.793608151923777,11.149425578076222,11.149425578076222,14.0,0.6904761904761905,overperformer,73.05696627,73.05696627,9.9438721,0.0,Observed minus fitted within in-sample descriptive model; not causal.
CHE,Switzerland,Q1,oxford_ind_ai_unicorns_log,simple_adjusted_internal,0.0,0.717128689176799,-0.717128689176799,0.717128689176799,41.0,0.047619047619047616,underperformer,100.0,100.0,-16.99916163,-26.94303373,Observed minus fitted within in-sample descriptive model; not causal.
SWE,Sweden,Q1,oxford_ind_ai_unicorns_log,simple_adjusted_internal,0.0,0.7607480041791161,-0.7607480041791161,0.7607480041791161,40.0,0.07142857142857142,underperformer,100.0,100.0,-16.99916163,-26.94303373,Observed minus fitted within in-sample descriptive model; not causal.
AUT,Austria,Q1,oxford_ind_ai_unicorns_log,simple_adjusted_internal,0.0,1.0845295795627798,-1.0845295795627798,1.0845295795627798,36.0,0.16666666666666666,underperformer,100.0,100.0,-16.99916163,-26.94303373,Observed minus fitted within in-sample descriptive model; not causal.
KOR,South Korea,Q1,oxford_ind_ai_unicorns_log,simple_adjusted_internal,0.0,22.469120395120683,-22.469120395120683,22.469120395120683,7.0,0.8571428571428571,underperformer,100.0,100.0,-16.99916163,-26.94303373,Observed minus fitted within in-sample descriptive model; not causal.
HUN,Hungary,Q1,oxford_ind_ai_unicorns_log,simple_adjusted_internal,0.0,4.4829321362259105,-4.4829321362259105,4.4829321362259105,21.0,0.5238095238095238,underperformer,100.0,100.0,-16.99916163,-26.94303373,Observed minus fitted within in-sample descriptive model; not causal.
DNK,Denmark,Q1,oxford_ind_ai_unicorns_log,simple_adjusted_internal,0.0,0.8148556751153375,-0.8148556751153375,0.8148556751153375,39.0,0.09523809523809523,underperformer,100.0,100.0,-16.99916163,-26.94303373,Observed minus fitted within in-sample descriptive model; not causal.
DEU,Germany,Q1,oxford_ind_ai_unicorns_log,simple_adjusted_internal,26.94303373,1.1817908934136065,25.761242836586394,25.761242836586394,5.0,0.9047619047619048,overperformer,73.05696627,73.05696627,9.9438721,0.0,Observed minus fitted within in-sample descriptive model; not causal.
POL,Poland,Q1,oxford_ind_ai_unicorns_log,simple_adjusted_internal,0.0,3.305773187888766,-3.305773187888766,3.305773187888766,25.0,0.42857142857142855,underperformer,100.0,100.0,-16.99916163,-26.94303373,Observed minus fitted within in-sample descriptive model; not causal.
CZE,Czech Republic,Q1,oxford_ind_ai_unicorns_log,simple_adjusted_internal,0.0,1.6288448735803556,-1.6288448735803556,1.6288448735803556,32.0,0.2619047619047619,underperformer,100.0,100.0,-16.99916163,-26.94303373,Observed minus fitted within in-sample descriptive model; not causal.
ITA,Italy,Q1,oxford_ind_ai_unicorns_log,simple_adjusted_internal,0.0,2.9961983316595444,-2.9961983316595444,2.9961983316595444,26.0,0.40476190476190477,underperformer,100.0,100.0,-16.99916163,-26.94303373,Observed minus fitted within in-sample descriptive model; not causal.
BGR,Bulgaria,Q1,oxford_ind_ai_unicorns_log,simple_adjusted_internal,0.0,4.512227915900025,-4.512227915900025,4.512227915900025,20.0,0.5476190476190477,underperformer,100.0,100.0,-16.99916163,-26.94303373,Observed minus fitted within in-sample descriptive model; not causal.
FIN,Finland,Q1,oxford_ind_ai_unicorns_log,simple_adjusted_internal,0.0,0.38805904853831574,-0.38805904853831574,0.38805904853831574,42.0,0.023809523809523808,underperformer,100.0,100.0,-16.99916163,-26.94303373,Observed minus fitted within in-sample descriptive model; not causal.
CRI,Costa Rica,Q1,oxford_ind_ai_unicorns_log,simple_adjusted_internal,0.0,4.379214554964577,-4.379214554964577,4.379214554964577,23.0,0.47619047619047616,underperformer,100.0,100.0,-16.99916163,-26.94303373,Observed minus fitted within in-sample descriptive model; not causal.
CHL,Chile,Q1,oxford_ind_ai_unicorns_log,simple_adjusted_internal,16.99916163,0.02330696885065242,16.97585466114935,16.97585466114935,8.0,0.8333333333333334,overperformer,83.00083837,83.00083837,0.0,-9.9438721,Observed minus fitted within in-sample descriptive model; not causal.
USA,United States,Q1,oxford_ind_ai_unicorns_log,simple_adjusted_internal,100.0,70.84663102011046,29.153368979889535,29.153368979889535,3.0,0.9523809523809523,overperformer,0.0,0.0,83.00083837,73.05696627,Observed minus fitted within in-sample descriptive model; not causal.
CHN,China,Q1,oxford_ind_ai_unicorns_log,simple_adjusted_internal,72.21120639,42.693712422884516,29.517493967115485,29.517493967115485,2.0,0.9761904761904762,overperformer,27.78879361,27.78879361,55.21204476,45.268172660000005,Observed minus fitted within in-sample descriptive model; not causal.
IND,India,Q1,oxford_ind_ai_unicorns_log,simple_adjusted_internal,0.0,6.484150274129056,-6.484150274129056,6.484150274129056,17.0,0.6190476190476191,underperformer,100.0,100.0,-16.99916163,-26.94303373,Observed minus fitted within in-sample descriptive model; not causal.
JPN,Japan,Q1,oxford_ind_ai_unicorns_log,simple_adjusted_internal,16.99916163,41.10582898808548,-24.106667358085478,24.106667358085478,6.0,0.8809523809523809,underperformer,83.00083837,83.00083837,0.0,-9.9438721,Observed minus fitted within in-sample descriptive model; not causal.
EST,Estonia,Q1,oxford_ind_ai_unicorns_log,simple_adjusted_internal,16.99916163,1.8383313094212301,15.16083032057877,15.16083032057877,11.0,0.7619047619047619,overperformer,83.00083837,83.00083837,0.0,-9.9438721,Observed minus fitted within in-sample descriptive model; not causal.
ARG,Argentina,Q1,oxford_ind_ai_unicorns_log,simple_adjusted_internal,0.0,1.717010159569294,-1.717010159569294,1.717010159569294,31.0,0.2857142857142857,underperformer,100.0,100.0,-16.99916163,-26.94303373,Observed minus fitted within in-sample descriptive model; not causal.
BRA,Brazil,Q1,oxford_ind_ai_unicorns_log,simple_adjusted_internal,16.99916163,-9.006625181475163,26.00578681147516,26.00578681147516,4.0,0.9285714285714286,overperformer,83.00083837,83.00083837,0.0,-9.9438721,Observed minus fitted within in-sample descriptive model; not causal.
COL,Colombia,Q1,oxford_ind_ai_unicorns_log,simple_adjusted_internal,0.0,1.384602776171486,-1.384602776171486,1.384602776171486,33.0,0.23809523809523808,underperformer,100.0,100.0,-16.99916163,-26.94303373,Observed minus fitted within in-sample descriptive model; not causal.
MEX,Mexico,Q1,oxford_ind_ai_unicorns_log,simple_adjusted_internal,0.0,5.460523903067469,-5.460523903067469,5.460523903067469,18.0,0.5952380952380952,underperformer,100.0,100.0,-16.99916163,-26.94303373,Observed minus fitted within in-sample descriptive model; not causal.
PER,Peru,Q1,oxford_ind_ai_unicorns_log,simple_adjusted_internal,0.0,13.865770418137245,-13.865770418137245,13.865770418137245,13.0,0.7142857142857143,underperformer,100.0,100.0,-16.99916163,-26.94303373,Observed minus fitted within in-sample descriptive model; not causal.
URY,Uruguay,Q1,oxford_ind_ai_unicorns_log,simple_adjusted_internal,0.0,3.71342129009059,-3.71342129009059,3.71342129009059,24.0,0.4523809523809524,underperformer,100.0,100.0,-16.99916163,-26.94303373,Observed minus fitted within in-sample descriptive model; not causal.
GRC,Greece,Q1,oxford_ind_ai_unicorns_log,simple_adjusted_internal,0.0,4.522146432755021,-4.522146432755021,4.522146432755021,19.0,0.5714285714285714,underperformer,100.0,100.0,-16.99916163,-26.94303373,Observed minus fitted within in-sample descriptive model; not causal.
ROU,Romania,Q1,oxford_ind_ai_unicorns_log,simple_adjusted_internal,0.0,4.432203995160211,-4.432203995160211,4.432203995160211,22.0,0.5,underperformer,100.0,100.0,-16.99916163,-26.94303373,Observed minus fitted within in-sample descriptive model; not causal.
HRV,Croatia,Q1,oxford_ind_ai_unicorns_log,simple_adjusted_internal,0.0,2.5850936104612656,-2.5850936104612656,2.5850936104612656,29.0,0.3333333333333333,underperformer,100.0,100.0,-16.99916163,-26.94303373,Observed minus fitted within in-sample descriptive model; not causal.
ARE,United Arab Emirates,Q1,oxford_ind_vc_availability,simple_adjusted_internal,25.0,44.61057157409391,-19.61057157409391,19.61057157409391,13.0,0.7142857142857143,underperformer,75.0,75.0,16.0,-75.0,Observed minus fitted within in-sample descriptive model; not causal.
SGP,Singapore,Q1,oxford_ind_vc_availability,simple_adjusted_internal,100.0,78.10724244919817,21.892757550801832,21.892757550801832,11.0,0.7619047619047619,overperformer,0.0,0.0,91.0,0.0,Observed minus fitted within in-sample descriptive model; not causal.
NOR,Norway,Q1,oxford_ind_vc_availability,simple_adjusted_internal,21.0,38.24019561629787,-17.240195616297868,17.240195616297868,16.0,0.6428571428571429,underperformer,79.0,79.0,12.0,-79.0,Observed minus fitted within in-sample descriptive model; not causal.
IRL,Ireland,Q1,oxford_ind_vc_availability,simple_adjusted_internal,27.0,37.909646036720275,-10.909646036720275,10.909646036720275,24.0,0.4523809523809524,underperformer,73.0,73.0,18.0,-73.0,Observed minus fitted within in-sample descriptive model; not causal.
FRA,France,Q1,oxford_ind_vc_availability,simple_adjusted_internal,44.0,31.913035548880337,12.086964451119663,12.086964451119663,22.0,0.5,overperformer,56.0,56.0,35.0,-56.0,Observed minus fitted within in-sample descriptive model; not causal.
ESP,Spain,Q1,oxford_ind_vc_availability,simple_adjusted_internal,16.0,19.892036958771158,-3.8920369587711576,3.8920369587711576,32.0,0.2619047619047619,underperformer,84.0,84.0,7.0,-84.0,Observed minus fitted within in-sample descriptive model; not causal.
NZL,New Zealand,Q1,oxford_ind_vc_availability,simple_adjusted_internal,38.0,55.64653466888929,-17.646534668889288,17.646534668889288,14.0,0.6904761904761905,underperformer,62.0,62.0,29.0,-62.0,Observed minus fitted within in-sample descriptive model; not causal.
NLD,Netherlands (Kingdom of the),Q1,oxford_ind_vc_availability,simple_adjusted_internal,33.0,37.032053366663064,-4.032053366663064,4.032053366663064,30.0,0.30952380952380953,underperformer,67.0,67.0,24.0,-67.0,Observed minus fitted within in-sample descriptive model; not causal.
GBR,United Kingdom,Q1,oxford_ind_vc_availability,simple_adjusted_internal,77.0,53.82529258270067,23.17470741729933,23.17470741729933,10.0,0.7857142857142857,overperformer,23.0,23.0,68.0,-23.0,Observed minus fitted within in-sample descriptive model; not causal.
QAT,Qatar,Q1,oxford_ind_vc_availability,simple_adjusted_internal,0.0,25.159561728598153,-25.159561728598153,25.159561728598153,7.0,0.8571428571428571,underperformer,100.0,100.0,-9.0,-100.0,Observed minus fitted within in-sample descriptive model; not causal.
AUS,Australia,Q1,oxford_ind_vc_availability,simple_adjusted_internal,36.0,60.842063039809155,-24.842063039809155,24.842063039809155,8.0,0.8333333333333334,underperformer,64.0,64.0,27.0,-64.0,Observed minus fitted within in-sample descriptive model; not causal.
ISR,Israel,Q1,oxford_ind_vc_availability,simple_adjusted_internal,100.0,49.979425025942604,50.020574974057396,50.020574974057396,2.0,0.9761904761904762,overperformer,0.0,0.0,91.0,0.0,Observed minus fitted within in-sample descriptive model; not causal.
BEL,Belgium,Q1,oxford_ind_vc_availability,simple_adjusted_internal,25.0,24.17306803727876,0.8269319627212397,0.8269319627212397,38.0,0.11904761904761904,overperformer,75.0,75.0,16.0,-75.0,Observed minus fitted within in-sample descriptive model; not causal.
CAN,Canada,Q1,oxford_ind_vc_availability,simple_adjusted_internal,100.0,60.894777809715535,39.105222190284465,39.105222190284465,4.0,0.9285714285714286,overperformer,0.0,0.0,91.0,0.0,Observed minus fitted within in-sample descriptive model; not causal.
CHE,Switzerland,Q1,oxford_ind_vc_availability,simple_adjusted_internal,72.0,39.79159066188038,32.20840933811962,32.20840933811962,5.0,0.9047619047619048,overperformer,28.0,28.0,63.0,-28.0,Observed minus fitted within in-sample descriptive model; not causal.
SWE,Sweden,Q1,oxford_ind_vc_availability,simple_adjusted_internal,47.0,37.349262394872966,9.650737605127034,9.650737605127034,26.0,0.40476190476190477,overperformer,53.0,53.0,38.0,-53.0,Observed minus fitted within in-sample descriptive model; not causal.
AUT,Austria,Q1,oxford_ind_vc_availability,simple_adjusted_internal,24.0,36.58973168458487,-12.58973168458487,12.58973168458487,20.0,0.5476190476190477,underperformer,76.0,76.0,15.0,-76.0,Observed minus fitted within in-sample descriptive model; not causal.
KOR,South Korea,Q1,oxford_ind_vc_availability,simple_adjusted_internal,8.0,39.7990057182039,-31.7990057182039,31.7990057182039,6.0,0.8809523809523809,underperformer,92.0,92.0,-1.0,-92.0,Observed minus fitted within in-sample descriptive model; not causal.
HUN,Hungary,Q1,oxford_ind_vc_availability,simple_adjusted_internal,6.0,6.624587808903003,-0.6245878089030032,0.6245878089030032,40.0,0.07142857142857142,underperformer,94.0,94.0,-3.0,-94.0,Observed minus fitted within in-sample descriptive model; not causal.
DNK,Denmark,Q1,oxford_ind_vc_availability,simple_adjusted_internal,42.0,36.666359225108486,5.333640774891514,5.333640774891514,28.0,0.35714285714285715,overperformer,58.0,58.0,33.0,-58.0,Observed minus fitted within in-sample descriptive model; not causal.
