STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,FREQ,Frequency of observation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,UNIT_MEASURE,Unit of measure,DECIMALS,Decimals
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,COL,Colombia,SECTPMR,Product market regulation sector indicators,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,COL,Colombia,SECTPMR,Product market regulation sector indicators,A,Annual,2023,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,CRI,Costa Rica,SECTPMR,Product market regulation sector indicators,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,CRI,Costa Rica,SECTPMR,Product market regulation sector indicators,A,Annual,2023,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,CZE,Czechia,SECTPMR,Product market regulation sector indicators,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,CZE,Czechia,SECTPMR,Product market regulation sector indicators,A,Annual,2023,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,DNK,Denmark,SECTPMR,Product market regulation sector indicators,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,DNK,Denmark,SECTPMR,Product market regulation sector indicators,A,Annual,2023,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,EST,Estonia,SECTPMR,Product market regulation sector indicators,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,EST,Estonia,SECTPMR,Product market regulation sector indicators,A,Annual,2023,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,FIN,Finland,SECTPMR,Product market regulation sector indicators,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,FIN,Finland,SECTPMR,Product market regulation sector indicators,A,Annual,2023,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,FRA,France,SECTPMR,Product market regulation sector indicators,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,FRA,France,SECTPMR,Product market regulation sector indicators,A,Annual,2023,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,DEU,Germany,SECTPMR,Product market regulation sector indicators,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,DEU,Germany,SECTPMR,Product market regulation sector indicators,A,Annual,2023,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,GRC,Greece,SECTPMR,Product market regulation sector indicators,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,GRC,Greece,SECTPMR,Product market regulation sector indicators,A,Annual,2023,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,HUN,Hungary,SECTPMR,Product market regulation sector indicators,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,HUN,Hungary,SECTPMR,Product market regulation sector indicators,A,Annual,2023,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,ISL,Iceland,SECTPMR,Product market regulation sector indicators,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,ISL,Iceland,SECTPMR,Product market regulation sector indicators,A,Annual,2023,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,IRL,Ireland,SECTPMR,Product market regulation sector indicators,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,IRL,Ireland,SECTPMR,Product market regulation sector indicators,A,Annual,2023,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,ISR,Israel,SECTPMR,Product market regulation sector indicators,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,ISR,Israel,SECTPMR,Product market regulation sector indicators,A,Annual,2023,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,ITA,Italy,SECTPMR,Product market regulation sector indicators,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,ITA,Italy,SECTPMR,Product market regulation sector indicators,A,Annual,2023,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,JPN,Japan,SECTPMR,Product market regulation sector indicators,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,JPN,Japan,SECTPMR,Product market regulation sector indicators,A,Annual,2023,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,KOR,Korea,SECTPMR,Product market regulation sector indicators,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,KOR,Korea,SECTPMR,Product market regulation sector indicators,A,Annual,2023,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,LVA,Latvia,SECTPMR,Product market regulation sector indicators,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,LVA,Latvia,SECTPMR,Product market regulation sector indicators,A,Annual,2023,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,LTU,Lithuania,SECTPMR,Product market regulation sector indicators,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,LTU,Lithuania,SECTPMR,Product market regulation sector indicators,A,Annual,2023,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,LUX,Luxembourg,SECTPMR,Product market regulation sector indicators,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,LUX,Luxembourg,SECTPMR,Product market regulation sector indicators,A,Annual,2023,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,MEX,Mexico,SECTPMR,Product market regulation sector indicators,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,MEX,Mexico,SECTPMR,Product market regulation sector indicators,A,Annual,2023,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,NLD,Netherlands,SECTPMR,Product market regulation sector indicators,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,NLD,Netherlands,SECTPMR,Product market regulation sector indicators,A,Annual,2023,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,NZL,New Zealand,SECTPMR,Product market regulation sector indicators,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,NZL,New Zealand,SECTPMR,Product market regulation sector indicators,A,Annual,2023,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,NOR,Norway,SECTPMR,Product market regulation sector indicators,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,NOR,Norway,SECTPMR,Product market regulation sector indicators,A,Annual,2023,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,POL,Poland,SECTPMR,Product market regulation sector indicators,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,POL,Poland,SECTPMR,Product market regulation sector indicators,A,Annual,2023,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,PRT,Portugal,SECTPMR,Product market regulation sector indicators,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,PRT,Portugal,SECTPMR,Product market regulation sector indicators,A,Annual,2023,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,SVK,Slovak Republic,SECTPMR,Product market regulation sector indicators,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,SVK,Slovak Republic,SECTPMR,Product market regulation sector indicators,A,Annual,2023,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,SVN,Slovenia,SECTPMR,Product market regulation sector indicators,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,SVN,Slovenia,SECTPMR,Product market regulation sector indicators,A,Annual,2023,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,ESP,Spain,SECTPMR,Product market regulation sector indicators,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,ESP,Spain,SECTPMR,Product market regulation sector indicators,A,Annual,2023,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,SWE,Sweden,SECTPMR,Product market regulation sector indicators,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,SWE,Sweden,SECTPMR,Product market regulation sector indicators,A,Annual,2023,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,CHE,Switzerland,SECTPMR,Product market regulation sector indicators,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,CHE,Switzerland,SECTPMR,Product market regulation sector indicators,A,Annual,2023,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,TUR,Türkiye,SECTPMR,Product market regulation sector indicators,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,TUR,Türkiye,SECTPMR,Product market regulation sector indicators,A,Annual,2023,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,GBR,United Kingdom,SECTPMR,Product market regulation sector indicators,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,GBR,United Kingdom,SECTPMR,Product market regulation sector indicators,A,Annual,2023,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,USA,United States,SECTPMR,Product market regulation sector indicators,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,USA,United States,SECTPMR,Product market regulation sector indicators,A,Annual,2023,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,ARG,Argentina,SECTPMR,Product market regulation sector indicators,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,ARG,Argentina,SECTPMR,Product market regulation sector indicators,A,Annual,2023,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,ARM,Armenia,SECTPMR,Product market regulation sector indicators,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,ARM,Armenia,SECTPMR,Product market regulation sector indicators,A,Annual,2023,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,BRA,Brazil,SECTPMR,Product market regulation sector indicators,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,BRA,Brazil,SECTPMR,Product market regulation sector indicators,A,Annual,2023,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,BGR,Bulgaria,SECTPMR,Product market regulation sector indicators,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,BGR,Bulgaria,SECTPMR,Product market regulation sector indicators,A,Annual,2023,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,CHN,China (People’s Republic of),SECTPMR,Product market regulation sector indicators,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,CHN,China (People’s Republic of),SECTPMR,Product market regulation sector indicators,A,Annual,2023,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,HRV,Croatia,SECTPMR,Product market regulation sector indicators,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,HRV,Croatia,SECTPMR,Product market regulation sector indicators,A,Annual,2023,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,CYP,Cyprus,SECTPMR,Product market regulation sector indicators,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,CYP,Cyprus,SECTPMR,Product market regulation sector indicators,A,Annual,2023,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,IDN,Indonesia,SECTPMR,Product market regulation sector indicators,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,IDN,Indonesia,SECTPMR,Product market regulation sector indicators,A,Annual,2023,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,KEN,Kenya,SECTPMR,Product market regulation sector indicators,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,KEN,Kenya,SECTPMR,Product market regulation sector indicators,A,Annual,2023,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,MLT,Malta,SECTPMR,Product market regulation sector indicators,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,MLT,Malta,SECTPMR,Product market regulation sector indicators,A,Annual,2023,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,MDA,Moldova,SECTPMR,Product market regulation sector indicators,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,MDA,Moldova,SECTPMR,Product market regulation sector indicators,A,Annual,2023,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,PER,Peru,SECTPMR,Product market regulation sector indicators,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,PER,Peru,SECTPMR,Product market regulation sector indicators,A,Annual,2023,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,PHL,Philippines,SECTPMR,Product market regulation sector indicators,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,PHL,Philippines,SECTPMR,Product market regulation sector indicators,A,Annual,2023,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,ROU,Romania,SECTPMR,Product market regulation sector indicators,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,ROU,Romania,SECTPMR,Product market regulation sector indicators,A,Annual,2023,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,ZAF,South Africa,SECTPMR,Product market regulation sector indicators,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,ZAF,South Africa,SECTPMR,Product market regulation sector indicators,A,Annual,2023,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,TWN,Chinese Taipei,SECTPMR,Product market regulation sector indicators,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,TWN,Chinese Taipei,SECTPMR,Product market regulation sector indicators,A,Annual,2023,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,THA,Thailand,SECTPMR,Product market regulation sector indicators,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,THA,Thailand,SECTPMR,Product market regulation sector indicators,A,Annual,2023,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,AUS,Australia,PROFSERV,Professional services,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,AUS,Australia,PROFSERV,Professional services,A,Annual,2023,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,AUT,Austria,PROFSERV,Professional services,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,AUT,Austria,PROFSERV,Professional services,A,Annual,2023,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
