iso3,iapp_regulatory_intensity,iapp_thematic_coverage,oxford_readiness_score,oxford_rank,oxford_pillar_policy_capacity,oxford_pillar_ai_infrastructure,oxford_pillar_governance,oxford_pillar_public_sector_adoption,oxford_pillar_development_and_diffusion,oxford_pillar_resilience,oxford_dimension_compute_capacity,oxford_dimension_policy_vision,oxford_dimension_e_government_delivery,oxford_dimension_safety_and_security,wipo_gii_score,wipo_gii_rank,wipo_ppp_per_capita,wipo_business_sophistication,wipo_infrastructure,wipo_institutional_environment,wipo_institutions,wipo_knowledge_creation,wipo_knowledge_impact,wipo_knowledge_diffusion,wipo_innovation_outputs,wipo_innovation_inputs,wipo_innovation_linkages,wipo_knowledge_absorption,wipo_knowledge_workers,wipo_creative_outputs,wipo_creative_goods_and_services,wipo_online_creativity,wipo_ecological_sustainability,wipo_general_infrastructure,wipo_education,wipo_credit,wipo_regulatory_environment,wipo_intangible_assets,wipo_market_sophistication,wipo_human_capital_and_research,wipo_business_environment,wipo_knowledge_and_technology_outputs,wipo_population_thousands,wipo_tertiary_education,wb_government_effectiveness_2023,wb_regulatory_quality_2023,wb_rule_of_law_2023,wb_control_of_corruption_2023,wb_political_stability_2023,iapp_has_ai_law,gdpr_has_gdpr_like_law,gdpr_has_dpa,gdpr_enforcement_active,is_common_law,income_ordinal,iapp_approach_ordinal,iapp_enforcement_ordinal,gdpr_eu_status,gdpr_eu_adequacy,gdpr_eu_eea_member,gdpr_eu_eu_member,legal_English,legal_French,legal_German,legal_Scandinavian,legal_Socialist,region_simplified,region_africa,region_asia,region_europe,region_latam,region_mena,region_north_america,region_other,region_south_asia
CHN,9,13,76.27,8,92.5,78.36,91.14,49.02,74.67,77.34,80.66,100.0,56.39,100.0,56.5551447506996,10.0,26309.99,57.9578230548257,62.3585735024028,61.7891801839567,57.5627297338659,69.9098333743787,63.0723638159161,51.999246120933,55.8431309075486,56.8023291373442,58.4213600460128,44.5901770366683,70.8619320817959,50.0257807113546,32.4051306908427,3.62226580592397,37.9775138731364,62.1408508074955,69.2346349445366,48.9453356058813,36.7465382573148,82.0378631743258,55.8009123241707,50.3316070714561,74.1524707603262,61.6604811037426,1419321.28,23.6151218827246,0.679014027118683,-0.356507807970047,-0.0401299707591534,-0.0053701046854257,-0.513097047805786,1,1,1,1,0,1,3,3,none,0,0,0,0,0,1,0,0,asia,0,1,0,0,0,0,0,0
CMR,0,0,34.91,116,34.5,34.92,53.75,22.49,29.23,39.93,3.29,30.0,34.97,50.0,18.1843870946301,116.0,5565.67,24.55215765557,18.4668079427472,30.8128867197794,33.5315553258343,7.97545447055583,18.4331049561177,2.40100318839087,8.13477113842432,20.7130996185093,19.1519511237454,23.0963835489104,31.4081382940541,6.66635473849386,4.16929417609216,19.2166224163598,21.4796810939336,4.74221785654044,42.4817722991504,22.8227619885874,16.0406520860423,1.63975118076172,10.5108687599133,16.5041084084816,53.7411271716813,9.60318753835479,29123.75,7.03055292629435,-0.906262576580048,-0.913473010063171,-1.03819787502289,-1.16255974769592,-1.40043640136719,0,0,0,0,0,0,0,0,none,0,0,0,0,1,0,0,0,africa,1,0,0,0,0,0,0,0
COL,3,7,56.02,64,80.5,53.74,67.13,70.7,35.33,50.28,11.28,70.0,85.3,50.0,28.4802835988839,71.0,21436.9,33.6283822222323,41.9925669295178,50.5129581399384,42.4555578821424,11.6116104496837,34.3664941619676,19.1532100776197,23.2115407557661,35.1527421489298,21.6393982176949,36.95818318316,42.287565265842,24.7126432817753,7.44711785278308,28.2370320921162,35.8519517893509,19.5883458722564,37.0277685159437,20.0442426835727,38.5595453679725,31.5832115911008,32.1065287769556,25.5806749338008,38.2941701385163,21.710438229757,52886.36,28.6740539320588,-0.075877919793129,0.101034268736839,-0.458272933959961,-0.309191286563873,-0.717313230037689,0,1,1,1,0,1,2,1,none,0,0,0,0,1,0,0,0,latam,0,0,0,1,0,0,0,0
CRI,2,4,45.92,79,69.0,43.32,66.0,42.61,24.09,58.76,7.69,60.0,63.79,62.33,28.3589014854175,72.0,29779.19,30.7318840868921,43.6786043145446,55.3536321637963,56.3704903655228,4.87698863054684,32.8449318593133,30.1291756864749,20.2519089102736,36.4158930023064,22.8748237571914,38.2223041872988,31.098524316186,17.8867857617689,13.5229145327288,25.8307362274228,37.7756678467803,20.8472967392403,54.6799062045918,17.3327926179701,56.5437037708286,16.0967461434619,24.8901796809525,26.4083065636201,57.2141351619434,22.6170320587783,5129.91,19.7235735052848,0.260196477174759,0.543547570705414,0.389316648244858,0.653749406337738,0.984186828136444,0,1,1,1,0,1,2,1,none,0,0,0,0,1,0,0,0,latam,0,0,0,1,0,0,0,0
CYP,10,14,59.71,47,73.0,58.17,76.52,81.29,36.07,51.81,8.83,70.0,87.04,50.0,45.4989362579263,25.0,59857.88,43.3255016698366,48.3809578279564,68.86642008883,56.4306484150529,35.9545740970798,22.1732688479752,57.7824723505195,44.6375105157894,45.4999187883947,42.2775078776638,36.7661905155395,50.9328066163063,50.6382492663873,37.9674951835738,58.4432203823701,32.6654749570156,30.2546440342714,63.816243556834,28.0335432588667,61.1829073194378,53.0711407498027,41.4488459872546,37.9136400418731,39.2426178368907,38.6367717651915,1358.28,42.340790468715,0.73773992061615,0.778258264064789,0.628040313720703,0.332707405090332,0.409627169370651,1,1,1,1,1,2,3,3,eu_member,0,0,1,1,0,0,0,0,europe,0,0,1,0,0,0,0,0
CZE,10,14,64.56,32,81.0,58.61,74.14,69.33,54.04,67.74,15.76,90.0,92.52,66.67,42.0357587785266,32.0,56686.22,42.5200032572955,54.0441094348097,75.6097112899136,67.4575960619148,35.3580621691649,37.7234235559972,55.0338017014683,40.523577702343,47.5611455819444,33.0116672264898,46.63210787209,47.9162346733067,38.3420595958092,53.6359949104829,58.0208649631376,42.4002515380027,44.8549149008759,57.4409013366027,16.4933749845827,76.8223615081269,20.8556892548082,30.0927424883178,43.691276667384,49.940715387704,42.7050958088768,10735.86,45.8764191549034,1.1140114068985,1.30448853969574,1.14218366146088,0.767809867858887,0.967361629009247,1,1,1,1,0,2,3,3,eu_member,0,0,1,0,0,0,0,1,europe,0,0,1,0,0,0,0,0
DEU,10,14,76.78,6,84.5,73.28,91.17,82.89,66.24,73.37,56.98,80.0,85.6,83.33,55.4553512524913,11.0,70930.36,55.2848797202183,52.9316981517224,78.5012421983542,73.5301708713333,57.0116439022172,50.6183467315515,54.0679406788273,56.2490922575727,59.916581125836,58.5051767908235,45.475463116425,61.8739992534063,58.5988740776133,31.8982936599061,65.32865818119,27.7522480499114,49.3997747723721,62.0290529666461,46.7022890308641,84.8132782643188,68.5842722346786,56.4021185107405,61.4340383751657,57.2759921513267,53.899310437532,84552.24,53.906267237621,1.18541669845581,1.45697498321533,1.55120778083801,1.66416621208191,0.586989283561707,1,1,1,1,0,2,3,3,eu_member,0,0,1,0,0,1,0,0,europe,0,0,1,0,0,0,0,0
DNK,10,14,74.75,11,92.5,59.51,94.02,85.26,58.91,90.01,12.74,100.0,99.98,100.0,56.914915504656,9.0,83454.42,56.8949044988554,60.6357819329771,92.6528049684447,88.745325627212,56.42823471803,47.4328713421728,40.9784416501234,50.6132733790293,63.6147647445384,61.4340843072428,43.6611295443484,65.5894996449749,52.9466975212833,33.8301373143628,72.5592024837213,39.7551854076133,47.523869189749,67.9725027808382,52.8811514224812,94.2916163040156,52.6987251435245,52.9253841431501,58.8724275204976,79.2915556091757,48.2798492367754,5977.41,43.1320200943932,2.01564884185791,1.83951985836029,1.90893590450287,2.37605309486389,0.850847959518433,1,1,1,1,0,2,3,3,eu_member,0,0,1,0,0,0,1,0,europe,0,0,1,0,0,0,0,0
EGY,3,6,59.1,52,100.0,47.71,67.5,60.07,47.68,61.14,7.91,100.0,71.5,83.33,24.7122281668271,86.0,20799.05,19.8359845530163,31.7980266424363,38.4803322589491,35.8670374792062,11.1247975325554,28.6233434305422,13.2071764053503,19.1562445354012,28.1536630093777,30.2626071452357,16.9839002891204,12.2614462246929,20.6607166146531,5.76319523275793,21.9203399691276,14.867743828092,19.7918286515621,38.9770577218402,20.7498886445949,29.6775466020063,27.4796656283634,30.1866499108339,23.080616461396,39.4432335766632,17.6517724561493,116538.26,17.8142601343546,-0.239516973495483,-0.665456295013428,-0.184178426861763,-0.747790396213531,-0.866764307022095,0,1,0,0,0,0,2,1,none,0,0,0,0,1,0,0,0,mena,0,0,0,0,1,0,0,0
ESP,10,14,74.22,13,92.0,65.72,87.98,78.21,61.98,81.7,25.03,80.0,89.14,100.0,44.6070366016514,29.0,55089.21,41.7966246683804,56.2893701615058,68.0152705898938,56.1806833046263,36.5704223132732,37.5136713102618,34.9982410776027,40.5815100241989,49.2863389171574,32.4806135723056,34.9560459487936,57.953214484042,44.8022418146853,31.105902748497,43.6355438137434,40.9117441114706,42.3600671739298,60.7624567416399,38.0692983015737,64.7747961861912,52.2337603482503,44.8250663309596,47.3399501203148,35.7519831377937,36.3607782337125,47910.53,37.0376865421981,0.752065539360046,0.693764328956604,0.822885692119598,0.629368722438812,0.287291556596756,1,1,1,1,0,2,3,3,eu_member,0,0,1,0,1,0,0,0,europe,0,0,1,0,0,0,0,0
EST,10,14,69.56,21,96.0,54.29,90.0,99.63,46.01,64.38,7.69,90.0,99.88,66.67,51.091978139021,16.0,48008.04,48.1398139004704,61.2722702961027,80.864284677067,78.6759290149683,28.6379413120113,46.3063469879377,44.6492100894991,44.788715927979,59.8271538639781,36.265422552,46.9821528045491,61.171866344862,49.7129323928086,52.0501045535645,62.3808910600477,37.8201832028266,47.6037524540458,64.7030359509665,45.8677596598987,83.763936362649,42.210366978811,66.5050477945301,44.5427083138189,71.3995660051889,39.8644994631494,1360.55,45.6350554805813,1.2634699344635,1.42964351177216,1.42638897895813,1.53812229633331,0.660533905029297,1,1,1,1,0,2,3,3,eu_member,0,0,1,0,0,0,0,1,europe,0,0,1,0,0,0,0,0
FIN,10,14,70.3,18,80.5,61.63,84.2,81.77,63.01,62.0,19.27,70.0,89.24,33.33,57.7063647384345,7.0,64657.34,61.0849594332086,65.857209014499,85.911038883567,85.5411197141405,60.8843903584485,54.8889885759898,58.1375732882886,52.7841165020617,66.0897445409102,65.0159716655199,48.7084562784556,69.5304503556504,47.5979155965477,31.3525050899667,69.0405351652262,40.9442017164923,59.4366155383392,67.9569711275484,58.3658476782373,94.2840132147289,44.999311065499,56.8888231854997,61.0766113572033,76.4283070441257,57.9703174075756,5617.31,52.1048846581933,1.73860657215118,1.76514935493469,1.96704590320587,2.22151660919189,0.713986694812775,1,1,1,1,0,2,3,3,eu_member,0,0,1,0,0,0,1,0,europe,0,0,1,0,0,0,0,0
FRA,10,14,80.81,2,77.5,76.27,90.0,97.18,68.2,88.63,51.11,100.0,96.1,100.0,53.4156786988289,13.0,65940.41,55.456901770646,54.8730134223327,71.2152903664339,67.4695033860867,42.0160161184864,48.4761759892754,40.3616165443013,52.2081251799358,58.6185214057717,48.4095785299653,47.4604460810954,70.5006807008772,60.7983141425173,31.2484261246148,51.9278833963253,32.2757430481217,47.8649395601511,60.6756004646329,57.454274064845,75.4103892166369,80.0084735245645,60.9292986456008,54.3638898041921,55.7828305751893,43.6179362173544,66548.53,40.776647838202,1.14462625980377,1.15350544452667,1.18057084083557,1.18482184410095,0.343697965145111,1,1,1,1,0,2,3,3,eu_member,0,0,1,0,1,0,0,0,europe,0,0,1,0,0,0,0,0
GBR,6,13,77.75,3,100.0,72.49,92.27,68.93,68.46,83.3,50.34,100.0,52.84,100.0,59.1153757105143,6.0,62573.61,56.4371660246843,55.0277806442729,72.1663280494603,69.8759027711095,59.0834989560394,63.5416205880416,53.3682657782447,59.962724297087,62.1359116140509,61.3468447392863,38.5861562900205,69.3784970447462,61.2609868200654,50.3673200961013,63.3015118859312,37.9956019659475,34.8487809616626,61.3220986076234,54.5733583517852,83.7067679182011,65.6875576491145,68.7058653443424,60.6328432858455,53.7546123456671,58.6644617741085,69138.19,50.7545925395952,1.16114270687103,1.53656673431396,1.39836597442627,1.48091387748718,0.514935672283173,0,1,1,1,1,2,2,3,adequacy,1,0,0,1,0,0,0,0,europe,0,0,1,0,0,0,0,0
GRC,10,14,60.51,42,76.5,52.39,75.53,78.76,41.5,62.47,9.4,60.0,86.86,66.67,37.3467991812641,42.0,42065.72,26.7313660236458,49.3301980340887,62.167152424818,50.4965516598994,24.9726649240674,38.6017674647282,25.2941168208007,31.0934003822405,41.2121101547797,18.0229318521894,23.8305732350772,38.3405929836709,32.563951027949,20.285737229362,34.0041899385803,34.5705538971298,36.4953376633465,59.8417931413495,28.9030523713536,53.6035778501844,37.9829384719268,32.7632559245117,46.7391791317528,35.7189247046958,29.6228497365321,10047.82,55.5108994456181,0.148003026843071,0.578935325145721,0.213158577680588,0.0978469252586365,0.239744067192078,1,1,1,1,0,2,3,3,eu_member,0,0,1,0,1,0,0,0,europe,0,0,1,0,0,0,0,0
HRV,10,14,49.79,72,34.5,52.04,70.64,71.67,29.92,45.04,8.5,30.0,88.34,33.33,37.6794484448472,40.0,48811.09,29.7520570652897,54.0884465393761,68.586978076186,46.140143794639,20.8269435240144,39.6532647527131,33.5240197703537,31.405162978519,41.2685446347862,15.0445196050878,31.613121122957,42.5985304678243,31.4755832746777,24.1100084173949,37.6035111737744,44.6346692876829,34.0679065456619,67.7499146480571,31.8118310085986,54.7147637838624,32.0944067537707,36.5469496197407,39.8151261548857,15.1186895238685,31.3347426823604,3875.33,38.0291460660424,0.712653696537018,0.643900275230408,0.36060556769371,0.181928679347038,0.59771203994751,1,1,1,1,0,2,3,3,eu_member,0,0,1,0,0,0,0,1,europe,0,0,1,0,0,0,0,0
HUN,10,14,63.17,35,77.0,56.02,82.31,82.61,45.24,54.17,8.98,80.0,84.36,50.0,39.9943737874299,36.0,46807.17,46.3020167896793,51.047374053243,65.9692172799138,52.1830972370155,22.4900922543149,37.1888267304932,47.0618537946295,33.8358201068539,45.3073105542679,35.3523009313213,55.3617903598538,48.1919590778627,32.091382620562,32.8799734643931,40.5526279596067,41.8134811233198,37.0682140142217,57.1956356879947,33.1033357020915,54.2504550753172,27.4664645291241,34.0549523733938,42.9491123180079,36.3296193558157,35.5802575931458,9676.14,36.7903270184873,0.372758895158768,0.318309366703033,0.427084535360336,-0.0004981306265108,0.731891810894012,1,1,1,1,0,1,3,3,eu_member,0,0,1,0,0,0,0,1,europe,0,0,1,0,0,0,0,0
IDN,3,7,59.87,46,77.0,60.28,61.25,73.77,44.09,58.27,21.15,80.0,86.59,66.67,31.305020749127,55.0,16542.11,24.1954565432538,41.2077402998492,57.6980153314264,59.5051938579778,11.1023008778689,34.8980405805735,13.8139064246569,22.3494724799557,38.8888825516023,36.9398594391303,25.5926133058888,10.0538968847423,24.7608623322115,9.76193609964156,23.9832757263713,14.8492762119229,32.0275604190189,30.1867512720085,30.3071159421151,42.8315375386832,32.6491187514166,44.3162235098245,25.2197985471063,77.9860287038238,19.9380826276998,283487.93,19.977920128449,0.58032637834549,0.301378756761551,-0.153604462742805,-0.48687219619751,-0.404375314712524,0,1,0,0,0,1,2,1,none,0,0,0,0,1,0,0,0,asia,0,1,0,0,0,0,0,0
IND,4,10,66.55,27,96.0,63.31,64.03,79.07,54.85,59.46,48.5,90.0,86.96,83.33,38.1998133830439,38.0,11111.71,28.1027400510157,39.0274383079649,56.1607531947581,51.4526599354144,24.8709149134336,53.3656083092953,38.2910146345811,35.4891392831555,41.1285231701829,24.5668166544146,34.6430079374797,25.0983955611527,32.1357659472078,23.2515896718154,26.0412500268107,13.8506587730457,39.2011968158744,44.5120002061049,33.1549640088743,43.8182407003384,39.6251120451024,52.2955489840972,34.7642285724225,54.3789859111468,38.8425126191033,1450935.79,28.3702989254677,0.47511014342308,-0.136969581246376,0.188364565372467,-0.366014748811722,-0.635076940059662,0,1,0,0,1,0,1,2,none,0,0,0,1,0,0,0,0,other,0,0,0,0,0,0,1,0
IRL,10,14,70.58,17,88.5,64.71,94.57,74.12,56.91,60.25,32.34,90.0,96.92,50.0,50.3512250208889,18.0,127750.16,55.7099520980545,54.8219133642929,82.5544296336259,79.1393523161823,22.7346799504083,52.7947523408739,66.435135626595,44.7950678323647,55.1265946125265,47.9731101350802,51.629912415321,67.5268337437624,42.268613025437,34.1629407964229,54.9748783567804,44.9945770661941,40.941221083946,54.2214660077835,34.2917393818346,86.2710698117414,39.9683164742723,37.8763624745281,48.0853928095747,68.5925575031797,47.3215226392924,5255.02,42.0493062267215,1.59114551544189,1.74936389923096,1.63358354568481,1.5752888917923,0.901911556720734,1,1,1,1,1,2,3,3,eu_member,0,0,1,1,0,0,0,0,europe,0,0,1,0,0,0,0,0
ISL,2,4,60.49,44,77.0,58.43,65.27,66.61,43.0,76.53,7.91,80.0,72.69,63.33,47.0172011061986,24.0,78808.04,52.4205900346645,64.8518661557634,88.405708993942,78.6333381165706,46.9498457129399,25.114185285337,18.7358123498351,37.9291007363802,59.1584302230939,46.8129083048503,40.797829400607,69.6510323985363,45.5915870233897,43.5474645090992,76.8267932817358,40.0407206549017,64.9768082523097,68.3720930223637,34.5709570748635,84.4254526228258,30.996045151362,52.3742029412557,47.512153867215,63.0688527329439,30.2666144493707,393.4,34.2300973749032,1.55512094497681,1.28444385528564,1.72111761569977,1.55130612850189,1.21440374851227,0,1,1,1,0,2,1,1,eea_member,0,1,0,0,0,0,1,0,europe,0,0,1,0,0,0,0,0
ISR,4,8,71.32,16,92.0,62.7,90.38,70.61,64.66,61.32,21.14,80.0,75.35,66.67,52.2499679129743,14.0,54446.21,59.0190062271854,49.9875010360955,70.1392909786598,65.4646314729991,53.1071539767832,59.38696663612,55.8582468437144,48.5965942461785,56.8571531271557,64.295167349485,33.5910494102893,79.170801921782,41.0757326734845,44.8301724970564,61.4152534647019,19.7749871746146,45.4120804671062,58.1358567879119,43.4020711759181,72.232888122168,29.0287523660899,56.7415923114794,53.0730345880192,54.0217153181695,56.1174558188725,9387.02,34.7982864503259,1.1453697681427,1.12179791927338,0.783846437931061,0.829359412193298,-1.46484839916229,0,1,1,1,1,2,1,2,adequacy,1,0,0,1,0,0,0,0,mena,0,0,0,0,1,0,0,0
ITA,10,14,68.81,25,69.5,63.56,85.77,70.24,61.38,72.28,39.99,80.0,94.06,83.33,44.9447399864804,28.0,60992.86,38.6926965024249,52.5032748889622,60.5221408671241,51.2451954482769,39.0346049579489,39.7484401966815,45.3853660022932,44.4636276321012,46.1874934136124,42.2790370944951,33.9820057573789,39.8170466554008,47.5377848785612,26.2917266319499,36.2841187933532,36.8031349348741,37.820074161554,59.0461733510728,36.8171396756977,53.8052219003628,63.7876470444709,43.0621868736488,45.4341133547492,39.4082235773438,41.3894703856412,59342.87,34.1902953018427,0.611036896705627,0.644031763076782,0.390358686447144,0.550129175186157,0.583320736885071,1,1,1,1,0,2,3,3,eu_member,0,0,1,0,1,0,0,0,europe,0,0,1,0,0,0,0,0
