iso3,iapp_has_ai_law,iapp_regulatory_intensity,iapp_thematic_coverage,iapp_approach_ordinal,iapp_enforcement_ordinal,oxford_readiness_score,oxford_rank,oxford_pillar_policy_capacity,oxford_pillar_ai_infrastructure,oxford_pillar_governance,oxford_pillar_public_sector_adoption,oxford_pillar_development_and_diffusion,oxford_pillar_resilience,oxford_dimension_compute_capacity,oxford_dimension_policy_vision,oxford_dimension_e_government_delivery,oxford_dimension_safety_and_security,gdpr_has_gdpr_like_law,gdpr_has_dpa,gdpr_enforcement_active,is_common_law,income_ordinal,wipo_gii_score,wipo_gii_rank,wipo_ppp_per_capita,wipo_business_sophistication,wipo_infrastructure,wipo_institutional_environment,wipo_institutions,gdpr_gdpr_similarity_level
CMR,0,0,0,0,0,34.91,116,34.5,34.92,53.75,22.49,29.23,39.93,3.29,30.0,34.97,50.0,0,0,0,0,0,18.1843870946301,116.0,5565.67,24.55215765557,18.4668079427472,30.8128867197794,33.5315553258343,1.0
COL,0,3,7,2,1,56.02,64,80.5,53.74,67.13,70.7,35.33,50.28,11.28,70.0,85.3,50.0,1,1,1,0,1,28.4802835988839,71.0,21436.9,33.6283822222323,41.9925669295178,50.5129581399384,42.4555578821424,2.0
CRI,0,2,4,2,1,45.92,79,69.0,43.32,66.0,42.61,24.09,58.76,7.69,60.0,63.79,62.33,1,1,1,0,1,28.3589014854175,72.0,29779.19,30.7318840868921,43.6786043145446,55.3536321637963,56.3704903655228,2.0
CYP,1,10,14,3,3,59.71,47,73.0,58.17,76.52,81.29,36.07,51.81,8.83,70.0,87.04,50.0,1,1,1,1,2,45.4989362579263,25.0,59857.88,43.3255016698366,48.3809578279564,68.86642008883,56.4306484150529,3.0
CZE,1,10,14,3,3,64.56,32,81.0,58.61,74.14,69.33,54.04,67.74,15.76,90.0,92.52,66.67,1,1,1,0,2,42.0357587785266,32.0,56686.22,42.5200032572955,54.0441094348097,75.6097112899136,67.4575960619148,3.0
DEU,1,10,14,3,3,76.78,6,84.5,73.28,91.17,82.89,66.24,73.37,56.98,80.0,85.6,83.33,1,1,1,0,2,55.4553512524913,11.0,70930.36,55.2848797202183,52.9316981517224,78.5012421983542,73.5301708713333,3.0
DNK,1,10,14,3,3,74.75,11,92.5,59.51,94.02,85.26,58.91,90.01,12.74,100.0,99.98,100.0,1,1,1,0,2,56.914915504656,9.0,83454.42,56.8949044988554,60.6357819329771,92.6528049684447,88.745325627212,3.0
ECU,0,1,2,1,0,53.04,66,76.5,47.34,61.63,79.31,27.94,54.32,6.9,60.0,88.63,66.67,1,1,1,0,1,19.5397643865799,113.0,16515.54,21.102518383249,35.9556840600383,41.6288313621553,30.0949232144316,2.0
EGY,0,3,6,2,1,59.1,52,100.0,47.71,67.5,60.07,47.68,61.14,7.91,100.0,71.5,83.33,1,0,0,0,0,24.7122281668271,86.0,20799.05,19.8359845530163,31.7980266424363,38.4803322589491,35.8670374792062,2.0
ESP,1,10,14,3,3,74.22,13,92.0,65.72,87.98,78.21,61.98,81.7,25.03,80.0,89.14,100.0,1,1,1,0,2,44.6070366016514,29.0,55089.21,41.7966246683804,56.2893701615058,68.0152705898938,56.1806833046263,3.0
EST,1,10,14,3,3,69.56,21,96.0,54.29,90.0,99.63,46.01,64.38,7.69,90.0,99.88,66.67,1,1,1,0,2,51.091978139021,16.0,48008.04,48.1398139004704,61.2722702961027,80.864284677067,78.6759290149683,3.0
FIN,1,10,14,3,3,70.3,18,80.5,61.63,84.2,81.77,63.01,62.0,19.27,70.0,89.24,33.33,1,1,1,0,2,57.7063647384345,7.0,64657.34,61.0849594332086,65.857209014499,85.911038883567,85.5411197141405,3.0
FRA,1,10,14,3,3,80.81,2,77.5,76.27,90.0,97.18,68.2,88.63,51.11,100.0,96.1,100.0,1,1,1,0,2,53.4156786988289,13.0,65940.41,55.456901770646,54.8730134223327,71.2152903664339,67.4695033860867,3.0
GBR,0,6,13,2,3,77.75,3,100.0,72.49,92.27,68.93,68.46,83.3,50.34,100.0,52.84,100.0,1,1,1,1,2,59.1153757105143,6.0,62573.61,56.4371660246843,55.0277806442729,72.1663280494603,69.8759027711095,3.0
GHA,0,2,3,2,1,47.42,78,53.5,46.12,66.25,53.35,33.68,41.81,6.59,40.0,81.71,50.0,1,1,1,1,0,21.8535373304419,101.0,7975.13,24.2361700271735,27.1516148893885,44.841279193436,45.284874285145,2.0
GRC,1,10,14,3,3,60.51,42,76.5,52.39,75.53,78.76,41.5,62.47,9.4,60.0,86.86,66.67,1,1,1,0,2,37.3467991812641,42.0,42065.72,26.7313660236458,49.3301980340887,62.167152424818,50.4965516598994,3.0
HRV,1,10,14,3,3,49.79,72,34.5,52.04,70.64,71.67,29.92,45.04,8.5,30.0,88.34,33.33,1,1,1,0,2,37.6794484448472,40.0,48811.09,29.7520570652897,54.0884465393761,68.586978076186,46.140143794639,3.0
HUN,1,10,14,3,3,63.17,35,77.0,56.02,82.31,82.61,45.24,54.17,8.98,80.0,84.36,50.0,1,1,1,0,1,39.9943737874299,36.0,46807.17,46.3020167896793,51.047374053243,65.9692172799138,52.1830972370155,3.0
IDN,0,3,7,2,1,59.87,46,77.0,60.28,61.25,73.77,44.09,58.27,21.15,80.0,86.59,66.67,1,0,0,0,1,31.305020749127,55.0,16542.11,24.1954565432538,41.2077402998492,57.6980153314264,59.5051938579778,2.0
IND,0,4,10,1,2,66.55,27,96.0,63.31,64.03,79.07,54.85,59.46,48.5,90.0,86.96,83.33,1,0,0,1,0,38.1998133830439,38.0,11111.71,28.1027400510157,39.0274383079649,56.1607531947581,51.4526599354144,2.0
IRL,1,10,14,3,3,70.58,17,88.5,64.71,94.57,74.12,56.91,60.25,32.34,90.0,96.92,50.0,1,1,1,1,2,50.3512250208889,18.0,127750.16,55.7099520980545,54.8219133642929,82.5544296336259,79.1393523161823,3.0
ISL,0,2,4,1,1,60.49,44,77.0,58.43,65.27,66.61,43.0,76.53,7.91,80.0,72.69,63.33,1,1,1,0,2,47.0172011061986,24.0,78808.04,52.4205900346645,64.8518661557634,88.405708993942,78.6333381165706,3.0
ISR,0,4,8,1,2,71.32,16,92.0,62.7,90.38,70.61,64.66,61.32,21.14,80.0,75.35,66.67,1,1,1,1,2,52.2499679129743,14.0,54446.21,59.0190062271854,49.9875010360955,70.1392909786598,65.4646314729991,3.0
ITA,1,10,14,3,3,68.81,25,69.5,63.56,85.77,70.24,61.38,72.28,39.99,80.0,94.06,83.33,1,1,1,0,2,44.9447399864804,28.0,60992.86,38.6926965024249,52.5032748889622,60.5221408671241,51.2451954482769,3.0
JOR,0,2,3,2,1,56.07,63,69.5,48.26,69.64,79.99,35.47,57.39,6.59,80.0,77.23,66.67,1,0,0,0,1,29.6936103734472,65.0,10916.51,24.913618243895,32.4110879847531,51.8674167149872,52.3601181400126,2.0
JPN,1,7,12,3,2,72.24,14,70.0,70.62,80.46,72.71,66.13,80.75,50.49,100.0,73.57,100.0,1,1,1,0,2,53.5565691353389,12.0,53059.36,62.5156580186155,56.2917732624343,86.4764859056036,71.1659572022143,3.0
KAZ,0,2,3,2,1,56.7,58,88.0,53.88,64.63,73.59,39.85,37.38,7.91,70.0,85.98,33.33,1,1,1,0,1,26.341209901218,81.0,41366.31,25.9876201617853,40.8560140391197,52.5310569592374,44.2453928632581,2.0
KEN,0,3,5,2,1,52.55,68,69.0,39.17,70.63,62.14,35.48,70.74,9.13,60.0,69.43,100.0,1,1,1,1,0,21.3791141049195,102.0,7157.32,21.311974238742,27.1434813628694,41.3996646176527,39.5988631929715,2.0
KOR,1,8,12,3,3,76.89,5,96.0,68.21,90.73,79.23,65.88,82.71,40.81,90.0,91.5,100.0,1,1,1,0,2,59.9976353178735,4.0,62960.47,63.6851715501906,60.4678509357773,80.2817087802358,70.9872709677794,3.0
LTU,1,10,14,3,3,65.31,29,80.5,55.11,91.67,84.3,45.56,57.02,8.98,70.0,88.6,46.67,1,1,1,0,2,40.7890541798699,33.0,53623.64,36.381953508697,50.4347231202738,75.6425464175819,71.9175780075124,3.0
LUX,1,10,14,3,3,64.28,33,81.0,57.65,81.52,75.46,46.26,66.54,12.18,90.0,85.39,66.67,1,1,1,0,2,47.2652289615258,23.0,151145.79,58.2553081252497,45.6764827830644,88.1407185509425,83.9005422730218,3.0
LVA,1,10,14,3,3,59.14,51,72.5,53.07,82.35,81.44,37.18,47.58,9.77,50.0,95.23,33.33,1,1,1,0,2,37.5271138784222,41.0,43526.93,35.8796109533488,51.2663734472621,69.6932885920249,57.9331264543815,3.0
MAR,0,2,4,2,1,43.06,86,23.0,48.12,78.75,34.9,30.81,39.78,7.69,20.0,59.8,33.33,1,1,1,0,0,31.0479471722523,57.0,10615.06,14.1786200145431,33.8700243869043,47.605536531429,43.5198652738977,2.0
MEX,0,3,6,2,1,48.33,77,35.0,52.1,67.64,66.11,34.07,32.22,12.47,50.0,77.34,24.33,1,1,1,0,1,30.5127163343233,58.0,24971.32,28.5936744810896,39.2578581482006,42.9898688042018,30.9160601777457,2.0
MLT,1,10,14,3,3,61.48,39,77.0,52.25,87.77,66.58,44.16,65.19,7.19,80.0,67.62,66.67,1,1,1,1,2,45.3472846775166,27.0,72941.91,53.8771078499676,51.0126459549276,71.1623271607614,61.8426743221,3.0
MNG,0,1,1,1,0,40.86,94,35.0,44.37,49.0,69.4,20.5,33.84,5.84,50.0,78.8,26.33,1,0,0,0,0,26.6945540254358,78.0,19063.37,27.4900834520396,38.3614877689468,45.775956428596,35.8766518331113,2.0
MUS,0,2,5,2,1,52.76,67,65.5,48.72,72.5,65.63,38.52,36.76,7.19,70.0,81.26,33.33,1,1,1,0,1,32.5030604688201,53.0,32062.71,25.6296113959724,33.8792717748638,75.1224472011214,66.577295344587,2.0
MYS,0,3,6,2,1,62.34,38,80.5,60.52,78.48,64.78,55.36,38.33,19.78,70.0,63.95,33.33,1,1,1,1,1,40.5814895487474,34.0,41021.96,36.970123291383,45.7622633705954,75.6288581999662,69.0929933731988,2.0
NGA,0,3,7,2,1,50.79,70,80.5,39.1,78.13,47.46,39.45,42.66,9.27,70.0,54.93,66.67,1,1,1,1,0,21.0815209410651,105.0,6542.59,19.5459460252531,19.7177424489489,19.4740154570847,21.1054323125021,2.0
NLD,1,10,14,3,3,77.18,4,92.0,69.85,94.19,94.01,62.5,66.61,39.17,80.0,98.03,66.67,1,1,1,0,2,57.035492429262,8.0,81494.63,62.4707376593728,53.7140358246287,81.6171812925887,81.3646154673126,3.0
NOR,0,4,8,2,2,74.84,10,88.0,65.67,94.02,84.17,60.57,77.5,18.92,70.0,97.79,66.67,1,1,1,0,2,49.2378087475471,20.0,103446.04,51.1828415764032,64.6252120498369,93.0203837844327,83.2700914776109,3.0
NZL,0,4,9,2,2,62.7,37,92.0,57.24,71.88,64.32,49.33,64.3,12.18,80.0,48.63,59.67,1,1,1,1,2,45.4891781536966,26.0,52983.05,52.8860235327345,56.3807160862327,85.1636379792262,82.866879936296,3.0
PAK,0,2,3,2,1,45.38,81,61.5,41.23,61.25,36.51,36.95,50.21,9.99,60.0,59.1,66.67,0,0,0,1,0,22.0640834582869,99.0,6715.3,24.8670607800166,21.1097324603553,25.8474425807837,25.2703953029493,1.0
PAN,0,2,2,2,1,39.3,102,23.0,53.03,41.75,61.33,20.84,30.73,8.67,20.0,62.01,22.0,1,1,1,0,2,25.8798675140179,82.0,41292.26,18.3897086951914,43.8683513823866,51.9937011548727,42.022562111691,2.0
PER,1,6,9,3,2,56.52,60,72.5,45.52,72.5,90.4,31.57,55.57,8.12,50.0,95.94,66.67,1,1,1,0,1,26.4660453517052,80.0,17775.18,24.2270162299287,43.135217229447,45.4637364509529,40.1650305591537,2.0
PHL,0,2,4,2,1,60.51,43,84.5,49.5,83.34,69.17,43.96,58.17,10.39,80.0,95.14,66.67,1,1,1,0,0,33.5939127875318,50.0,12079.57,36.6941813378251,34.2893778528414,51.8372811729892,47.2324967196865,2.0
POL,1,10,14,3,3,69.14,24,96.0,64.79,85.0,74.84,47.18,75.73,33.27,90.0,95.09,95.67,1,1,1,0,2,37.7080354431444,39.0,51628.83,38.0149708146227,45.7703306218224,58.7132965692685,44.9246645477198,3.0
PRT,1,10,14,3,3,66.09,28,57.5,55.38,93.55,81.87,52.86,69.68,11.67,50.0,94.69,66.67,1,1,1,0,2,43.8576909479602,31.0,49236.5,38.8521955178309,48.0736547366661,74.4041798614048,62.8266733654705,3.0
ROU,1,10,14,3,3,56.73,57,84.0,55.23,71.72,55.66,38.06,59.05,12.56,60.0,82.87,59.67,1,1,1,0,1,34.2643558022539,49.0,47203.73,31.1205076918701,51.4497465550374,51.9919900641346,42.2133490069694,3.0
RUS,1,7,8,3,3,59.57,49,65.5,57.23,74.14,69.78,49.64,47.13,21.43,70.0,73.42,50.0,1,1,1,0,1,30.2640735373132,60.0,47298.71,29.7524745356761,36.8985435779303,19.5768827627278,19.0972118777811,2.0
SAU,0,4,7,2,2,71.57,15,92.0,62.93,93.21,88.62,54.48,57.39,25.94,80.0,91.25,66.67,1,1,1,0,2,36.0448190047954,46.0,63117.95,23.696995006064,46.0882340308508,63.2719237205899,64.8702523992604,2.0
SRB,0,2,3,2,1,60.96,40,100.0,52.75,78.64,83.92,35.78,44.42,7.91,100.0,87.85,33.33,1,1,1,0,1,31.7434550377633,54.0,29038.9,27.2265561755483,52.3410978742046,53.1822534025487,46.4779636050017,2.0
SVK,1,10,14,3,3,48.55,73,19.0,55.8,72.5,62.12,31.39,46.62,7.91,10.0,84.24,33.33,1,1,1,0,2,35.5078995905856,47.0,45632.21,32.5237596211826,47.9442036780149,63.6023441707029,47.8355390557875,3.0
SVN,1,10,14,3,3,62.71,36,84.0,57.98,72.5,76.44,45.52,60.99,12.96,60.0,96.6,50.0,1,1,1,0,2,40.1045760929647,35.0,55683.97,41.6381176388817,53.220742573886,74.9519891488068,58.862671503221,3.0
SWE,1,10,14,3,3,69.45,23,89.04,67.49,81.52,73.81,57.03,61.17,34.06,72.61,97.09,33.33,1,1,1,0,2,62.5781910502956,2.0,71730.79,74.0813916200421,67.2257211390787,84.5324008968686,76.3400825878381,3.0
SYC,0,0,0,0,0,27.24,140,8.0,43.75,39.66,26.98,11.77,25.67,2.08,20.0,53.1,11.0,1,1,0,0,2,27.1626135583414,75.0,41077.69,25.6729776597834,37.0588263536191,68.5395513164813,63.3704799145034,2.0
THA,0,3,6,2,1,63.22,34,88.0,56.38,70.44,85.86,52.58,37.35,21.34,70.0,94.03,33.33,1,1,1,0,1,36.6722982832117,45.0,25211.77,35.3525707875337,45.7987141936544,54.9999442150258,44.8137688862987,2.0
TUN,0,2,3,2,1,42.23,88,19.5,43.61,59.0,51.19,36.68,36.76,4.83,30.0,52.38,33.33,1,1,1,0,0,26.9867919028168,76.0,14338.49,16.8226630813444,27.0440599912684,40.0814968269114,31.9498403170472,2.0
TUR,0,3,5,2,1,58.91,53,77.0,52.76,68.18,77.59,45.7,47.27,13.29,80.0,98.06,50.0,1,1,1,0,1,37.2017171076035,43.0,40283.31,31.1190604319765,50.2296848790399,40.3923082864948,33.3000571136086,2.0
UGA,0,1,1,1,0,35.76,113,12.0,33.92,45.75,70.84,20.91,33.65,4.83,30.0,81.67,33.33,1,1,1,1,0,17.0672701323701,124.0,3641.79,12.6933504458456,23.5492159819996,35.6988343983772,41.134266417715,2.0
UKR,0,2,3,2,1,60.84,41,73.5,52.4,83.0,80.24,40.34,58.21,10.99,90.0,99.63,59.67,1,1,1,0,0,29.6910120248977,66.0,19603.12,31.7875719690263,35.5465520751943,28.8437554173772,30.7679246629655,2.0
URY,0,3,5,2,1,58.47,55,61.5,56.52,84.5,83.22,31.19,52.35,7.19,60.0,88.58,50.0,1,1,1,0,2,28.837903949844,68.0,34440.2,25.6110249353253,46.5029524479715,74.7574447215817,67.4306941791209,3.0
USA,0,6,13,2,2,88.36,1,92.5,91.77,82.5,92.87,88.16,78.28,90.92,100.0,97.84,100.0,0,0,1,1,2,61.6892112586677,3.0,86601.28,70.5923065909842,52.3128312927159,78.3930048086383,74.8770833224467,1.0
VNM,0,4,6,2,1,59.98,45,53.5,57.41,88.05,73.21,47.03,43.28,10.66,40.0,84.2,33.33,1,0,0,0,0,37.0799641407315,44.0,16193.27,31.3823101134691,44.8928738764992,59.2830560570262,50.4868319471846,2.0
ZAF,0,3,5,2,1,53.94,65,43.0,60.05,76.58,64.93,37.28,40.81,29.64,70.0,88.68,43.0,1,1,1,1,1,30.1382792250188,61.0,15723.25,28.5529484196885,37.0988322752688,43.6882200285788,36.532907443784,2.0
