Cluster rank,Cluster name,Economy,PCT applications,Scientific publications,Share total PCT filings (%),Share of total publications (%),Total,Rank 2015–19a,Rank changea
66,"Atlanta, GA",US,1659.818633149821,23326.355639803,0.1445944759191293,0.3290105663701438,0.5,64,-2
67,Rome,IT,846.4407203907257,28300.53487618612,0.07373440344042823,0.3991697268091089,0.5,68,1
68,Shenyang,CN,608.171310654523,29090.22265951569,0.05297848709357325,0.4103080129975554,0.5,77,9
69,"Cincinnati, OH",US,3913.097473427953,7810.51823156382,0.3408815825966958,0.1101647881346336,0.5,65,-4
70,Nuremberg–Erlangen,DE,3648.686072451669,9390.110555199743,0.3178455042777251,0.1324444177972537,0.5,69,-1
71,São Paulo,BR,757.4316211566291,25887.37758417202,0.06598072066655807,0.3651329377089961,0.4,71,0
72,Dalian,CN,860.9957393483679,24691.76939784604,0.07500430025509205,0.3482692778808977,0.4,81,9
73,Helsinki,FI,2672.066670863559,13346.48370440244,0.2328248079879306,0.1882477584772185,0.4,72,-1
74,Busan,KR,2272.962809997009,15583.70911910878,0.1980003475731262,0.2198030863713968,0.4,74,0
75,"Dallas, TX",US,3190.850660450696,9826.153692051397,0.2779731094156901,0.1385946626804486,0.4,73,-2
76,Vienna,AT,1559.993812332874,19472.81314994271,0.1358928160616221,0.2746576182843716,0.4,75,-1
77,"Ann Arbor, MI",US,1293.472953907477,19802.9154859431,0.1126758842351896,0.2793136030513194,0.4,76,-1
78,Oxford,GB,1550.892714148586,18050.92988229707,0.1351000091596085,0.2546024229326229,0.4,79,1
79,"Pittsburgh, PA",US,1696.126619846198,17077.11282833418,0.1477558536364265,0.2408670540043227,0.4,78,-1
80,Kanazawa,JP,3814.018939394002,3384.38838383307,0.3322434807683722,0.04773568388376483,0.4,84,4
81,Lyon,FR,2381.468475989172,12029.04692786877,0.207466501917844,0.1696657464948486,0.4,80,-1
82,"Vancouver, BC",CA,1482.090069940014,16126.05615338578,0.1291065334162598,0.227452712728454,0.4,82,0
83,Zhengzhou,CN,630.6156214532998,21129.10088067226,0.05493363625820191,0.2980190114130131,0.4,98,15
84,Mumbai,IN,1480.618507228065,15671.17540044104,0.1289783439328428,0.2210367694723523,0.4,87,3
85,Hamamatsu,JP,3547.862976291006,2650.433871292593,0.3090583353840057,0.03738349713030082,0.3,83,-2
86,Ankara,TR,565.7015873015866,20197.58167153599,0.04927890171178443,0.2848802396598943,0.3,89,3
87,"Ottawa, ON",CA,1927.72319434949,11781.80523115915,0.1679551732843085,0.1661784837641905,0.3,86,-1
88,Daegu,KR,1842.825617519723,12268.31421749953,0.1605306128110576,0.1730405328391466,0.3,91,3
89,"Phoenix, AZ",US,2358.162254872089,8842.227052900855,0.2054292943436027,0.1247167013815524,0.3,85,-4
90,"Austin, TX",US,2155.658195661197,9993.36182540166,0.1877818106449091,0.1409530783500339,0.3,88,-2
91,Xiamen,CN,1387.278822055146,14650.2402481476,0.1208474189457207,0.2066368152801948,0.3,103,12
92,Warsaw,PL,449.2861992653529,20398.72353863392,0.03913811096382448,0.287717279471724,0.3,92,0
93,Lausanne,CH/FR,1871.891192360259,10928.34816260834,0.1631235255231444,0.1541407528030326,0.3,90,-3
94,Brisbane,AU,1183.743457930965,15157.82997979629,0.1031825577334144,0.2137962013271036,0.3,96,2
95,Hamburg,DE,1839.827090678913,11049.39568664867,0.1602694077644668,0.1558480882761418,0.3,94,-1
96,Lund–Malmö,SE,2148.397780874079,9126.432340893483,0.1871493477444813,0.1287253233974247,0.3,95,-1
97,Chennai,IN,686.1321425917079,18094.36578773656,0.05984064165014528,0.2552150720781063,0.3,99,2
98,Göteborg,SE,1989.511597187439,9971.2080021534,0.1733085935288128,0.1406406059670018,0.3,97,-1
99,Basel,CH/DE/FR,2293.719656813756,7834.900956153564,0.1998447961539026,0.110508698437245,0.3,106,7
100,Lanzhou,CN,199.9786560661552,20669.07411519586,0.01742036571568811,0.2915304853443972,0.3,110,10
