HOJA_DESTINO,COLUMNA_DESTINO,METRIC,YEAR,NUM,ARCHIVO_ORIGEN,HOJA_ORIGEN,COLUMNA_ORIGEN,TRANSFORMACION,AUDITABLE
MATRIZ_GII,CompSoftSpend_SCORE_2021,SCORE,2021,CompSoftSpend,wipo_pub_2000-tech1.xlsx,GII 2021 Data,Score,"Renombrado (Score→SCORE, Rank→RANK, Value→VALUE_SCREEN, DataYear→DATAYR); Normalización NUM para 2021",Buscar en wipo_pub_2000-tech1.xlsx → GII 2021 Data → ISO3 + NUM=CompSoftSpend + Score
MATRIZ_GII,CostRedu_SCORE_2021,SCORE,2021,CostRedu,wipo_pub_2000-tech1.xlsx,GII 2021 Data,Score,"Renombrado (Score→SCORE, Rank→RANK, Value→VALUE_SCREEN, DataYear→DATAYR); Normalización NUM para 2021",Buscar en wipo_pub_2000-tech1.xlsx → GII 2021 Data → ISO3 + NUM=CostRedu + Score
MATRIZ_GII,CreaGoodExp_SCORE_2021,SCORE,2021,CreaGoodExp,wipo_pub_2000-tech1.xlsx,GII 2021 Data,Score,"Renombrado (Score→SCORE, Rank→RANK, Value→VALUE_SCREEN, DataYear→DATAYR); Normalización NUM para 2021",Buscar en wipo_pub_2000-tech1.xlsx → GII 2021 Data → ISO3 + NUM=CreaGoodExp + Score
MATRIZ_GII,CultServExp_SCORE_2021,SCORE,2021,CultServExp,wipo_pub_2000-tech1.xlsx,GII 2021 Data,Score,"Renombrado (Score→SCORE, Rank→RANK, Value→VALUE_SCREEN, DataYear→DATAYR); Normalización NUM para 2021",Buscar en wipo_pub_2000-tech1.xlsx → GII 2021 Data → ISO3 + NUM=CultServExp + Score
MATRIZ_GII,DomCred2Priv_SCORE_2021,SCORE,2021,DomCred2Priv,wipo_pub_2000-tech1.xlsx,GII 2021 Data,Score,"Renombrado (Score→SCORE, Rank→RANK, Value→VALUE_SCREEN, DataYear→DATAYR); Normalización NUM para 2021",Buscar en wipo_pub_2000-tech1.xlsx → GII 2021 Data → ISO3 + NUM=DomCred2Priv + Score
MATRIZ_GII,DomMarkSc_SCORE_2021,SCORE,2021,DomMarkSc,wipo_pub_2000-tech1.xlsx,GII 2021 Data,Score,"Renombrado (Score→SCORE, Rank→RANK, Value→VALUE_SCREEN, DataYear→DATAYR); Normalización NUM para 2021",Buscar en wipo_pub_2000-tech1.xlsx → GII 2021 Data → ISO3 + NUM=DomMarkSc + Score
MATRIZ_GII,EaseCred_SCORE_2021,SCORE,2021,EaseCred,wipo_pub_2000-tech1.xlsx,GII 2021 Data,Score,"Renombrado (Score→SCORE, Rank→RANK, Value→VALUE_SCREEN, DataYear→DATAYR); Normalización NUM para 2021",Buscar en wipo_pub_2000-tech1.xlsx → GII 2021 Data → ISO3 + NUM=EaseCred + Score
MATRIZ_GII,EaseInsol_SCORE_2021,SCORE,2021,EaseInsol,wipo_pub_2000-tech1.xlsx,GII 2021 Data,Score,"Renombrado (Score→SCORE, Rank→RANK, Value→VALUE_SCREEN, DataYear→DATAYR); Normalización NUM para 2021",Buscar en wipo_pub_2000-tech1.xlsx → GII 2021 Data → ISO3 + NUM=EaseInsol + Score
MATRIZ_GII,EaseProtInv_SCORE_2021,SCORE,2021,EaseProtInv,wipo_pub_2000-tech1.xlsx,GII 2021 Data,Score,"Renombrado (Score→SCORE, Rank→RANK, Value→VALUE_SCREEN, DataYear→DATAYR); Normalización NUM para 2021",Buscar en wipo_pub_2000-tech1.xlsx → GII 2021 Data → ISO3 + NUM=EaseProtInv + Score
MATRIZ_GII,EaseStartBus_SCORE_2021,SCORE,2021,EaseStartBus,wipo_pub_2000-tech1.xlsx,GII 2021 Data,Score,"Renombrado (Score→SCORE, Rank→RANK, Value→VALUE_SCREEN, DataYear→DATAYR); Normalización NUM para 2021",Buscar en wipo_pub_2000-tech1.xlsx → GII 2021 Data → ISO3 + NUM=EaseStartBus + Score
MATRIZ_GII,ElecOut_SCORE_2021,SCORE,2021,ElecOut,wipo_pub_2000-tech1.xlsx,GII 2021 Data,Score,"Renombrado (Score→SCORE, Rank→RANK, Value→VALUE_SCREEN, DataYear→DATAYR); Normalización NUM para 2021",Buscar en wipo_pub_2000-tech1.xlsx → GII 2021 Data → ISO3 + NUM=ElecOut + Score
MATRIZ_GII,EntMedia_SCORE_2021,SCORE,2021,EntMedia,wipo_pub_2000-tech1.xlsx,GII 2021 Data,Score,"Renombrado (Score→SCORE, Rank→RANK, Value→VALUE_SCREEN, DataYear→DATAYR); Normalización NUM para 2021",Buscar en wipo_pub_2000-tech1.xlsx → GII 2021 Data → ISO3 + NUM=EntMedia + Score
MATRIZ_GII,EnvPerf_SCORE_2021,SCORE,2021,EnvPerf,wipo_pub_2000-tech1.xlsx,GII 2021 Data,Score,"Renombrado (Score→SCORE, Rank→RANK, Value→VALUE_SCREEN, DataYear→DATAYR); Normalización NUM para 2021",Buscar en wipo_pub_2000-tech1.xlsx → GII 2021 Data → ISO3 + NUM=EnvPerf + Score
MATRIZ_GII,Epart_SCORE_2021,SCORE,2021,Epart,wipo_pub_2000-tech1.xlsx,GII 2021 Data,Score,"Renombrado (Score→SCORE, Rank→RANK, Value→VALUE_SCREEN, DataYear→DATAYR); Normalización NUM para 2021",Buscar en wipo_pub_2000-tech1.xlsx → GII 2021 Data → ISO3 + NUM=Epart + Score
MATRIZ_GII,ExpEdu_SCORE_2021,SCORE,2021,ExpEdu,wipo_pub_2000-tech1.xlsx,GII 2021 Data,Score,"Renombrado (Score→SCORE, Rank→RANK, Value→VALUE_SCREEN, DataYear→DATAYR); Normalización NUM para 2021",Buscar en wipo_pub_2000-tech1.xlsx → GII 2021 Data → ISO3 + NUM=ExpEdu + Score
MATRIZ_GII,FDINetInfl_SCORE_2021,SCORE,2021,FDINetInfl,wipo_pub_2000-tech1.xlsx,GII 2021 Data,Score,"Renombrado (Score→SCORE, Rank→RANK, Value→VALUE_SCREEN, DataYear→DATAYR); Normalización NUM para 2021",Buscar en wipo_pub_2000-tech1.xlsx → GII 2021 Data → ISO3 + NUM=FDINetInfl + Score
MATRIZ_GII,FemEmpDeg_SCORE_2021,SCORE,2021,FemEmpDeg,wipo_pub_2000-tech1.xlsx,GII 2021 Data,Score,"Renombrado (Score→SCORE, Rank→RANK, Value→VALUE_SCREEN, DataYear→DATAYR); Normalización NUM para 2021",Buscar en wipo_pub_2000-tech1.xlsx → GII 2021 Data → ISO3 + NUM=FemEmpDeg + Score
MATRIZ_GII,FirmTrain_SCORE_2021,SCORE,2021,FirmTrain,wipo_pub_2000-tech1.xlsx,GII 2021 Data,Score,"Renombrado (Score→SCORE, Rank→RANK, Value→VALUE_SCREEN, DataYear→DATAYR); Normalización NUM para 2021",Buscar en wipo_pub_2000-tech1.xlsx → GII 2021 Data → ISO3 + NUM=FirmTrain + Score
MATRIZ_GII,GDPEner_SCORE_2021,SCORE,2021,GDPEner,wipo_pub_2000-tech1.xlsx,GII 2021 Data,Score,"Renombrado (Score→SCORE, Rank→RANK, Value→VALUE_SCREEN, DataYear→DATAYR); Normalización NUM para 2021",Buscar en wipo_pub_2000-tech1.xlsx → GII 2021 Data → ISO3 + NUM=GDPEner + Score
MATRIZ_GII,GERDFinAbr_SCORE_2021,SCORE,2021,GERDFinAbr,wipo_pub_2000-tech1.xlsx,GII 2021 Data,Score,"Renombrado (Score→SCORE, Rank→RANK, Value→VALUE_SCREEN, DataYear→DATAYR); Normalización NUM para 2021",Buscar en wipo_pub_2000-tech1.xlsx → GII 2021 Data → ISO3 + NUM=GERDFinAbr + Score
MATRIZ_GII,GERDFinBus_SCORE_2021,SCORE,2021,GERDFinBus,wipo_pub_2000-tech1.xlsx,GII 2021 Data,Score,"Renombrado (Score→SCORE, Rank→RANK, Value→VALUE_SCREEN, DataYear→DATAYR); Normalización NUM para 2021",Buscar en wipo_pub_2000-tech1.xlsx → GII 2021 Data → ISO3 + NUM=GERDFinBus + Score
MATRIZ_GII,GERDPerf_SCORE_2021,SCORE,2021,GERDPerf,wipo_pub_2000-tech1.xlsx,GII 2021 Data,Score,"Renombrado (Score→SCORE, Rank→RANK, Value→VALUE_SCREEN, DataYear→DATAYR); Normalización NUM para 2021",Buscar en wipo_pub_2000-tech1.xlsx → GII 2021 Data → ISO3 + NUM=GERDPerf + Score
MATRIZ_GII,GII_SCORE_2021,SCORE,2021,GII,wipo_pub_2000-tech1.xlsx,GII 2021 Data,Score,"Renombrado (Score→SCORE, Rank→RANK, Value→VALUE_SCREEN, DataYear→DATAYR); Normalización NUM para 2021",Buscar en wipo_pub_2000-tech1.xlsx → GII 2021 Data → ISO3 + NUM=GII + Score
MATRIZ_GII,GII_SCORE_2022,SCORE,2022,GII,wipo-pub-2000-2022-tech1.xlsx,Data,SCORE,Copia directa,Buscar en wipo-pub-2000-2022-tech1.xlsx → Data → ISO3 + NUM=GII + SCORE
MATRIZ_GII,GII_SCORE_2023,SCORE,2023,GII,wipo-pub-2000-2023-tech1.xlsx,Data,SCORE,Copia directa,Buscar en wipo-pub-2000-2023-tech1.xlsx → Data → ISO3 + NUM=GII + SCORE
MATRIZ_GII,GII_SCORE_2024,SCORE,2024,GII,wipo-pub-2000-2024-tech1.xlsx,Data,SCORE,Copia directa,Buscar en wipo-pub-2000-2024-tech1.xlsx → Data → ISO3 + NUM=GII + SCORE
MATRIZ_GII,GII_SCORE_2025,SCORE,2025,GII,wipo-pub-2000-2025-tech1.xlsx,Data,SCORE,Copia directa,Buscar en wipo-pub-2000-2025-tech1.xlsx → Data → ISO3 + NUM=GII + SCORE
MATRIZ_GII,GenTLD_SCORE_2021,SCORE,2021,GenTLD,wipo_pub_2000-tech1.xlsx,GII 2021 Data,Score,"Renombrado (Score→SCORE, Rank→RANK, Value→VALUE_SCREEN, DataYear→DATAYR); Normalización NUM para 2021",Buscar en wipo_pub_2000-tech1.xlsx → GII 2021 Data → ISO3 + NUM=GenTLD + Score
MATRIZ_GII,GovEff_SCORE_2021,SCORE,2021,GovEff,wipo_pub_2000-tech1.xlsx,GII 2021 Data,Score,"Renombrado (Score→SCORE, Rank→RANK, Value→VALUE_SCREEN, DataYear→DATAYR); Normalización NUM para 2021",Buscar en wipo_pub_2000-tech1.xlsx → GII 2021 Data → ISO3 + NUM=GovEff + Score
MATRIZ_GII,GovFundPup_SCORE_2021,SCORE,2021,GovFundPup,wipo_pub_2000-tech1.xlsx,GII 2021 Data,Score,"Renombrado (Score→SCORE, Rank→RANK, Value→VALUE_SCREEN, DataYear→DATAYR); Normalización NUM para 2021",Buscar en wipo_pub_2000-tech1.xlsx → GII 2021 Data → ISO3 + NUM=GovFundPup + Score
MATRIZ_GII,GovOLServ_SCORE_2021,SCORE,2021,GovOLServ,wipo_pub_2000-tech1.xlsx,GII 2021 Data,Score,"Renombrado (Score→SCORE, Rank→RANK, Value→VALUE_SCREEN, DataYear→DATAYR); Normalización NUM para 2021",Buscar en wipo_pub_2000-tech1.xlsx → GII 2021 Data → ISO3 + NUM=GovOLServ + Score
MATRIZ_GII,GroCap_SCORE_2021,SCORE,2021,GroCap,wipo_pub_2000-tech1.xlsx,GII 2021 Data,Score,"Renombrado (Score→SCORE, Rank→RANK, Value→VALUE_SCREEN, DataYear→DATAYR); Normalización NUM para 2021",Buscar en wipo_pub_2000-tech1.xlsx → GII 2021 Data → ISO3 + NUM=GroCap + Score
MATRIZ_GII,HiTechImp_SCORE_2021,SCORE,2021,HiTechImp,wipo_pub_2000-tech1.xlsx,GII 2021 Data,Score,"Renombrado (Score→SCORE, Rank→RANK, Value→VALUE_SCREEN, DataYear→DATAYR); Normalización NUM para 2021",Buscar en wipo_pub_2000-tech1.xlsx → GII 2021 Data → ISO3 + NUM=HiTechImp + Score
MATRIZ_GII,ICTAcc_SCORE_2021,SCORE,2021,ICTAcc,wipo_pub_2000-tech1.xlsx,GII 2021 Data,Score,"Renombrado (Score→SCORE, Rank→RANK, Value→VALUE_SCREEN, DataYear→DATAYR); Normalización NUM para 2021",Buscar en wipo_pub_2000-tech1.xlsx → GII 2021 Data → ISO3 + NUM=ICTAcc + Score
MATRIZ_GII,ICTOrgMod_SCORE_2021,SCORE,2021,ICTOrgMod,wipo_pub_2000-tech1.xlsx,GII 2021 Data,Score,"Renombrado (Score→SCORE, Rank→RANK, Value→VALUE_SCREEN, DataYear→DATAYR); Normalización NUM para 2021",Buscar en wipo_pub_2000-tech1.xlsx → GII 2021 Data → ISO3 + NUM=ICTOrgMod + Score
MATRIZ_GII,ICTServExp_SCORE_2021,SCORE,2021,ICTServExp,wipo_pub_2000-tech1.xlsx,GII 2021 Data,Score,"Renombrado (Score→SCORE, Rank→RANK, Value→VALUE_SCREEN, DataYear→DATAYR); Normalización NUM para 2021",Buscar en wipo_pub_2000-tech1.xlsx → GII 2021 Data → ISO3 + NUM=ICTServExp + Score
MATRIZ_GII,ICTSevImp_SCORE_2021,SCORE,2021,ICTSevImp,wipo_pub_2000-tech1.xlsx,GII 2021 Data,Score,"Renombrado (Score→SCORE, Rank→RANK, Value→VALUE_SCREEN, DataYear→DATAYR); Normalización NUM para 2021",Buscar en wipo_pub_2000-tech1.xlsx → GII 2021 Data → ISO3 + NUM=ICTSevImp + Score
MATRIZ_GII,ICTUse_SCORE_2021,SCORE,2021,ICTUse,wipo_pub_2000-tech1.xlsx,GII 2021 Data,Score,"Renombrado (Score→SCORE, Rank→RANK, Value→VALUE_SCREEN, DataYear→DATAYR); Normalización NUM para 2021",Buscar en wipo_pub_2000-tech1.xlsx → GII 2021 Data → ISO3 + NUM=ICTUse + Score
MATRIZ_GII,IN.1_SCORE_2021,SCORE,2021,IN.1,wipo_pub_2000-tech1.xlsx,GII 2021 Data,Score,"Renombrado (Score→SCORE, Rank→RANK, Value→VALUE_SCREEN, DataYear→DATAYR); Normalización NUM para 2021",Buscar en wipo_pub_2000-tech1.xlsx → GII 2021 Data → ISO3 + NUM=IN.1 + Score
MATRIZ_GII,IN.2_SCORE_2021,SCORE,2021,IN.2,wipo_pub_2000-tech1.xlsx,GII 2021 Data,Score,"Renombrado (Score→SCORE, Rank→RANK, Value→VALUE_SCREEN, DataYear→DATAYR); Normalización NUM para 2021",Buscar en wipo_pub_2000-tech1.xlsx → GII 2021 Data → ISO3 + NUM=IN.2 + Score
MATRIZ_GII,IN.3_SCORE_2021,SCORE,2021,IN.3,wipo_pub_2000-tech1.xlsx,GII 2021 Data,Score,"Renombrado (Score→SCORE, Rank→RANK, Value→VALUE_SCREEN, DataYear→DATAYR); Normalización NUM para 2021",Buscar en wipo_pub_2000-tech1.xlsx → GII 2021 Data → ISO3 + NUM=IN.3 + Score
MATRIZ_GII,IN.4_SCORE_2021,SCORE,2021,IN.4,wipo_pub_2000-tech1.xlsx,GII 2021 Data,Score,"Renombrado (Score→SCORE, Rank→RANK, Value→VALUE_SCREEN, DataYear→DATAYR); Normalización NUM para 2021",Buscar en wipo_pub_2000-tech1.xlsx → GII 2021 Data → ISO3 + NUM=IN.4 + Score
MATRIZ_GII,IN.5_SCORE_2021,SCORE,2021,IN.5,wipo_pub_2000-tech1.xlsx,GII 2021 Data,Score,"Renombrado (Score→SCORE, Rank→RANK, Value→VALUE_SCREEN, DataYear→DATAYR); Normalización NUM para 2021",Buscar en wipo_pub_2000-tech1.xlsx → GII 2021 Data → ISO3 + NUM=IN.5 + Score
MATRIZ_GII,IN_1_1_1_SCORE_2022,SCORE,2022,IN.1.1.1,wipo-pub-2000-2022-tech1.xlsx,Data,SCORE,Copia directa,Buscar en wipo-pub-2000-2022-tech1.xlsx → Data → ISO3 + NUM=IN.1.1.1 + SCORE
MATRIZ_GII,IN_1_1_1_SCORE_2023,SCORE,2023,IN.1.1.1,wipo-pub-2000-2023-tech1.xlsx,Data,SCORE,Copia directa,Buscar en wipo-pub-2000-2023-tech1.xlsx → Data → ISO3 + NUM=IN.1.1.1 + SCORE
MATRIZ_GII,IN_1_1_1_SCORE_2024,SCORE,2024,IN.1.1.1,wipo-pub-2000-2024-tech1.xlsx,Data,SCORE,Copia directa,Buscar en wipo-pub-2000-2024-tech1.xlsx → Data → ISO3 + NUM=IN.1.1.1 + SCORE
MATRIZ_GII,IN_1_1_1_SCORE_2025,SCORE,2025,IN.1.1.1,wipo-pub-2000-2025-tech1.xlsx,Data,SCORE,Copia directa,Buscar en wipo-pub-2000-2025-tech1.xlsx → Data → ISO3 + NUM=IN.1.1.1 + SCORE
MATRIZ_GII,IN_1_1_2_SCORE_2022,SCORE,2022,IN.1.1.2,wipo-pub-2000-2022-tech1.xlsx,Data,SCORE,Copia directa,Buscar en wipo-pub-2000-2022-tech1.xlsx → Data → ISO3 + NUM=IN.1.1.2 + SCORE
MATRIZ_GII,IN_1_1_2_SCORE_2023,SCORE,2023,IN.1.1.2,wipo-pub-2000-2023-tech1.xlsx,Data,SCORE,Copia directa,Buscar en wipo-pub-2000-2023-tech1.xlsx → Data → ISO3 + NUM=IN.1.1.2 + SCORE
MATRIZ_GII,IN_1_1_2_SCORE_2024,SCORE,2024,IN.1.1.2,wipo-pub-2000-2024-tech1.xlsx,Data,SCORE,Copia directa,Buscar en wipo-pub-2000-2024-tech1.xlsx → Data → ISO3 + NUM=IN.1.1.2 + SCORE
MATRIZ_GII,IN_1_1_2_SCORE_2025,SCORE,2025,IN.1.1.2,wipo-pub-2000-2025-tech1.xlsx,Data,SCORE,Copia directa,Buscar en wipo-pub-2000-2025-tech1.xlsx → Data → ISO3 + NUM=IN.1.1.2 + SCORE
MATRIZ_GII,IN_1_1_SCORE_2022,SCORE,2022,IN.1.1,wipo-pub-2000-2022-tech1.xlsx,Data,SCORE,Copia directa,Buscar en wipo-pub-2000-2022-tech1.xlsx → Data → ISO3 + NUM=IN.1.1 + SCORE
MATRIZ_GII,IN_1_1_SCORE_2023,SCORE,2023,IN.1.1,wipo-pub-2000-2023-tech1.xlsx,Data,SCORE,Copia directa,Buscar en wipo-pub-2000-2023-tech1.xlsx → Data → ISO3 + NUM=IN.1.1 + SCORE
MATRIZ_GII,IN_1_1_SCORE_2024,SCORE,2024,IN.1.1,wipo-pub-2000-2024-tech1.xlsx,Data,SCORE,Copia directa,Buscar en wipo-pub-2000-2024-tech1.xlsx → Data → ISO3 + NUM=IN.1.1 + SCORE
MATRIZ_GII,IN_1_1_SCORE_2025,SCORE,2025,IN.1.1,wipo-pub-2000-2025-tech1.xlsx,Data,SCORE,Copia directa,Buscar en wipo-pub-2000-2025-tech1.xlsx → Data → ISO3 + NUM=IN.1.1 + SCORE
MATRIZ_GII,IN_1_2_1_SCORE_2022,SCORE,2022,IN.1.2.1,wipo-pub-2000-2022-tech1.xlsx,Data,SCORE,Copia directa,Buscar en wipo-pub-2000-2022-tech1.xlsx → Data → ISO3 + NUM=IN.1.2.1 + SCORE
MATRIZ_GII,IN_1_2_1_SCORE_2023,SCORE,2023,IN.1.2.1,wipo-pub-2000-2023-tech1.xlsx,Data,SCORE,Copia directa,Buscar en wipo-pub-2000-2023-tech1.xlsx → Data → ISO3 + NUM=IN.1.2.1 + SCORE
MATRIZ_GII,IN_1_2_1_SCORE_2024,SCORE,2024,IN.1.2.1,wipo-pub-2000-2024-tech1.xlsx,Data,SCORE,Copia directa,Buscar en wipo-pub-2000-2024-tech1.xlsx → Data → ISO3 + NUM=IN.1.2.1 + SCORE
MATRIZ_GII,IN_1_2_1_SCORE_2025,SCORE,2025,IN.1.2.1,wipo-pub-2000-2025-tech1.xlsx,Data,SCORE,Copia directa,Buscar en wipo-pub-2000-2025-tech1.xlsx → Data → ISO3 + NUM=IN.1.2.1 + SCORE
MATRIZ_GII,IN_1_2_2_SCORE_2022,SCORE,2022,IN.1.2.2,wipo-pub-2000-2022-tech1.xlsx,Data,SCORE,Copia directa,Buscar en wipo-pub-2000-2022-tech1.xlsx → Data → ISO3 + NUM=IN.1.2.2 + SCORE
MATRIZ_GII,IN_1_2_2_SCORE_2023,SCORE,2023,IN.1.2.2,wipo-pub-2000-2023-tech1.xlsx,Data,SCORE,Copia directa,Buscar en wipo-pub-2000-2023-tech1.xlsx → Data → ISO3 + NUM=IN.1.2.2 + SCORE
MATRIZ_GII,IN_1_2_2_SCORE_2024,SCORE,2024,IN.1.2.2,wipo-pub-2000-2024-tech1.xlsx,Data,SCORE,Copia directa,Buscar en wipo-pub-2000-2024-tech1.xlsx → Data → ISO3 + NUM=IN.1.2.2 + SCORE
MATRIZ_GII,IN_1_2_2_SCORE_2025,SCORE,2025,IN.1.2.2,wipo-pub-2000-2025-tech1.xlsx,Data,SCORE,Copia directa,Buscar en wipo-pub-2000-2025-tech1.xlsx → Data → ISO3 + NUM=IN.1.2.2 + SCORE
MATRIZ_GII,IN_1_2_3_SCORE_2022,SCORE,2022,IN.1.2.3,wipo-pub-2000-2022-tech1.xlsx,Data,SCORE,Copia directa,Buscar en wipo-pub-2000-2022-tech1.xlsx → Data → ISO3 + NUM=IN.1.2.3 + SCORE
MATRIZ_GII,IN_1_2_3_SCORE_2023,SCORE,2023,IN.1.2.3,wipo-pub-2000-2023-tech1.xlsx,Data,SCORE,Copia directa,Buscar en wipo-pub-2000-2023-tech1.xlsx → Data → ISO3 + NUM=IN.1.2.3 + SCORE
MATRIZ_GII,IN_1_2_SCORE_2022,SCORE,2022,IN.1.2,wipo-pub-2000-2022-tech1.xlsx,Data,SCORE,Copia directa,Buscar en wipo-pub-2000-2022-tech1.xlsx → Data → ISO3 + NUM=IN.1.2 + SCORE
MATRIZ_GII,IN_1_2_SCORE_2023,SCORE,2023,IN.1.2,wipo-pub-2000-2023-tech1.xlsx,Data,SCORE,Copia directa,Buscar en wipo-pub-2000-2023-tech1.xlsx → Data → ISO3 + NUM=IN.1.2 + SCORE
MATRIZ_GII,IN_1_2_SCORE_2024,SCORE,2024,IN.1.2,wipo-pub-2000-2024-tech1.xlsx,Data,SCORE,Copia directa,Buscar en wipo-pub-2000-2024-tech1.xlsx → Data → ISO3 + NUM=IN.1.2 + SCORE
MATRIZ_GII,IN_1_2_SCORE_2025,SCORE,2025,IN.1.2,wipo-pub-2000-2025-tech1.xlsx,Data,SCORE,Copia directa,Buscar en wipo-pub-2000-2025-tech1.xlsx → Data → ISO3 + NUM=IN.1.2 + SCORE
MATRIZ_GII,IN_1_3_1_SCORE_2022,SCORE,2022,IN.1.3.1,wipo-pub-2000-2022-tech1.xlsx,Data,SCORE,Copia directa,Buscar en wipo-pub-2000-2022-tech1.xlsx → Data → ISO3 + NUM=IN.1.3.1 + SCORE
MATRIZ_GII,IN_1_3_1_SCORE_2023,SCORE,2023,IN.1.3.1,wipo-pub-2000-2023-tech1.xlsx,Data,SCORE,Copia directa,Buscar en wipo-pub-2000-2023-tech1.xlsx → Data → ISO3 + NUM=IN.1.3.1 + SCORE
MATRIZ_GII,IN_1_3_1_SCORE_2024,SCORE,2024,IN.1.3.1,wipo-pub-2000-2024-tech1.xlsx,Data,SCORE,Copia directa,Buscar en wipo-pub-2000-2024-tech1.xlsx → Data → ISO3 + NUM=IN.1.3.1 + SCORE
MATRIZ_GII,IN_1_3_1_SCORE_2025,SCORE,2025,IN.1.3.1,wipo-pub-2000-2025-tech1.xlsx,Data,SCORE,Copia directa,Buscar en wipo-pub-2000-2025-tech1.xlsx → Data → ISO3 + NUM=IN.1.3.1 + SCORE
MATRIZ_GII,IN_1_3_2_SCORE_2022,SCORE,2022,IN.1.3.2,wipo-pub-2000-2022-tech1.xlsx,Data,SCORE,Copia directa,Buscar en wipo-pub-2000-2022-tech1.xlsx → Data → ISO3 + NUM=IN.1.3.2 + SCORE
MATRIZ_GII,IN_1_3_2_SCORE_2023,SCORE,2023,IN.1.3.2,wipo-pub-2000-2023-tech1.xlsx,Data,SCORE,Copia directa,Buscar en wipo-pub-2000-2023-tech1.xlsx → Data → ISO3 + NUM=IN.1.3.2 + SCORE
