Group.final2,total_pct
Physicians + Resources,9.722222222222221
Physicians + Resources,39.1304347826087
Physicians + GPT-4,57.4074074074074
Physicians + GPT-4,16.41791044776119
Physicians + GPT-4,52.17391304347826
Physicians + GPT-4,42.5
Physicians + GPT-4,57.4074074074074
Physicians + GPT-4,51.49253731343283
Physicians + GPT-4,45.83333333333334
Physicians + GPT-4,71.73913043478261
Physicians + GPT-4,36.25
Physicians + GPT-4,18.51851851851852
Physicians + GPT-4,20.8955223880597
Physicians + GPT-4,36.11111111111111
Physicians + GPT-4,52.17391304347826
Physicians + GPT-4,51.85185185185185
Physicians + GPT-4,31.34328358208955
Physicians + GPT-4,27.77777777777778
Physicians + GPT-4,63.04347826086956
Physicians + Resources,21.25
Physicians + Resources,45.14925373134329
GPT-4 Only,32.5
GPT-4 Only,62.96296296296296
GPT-4 Only,45.52238805970149
GPT-4 Only,33.33333333333334
GPT-4 Only,60.8695652173913
Physicians + Resources,38.88888888888889
Physicians + Resources,36.56716417910448
Physicians + Resources,31.94444444444444
Physicians + Resources,25.37313432835821
Physicians + Resources,34.72222222222222
Physicians + Resources,82.6086956521739
Physicians + GPT-4,46.25
Physicians + GPT-4,79.62962962962963
Physicians + GPT-4,44.02985074626866
Physicians + GPT-4,63.88888888888889
Physicians + GPT-4,47.82608695652174
GPT-4 Only,22.5
GPT-4 Only,51.85185185185185
GPT-4 Only,35.07462686567164
GPT-4 Only,19.44444444444444
GPT-4 Only,47.82608695652174
Physicians + Resources,17.5
Physicians + Resources,36.56716417910448
Physicians + Resources,73.91304347826087
Physicians + GPT-4,23.75
Physicians + GPT-4,54.16666666666666
Physicians + GPT-4,58.69565217391305
Physicians + Resources,10.0
Physicians + Resources,66.66666666666667
Physicians + Resources,23.13432835820895
Physicians + Resources,23.61111111111111
Physicians + Resources,50.0
Physicians + GPT-4,51.85185185185185
Physicians + GPT-4,31.34328358208955
Physicians + GPT-4,58.69565217391305
Physicians + GPT-4,42.53731343283582
Physicians + GPT-4,34.72222222222222
GPT-4 Only,32.5
GPT-4 Only,57.4074074074074
GPT-4 Only,41.79104477611941
GPT-4 Only,30.55555555555556
GPT-4 Only,52.17391304347826
Physicians + Resources,50.0
Physicians + Resources,43.05555555555556
Physicians + GPT-4,20.0
Physicians + GPT-4,53.7037037037037
Physicians + GPT-4,32.83582089552239
Physicians + GPT-4,40.27777777777778
Physicians + GPT-4,58.69565217391305
Physicians + GPT-4,50.0
Physicians + GPT-4,71.73913043478261
Physicians + GPT-4,57.4074074074074
Physicians + GPT-4,17.16417910447761
Physicians + GPT-4,38.88888888888889
Physicians + GPT-4,65.21739130434783
Physicians + Resources,26.25
Physicians + Resources,37.03703703703704
Physicians + Resources,35.07462686567164
Physicians + Resources,16.66666666666667
Physicians + Resources,54.34782608695652
Physicians + GPT-4,30.0
Physicians + GPT-4,59.25925925925926
Physicians + GPT-4,27.23880597014925
Physicians + GPT-4,26.38888888888889
Physicians + GPT-4,58.69565217391305
Physicians + Resources,38.75
Physicians + Resources,53.7037037037037
Physicians + Resources,28.35820895522388
Physicians + Resources,56.52173913043478
Physicians + Resources,43.75
Physicians + Resources,29.16666666666667
Physicians + Resources,56.52173913043478
Physicians + Resources,18.75
Physicians + Resources,37.03703703703704
Physicians + Resources,18.65671641791045
Physicians + Resources,23.61111111111111
Physicians + Resources,58.69565217391305
Physicians + Resources,48.75
Physicians + Resources,61.11111111111111
Physicians + Resources,32.08955223880597
Physicians + Resources,30.55555555555556
Physicians + Resources,45.65217391304348
Physicians + GPT-4,21.875
Physicians + GPT-4,70.37037037037037
Physicians + GPT-4,8.955223880597014
Physicians + Resources,26.25
Physicians + Resources,55.55555555555556
Physicians + Resources,29.1044776119403
Physicians + Resources,27.77777777777778
Physicians + Resources,52.17391304347826
Physicians + GPT-4,37.5
Physicians + GPT-4,48.14814814814815
Physicians + GPT-4,38.80597014925373
Physicians + GPT-4,33.33333333333334
Physicians + GPT-4,47.82608695652174
Physicians + Resources,47.5
Physicians + Resources,46.2962962962963
Physicians + Resources,52.98507462686567
Physicians + Resources,69.56521739130434
Physicians + Resources,26.25
Physicians + Resources,35.18518518518518
Physicians + Resources,24.62686567164179
Physicians + Resources,20.83333333333333
Physicians + Resources,34.78260869565217
Physicians + Resources,46.2962962962963
Physicians + Resources,45.14925373134329
Physicians + Resources,38.88888888888889
Physicians + Resources,54.34782608695652
Physicians + Resources,22.5
Physicians + Resources,31.48148148148148
Physicians + Resources,20.14925373134328
Physicians + Resources,18.05555555555556
Physicians + Resources,65.21739130434783
Physicians + GPT-4,37.5
Physicians + GPT-4,64.81481481481481
Physicians + GPT-4,71.73913043478261
Physicians + GPT-4,31.34328358208955
Physicians + GPT-4,37.5
Physicians + GPT-4,71.73913043478261
Physicians + Resources,44.44444444444444
Physicians + Resources,27.61194029850746
Physicians + Resources,34.72222222222222
Physicians + Resources,45.65217391304348
Physicians + GPT-4,30.0
Physicians + GPT-4,50.0
Physicians + GPT-4,29.85074626865672
Physicians + GPT-4,23.61111111111111
Physicians + GPT-4,52.17391304347826
Physicians + GPT-4,31.48148148148148
Physicians + GPT-4,30.59701492537313
Physicians + GPT-4,47.82608695652174
Physicians + Resources,12.5
Physicians + Resources,57.4074074074074
Physicians + Resources,11.94029850746269
Physicians + Resources,38.88888888888889
Physicians + Resources,35.0
Physicians + Resources,51.85185185185185
Physicians + Resources,29.85074626865672
Physicians + Resources,25.0
Physicians + Resources,52.17391304347826
Physicians + GPT-4,18.75
Physicians + GPT-4,51.85185185185185
Physicians + GPT-4,26.11940298507463
Physicians + GPT-4,26.38888888888889
Physicians + GPT-4,39.1304347826087
Physicians + GPT-4,23.75
Physicians + GPT-4,40.74074074074074
Physicians + GPT-4,23.13432835820895
Physicians + GPT-4,20.83333333333333
Physicians + GPT-4,43.47826086956522
Physicians + Resources,27.5
Physicians + Resources,18.51851851851852
Physicians + Resources,36.56716417910448
Physicians + Resources,20.83333333333333
Physicians + Resources,54.34782608695652
Physicians + GPT-4,21.25
Physicians + GPT-4,37.03703703703704
Physicians + GPT-4,33.33333333333334
Physicians + GPT-4,25.0
Physicians + GPT-4,48.88059701492537
Physicians + GPT-4,86.95652173913044
Physicians + GPT-4,57.4074074074074
Physicians + GPT-4,41.41791044776119
Physicians + GPT-4,38.88888888888889
Physicians + GPT-4,58.69565217391305
o1-preview Only,86.25
o1-preview Only,92.5925925925926
o1-preview Only,68.65671641791045
o1-preview Only,91.66666666666667
o1-preview Only,91.30434782608695
o1-preview Only,78.75
o1-preview Only,96.29629629629629
o1-preview Only,67.16417910447761
o1-preview Only,88.88888888888889
o1-preview Only,91.30434782608695
o1-preview Only,78.75
o1-preview Only,92.5925925925926
o1-preview Only,74.6268656716418
o1-preview Only,88.88888888888889
o1-preview Only,82.6086956521739
Physicians + Resources,26.25
Physicians + Resources,24.07407407407407
Physicians + Resources,20.8955223880597
Physicians + Resources,25.0
Physicians + Resources,50.0
Physicians + GPT-4,40.74074074074074
Physicians + GPT-4,35.07462686567164
Physicians + GPT-4,25.0
Physicians + GPT-4,54.34782608695652
Physicians + Resources,27.5
Physicians + Resources,44.44444444444444
Physicians + Resources,32.83582089552239
Physicians + Resources,33.33333333333334
Physicians + Resources,52.17391304347826
Physicians + GPT-4,12.5
Physicians + GPT-4,25.92592592592593
Physicians + GPT-4,4.477611940298507
Physicians + GPT-4,16.66666666666667
Physicians + GPT-4,50.0
Physicians + Resources,20.0
Physicians + Resources,22.22222222222222
Physicians + Resources,19.44444444444444
Physicians + Resources,41.30434782608695
Physicians + Resources,6.25
Physicians + Resources,20.37037037037037
Physicians + Resources,11.94029850746269
Physicians + Resources,31.94444444444444
Physicians + Resources,17.39130434782609
Physicians + Resources,5.0
Physicians + Resources,16.66666666666667
Physicians + Resources,20.14925373134328
Physicians + Resources,15.27777777777778
Physicians + Resources,19.56521739130435
Physicians + GPT-4,12.5
Physicians + GPT-4,40.74074074074074
Physicians + GPT-4,35.82089552238806
Physicians + Resources,18.75
Physicians + Resources,57.4074074074074
Physicians + Resources,14.55223880597015
Physicians + Resources,20.83333333333333
Physicians + Resources,58.69565217391305
Physicians + Resources,28.75
Physicians + Resources,48.14814814814815
Physicians + Resources,24.62686567164179
Physicians + Resources,43.05555555555556
Physicians + Resources,60.8695652173913
Physicians + Resources,15.0
Physicians + Resources,40.74074074074074
Physicians + Resources,35.82089552238806
Physicians + Resources,19.44444444444444
Physicians + Resources,65.21739130434783
Physicians + Resources,16.875
Physicians + Resources,29.62962962962963
Physicians + Resources,13.43283582089552
Physicians + Resources,39.1304347826087
Physicians + Resources,25.0
Physicians + Resources,40.74074074074074
Physicians + Resources,32.08955223880597
Physicians + Resources,36.11111111111111
Physicians + Resources,54.34782608695652
Physicians + GPT-4,33.75
Physicians + GPT-4,25.92592592592593
Physicians + GPT-4,11.94029850746269
Physicians + GPT-4,63.88888888888889
Physicians + GPT-4,43.47826086956522
Physicians + GPT-4,36.25
Physicians + GPT-4,72.22222222222223
Physicians + GPT-4,47.76119402985075
Physicians + GPT-4,20.83333333333333
Physicians + GPT-4,45.65217391304348
Physicians + GPT-4,47.5
Physicians + GPT-4,29.1044776119403
Physicians + GPT-4,41.66666666666666
Physicians + Resources,13.75
Physicians + Resources,42.5925925925926
Physicians + Resources,18.65671641791045
Physicians + Resources,13.88888888888889
Physicians + Resources,63.04347826086956
Physicians + GPT-4,55.55555555555556
Physicians + GPT-4,35.07462686567164
Physicians + GPT-4,44.44444444444444
Physicians + GPT-4,36.95652173913044
Physicians + Resources,40.0
Physicians + Resources,51.85185185185185
Physicians + Resources,35.82089552238806
Physicians + Resources,31.94444444444444
Physicians + Resources,58.69565217391305
Physicians + Resources,22.5
Physicians + Resources,37.03703703703704
Physicians + Resources,20.52238805970149
Physicians + Resources,20.83333333333333
Physicians + Resources,52.17391304347826
Physicians + Resources,47.5
Physicians + Resources,42.5925925925926
Physicians + GPT-4,27.5
Physicians + GPT-4,57.4074074074074
Physicians + GPT-4,26.25
Physicians + GPT-4,46.2962962962963
Physicians + GPT-4,31.34328358208955
Physicians + GPT-4,13.88888888888889
Physicians + GPT-4,45.65217391304348
Physicians + GPT-4,37.5
Physicians + GPT-4,66.66666666666667
Physicians + GPT-4,39.55223880597015
Physicians + GPT-4,47.22222222222222
Physicians + GPT-4,50.0
Physicians + Resources,34.375
Physicians + Resources,29.62962962962963
Physicians + Resources,29.85074626865672
Physicians + Resources,22.22222222222222
Physicians + Resources,52.17391304347826
GPT-4 Only,25.0
GPT-4 Only,51.85185185185185
GPT-4 Only,41.79104477611941
GPT-4 Only,38.88888888888889
GPT-4 Only,76.08695652173913
