iso3_a,iso3_b,distance,distance_metric,scope
NZL,IND,0.75,jaccard,n18_binary
NZL,JPN,1.0,jaccard,n18_binary
NZL,ARG,0.75,jaccard,n18_binary
NZL,BRA,0.75,jaccard,n18_binary
NZL,COL,0.75,jaccard,n18_binary
NZL,PER,1.0,jaccard,n18_binary
GBR,AUS,0.5,jaccard,n18_binary
GBR,ISR,0.75,jaccard,n18_binary
GBR,CAN,0.75,jaccard,n18_binary
GBR,KOR,1.0,jaccard,n18_binary
GBR,TWN,0.0,jaccard,n18_binary
GBR,CHL,0.0,jaccard,n18_binary
GBR,USA,0.8333333333333334,jaccard,n18_binary
GBR,CHN,0.8333333333333334,jaccard,n18_binary
GBR,IND,0.0,jaccard,n18_binary
GBR,JPN,1.0,jaccard,n18_binary
GBR,ARG,0.0,jaccard,n18_binary
GBR,BRA,0.0,jaccard,n18_binary
GBR,COL,0.0,jaccard,n18_binary
GBR,PER,1.0,jaccard,n18_binary
AUS,ISR,0.33333333333333337,jaccard,n18_binary
AUS,CAN,0.33333333333333337,jaccard,n18_binary
AUS,KOR,1.0,jaccard,n18_binary
AUS,TWN,0.5,jaccard,n18_binary
AUS,CHL,0.5,jaccard,n18_binary
AUS,USA,0.8333333333333334,jaccard,n18_binary
AUS,CHN,0.8333333333333334,jaccard,n18_binary
AUS,IND,0.5,jaccard,n18_binary
AUS,JPN,1.0,jaccard,n18_binary
AUS,ARG,0.5,jaccard,n18_binary
AUS,BRA,0.5,jaccard,n18_binary
AUS,COL,0.5,jaccard,n18_binary
AUS,PER,1.0,jaccard,n18_binary
ISR,CAN,0.0,jaccard,n18_binary
ISR,KOR,1.0,jaccard,n18_binary
ISR,TWN,0.75,jaccard,n18_binary
ISR,CHL,0.75,jaccard,n18_binary
ISR,USA,1.0,jaccard,n18_binary
ISR,CHN,1.0,jaccard,n18_binary
ISR,IND,0.75,jaccard,n18_binary
ISR,JPN,1.0,jaccard,n18_binary
ISR,ARG,0.75,jaccard,n18_binary
ISR,BRA,0.75,jaccard,n18_binary
ISR,COL,0.75,jaccard,n18_binary
ISR,PER,1.0,jaccard,n18_binary
CAN,KOR,1.0,jaccard,n18_binary
CAN,TWN,0.75,jaccard,n18_binary
CAN,CHL,0.75,jaccard,n18_binary
CAN,USA,1.0,jaccard,n18_binary
CAN,CHN,1.0,jaccard,n18_binary
CAN,IND,0.75,jaccard,n18_binary
CAN,JPN,1.0,jaccard,n18_binary
CAN,ARG,0.75,jaccard,n18_binary
CAN,BRA,0.75,jaccard,n18_binary
CAN,COL,0.75,jaccard,n18_binary
CAN,PER,1.0,jaccard,n18_binary
KOR,TWN,1.0,jaccard,n18_binary
KOR,CHL,1.0,jaccard,n18_binary
KOR,USA,0.8333333333333334,jaccard,n18_binary
KOR,CHN,0.8333333333333334,jaccard,n18_binary
KOR,IND,1.0,jaccard,n18_binary
KOR,JPN,0.5,jaccard,n18_binary
KOR,ARG,1.0,jaccard,n18_binary
KOR,BRA,1.0,jaccard,n18_binary
KOR,COL,1.0,jaccard,n18_binary
KOR,PER,0.0,jaccard,n18_binary
TWN,CHL,0.0,jaccard,n18_binary
TWN,USA,0.8333333333333334,jaccard,n18_binary
TWN,CHN,0.8333333333333334,jaccard,n18_binary
TWN,IND,0.0,jaccard,n18_binary
TWN,JPN,1.0,jaccard,n18_binary
TWN,ARG,0.0,jaccard,n18_binary
TWN,BRA,0.0,jaccard,n18_binary
TWN,COL,0.0,jaccard,n18_binary
TWN,PER,1.0,jaccard,n18_binary
CHL,USA,0.8333333333333334,jaccard,n18_binary
CHL,CHN,0.8333333333333334,jaccard,n18_binary
CHL,IND,0.0,jaccard,n18_binary
CHL,JPN,1.0,jaccard,n18_binary
CHL,ARG,0.0,jaccard,n18_binary
CHL,BRA,0.0,jaccard,n18_binary
CHL,COL,0.0,jaccard,n18_binary
CHL,PER,1.0,jaccard,n18_binary
USA,CHN,0.0,jaccard,n18_binary
USA,IND,0.8333333333333334,jaccard,n18_binary
USA,JPN,0.8333333333333334,jaccard,n18_binary
USA,ARG,0.8333333333333334,jaccard,n18_binary
USA,BRA,0.8333333333333334,jaccard,n18_binary
USA,COL,0.8333333333333334,jaccard,n18_binary
USA,PER,0.8333333333333334,jaccard,n18_binary
CHN,IND,0.8333333333333334,jaccard,n18_binary
CHN,JPN,0.8333333333333334,jaccard,n18_binary
CHN,ARG,0.8333333333333334,jaccard,n18_binary
CHN,BRA,0.8333333333333334,jaccard,n18_binary
CHN,COL,0.8333333333333334,jaccard,n18_binary
CHN,PER,0.8333333333333334,jaccard,n18_binary
IND,JPN,1.0,jaccard,n18_binary
IND,ARG,0.0,jaccard,n18_binary
IND,BRA,0.0,jaccard,n18_binary
IND,COL,0.0,jaccard,n18_binary
IND,PER,1.0,jaccard,n18_binary
JPN,ARG,1.0,jaccard,n18_binary
JPN,BRA,1.0,jaccard,n18_binary
JPN,COL,1.0,jaccard,n18_binary
JPN,PER,0.5,jaccard,n18_binary
ARG,BRA,0.0,jaccard,n18_binary
ARG,COL,0.0,jaccard,n18_binary
ARG,PER,1.0,jaccard,n18_binary
BRA,COL,0.0,jaccard,n18_binary
BRA,PER,1.0,jaccard,n18_binary
COL,PER,1.0,jaccard,n18_binary
