iso3,country_name_canonical,region,income_group,n_sources_present,included_in_dense_candidate,zscore_regulatory_treatment_mean,pct_coverage_regulatory_treatment,zscore_ecosystem_outcome_mean,pct_coverage_ecosystem_outcome,zscore_adoption_diffusion_mean,pct_coverage_adoption_diffusion,zscore_socioeconomic_control_mean,pct_coverage_socioeconomic_control,zscore_institutional_control_mean,pct_coverage_institutional_control,zscore_tech_infrastructure_control_mean,pct_coverage_tech_infrastructure_control,rank_regulatory_treatment,rank_ecosystem_outcome,rank_adoption_diffusion,rank_socioeconomic_control,rank_institutional_control,rank_tech_infrastructure_control
PER,Peru,Latin America & Caribbean ,Upper middle income,8,True,-0.0819,70.97,0.1255,100.0,0.6785,57.14,0.7064,92.86,-0.2041,90.32,0.1615,94.61,91,90,54,91,138,78
MNG,Mongolia,East Asia & Pacific,Upper middle income,7,True,0.7458,12.9,0.1192,97.58,0.4513,57.14,0.7639,92.86,-0.1261,67.74,0.0312,87.43,61,91,67,89,133,86
UZB,Uzbekistan,Europe & Central Asia,Lower middle income,7,True,0.2173,12.9,0.0867,97.58,-0.8091,57.14,0.6959,92.86,-0.392,67.74,-0.1665,88.02,77,92,158,92,150,100
ALB,Albania,Europe & Central Asia,Upper middle income,7,True,-0.7607,12.9,0.065,96.77,0.4272,57.14,-0.1168,92.86,-0.0773,87.1,0.1366,85.03,117,93,70,152,128,79
KEN,Kenya,Sub-Saharan Africa ,Lower middle income,8,True,-0.1751,96.77,0.027,99.19,0.5957,57.14,0.1955,92.86,-0.2155,90.32,-0.4003,88.02,100,94,61,125,139,112
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,7,True,-1.0,12.9,-0.0499,96.77,0.0392,57.14,-0.3347,96.43,0.6508,67.74,-0.2893,88.62,129,95,107,171,65,106
LBN,Lebanon,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,7,True,-0.3225,12.9,-0.0548,91.94,0.8475,57.14,0.4614,82.14,-0.8718,67.74,-0.3153,84.43,105,96,49,101,179,107
JAM,Jamaica,Latin America & Caribbean ,Upper middle income,7,True,0.3548,12.9,-0.0861,94.35,0.05,57.14,-0.4559,64.29,0.5105,64.52,-0.3475,82.63,72,97,105,185,76,108
TON,Tonga,East Asia & Pacific,Upper middle income,5,True,,0.0,-0.1178,59.68,,0.0,-0.4273,67.86,5.3781,38.71,-0.826,1.8,,98,,183,11,145
DOM,Dominican Republic (the),Latin America & Caribbean ,Upper middle income,7,True,1.2529,12.9,-0.1218,95.97,0.1064,57.14,-0.0182,85.71,-0.2364,83.87,-0.4169,82.63,43,99,102,142,143,114
BHS,The Bahamas,Latin America & Caribbean ,High income,5,True,,0.0,-0.1377,58.87,0.9882,35.71,0.1303,64.29,2.167,38.71,0.5851,1.8,,100,43,133,26,61
LKA,Sri Lanka,South Asia,Lower middle income,7,True,0.0925,38.71,-0.1429,95.16,0.4012,57.14,-0.3931,89.29,-0.4807,64.52,-0.5599,91.02,81,101,71,178,158,126
TUV,Tuvalu,East Asia & Pacific,Upper middle income,5,True,,0.0,-0.1725,58.87,,0.0,-0.0428,42.86,6.6068,38.71,-0.8884,1.2,,102,,145,5,150
PAK,Pakistan,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,7,True,0.7683,41.94,-0.1735,95.97,1.3831,57.14,2.2825,89.29,-0.4101,83.87,-0.7806,88.02,59,103,33,64,151,140
RWA,Rwanda,Sub-Saharan Africa ,Low income,7,True,0.7912,12.9,-0.1806,94.35,-0.1237,57.14,-0.1956,92.86,0.0778,87.1,-0.454,88.62,57,104,117,159,113,116
ECU,Ecuador,Latin America & Caribbean ,Upper middle income,7,True,-0.3909,12.9,-0.224,96.77,0.1713,57.14,-0.3823,85.71,-0.7438,83.87,-0.5237,89.82,106,105,93,175,170,123
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,7,True,,0.0,-0.2485,96.77,0.3919,57.14,0.1841,92.86,-0.0792,87.1,-0.1084,89.22,,106,72,126,129,95
ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,5,True,-0.7281,12.9,-0.2881,59.68,-0.0802,28.57,0.4783,57.14,5.3684,38.71,-0.503,2.4,115,107,111,100,12,121
KNA,Saint Kitts and Nevis,Latin America & Caribbean ,High income,5,True,,0.0,-0.3157,59.68,,0.0,0.7715,42.86,5.3598,38.71,0.7705,1.8,,108,,88,13,53
BTN,Bhutan,South Asia,Lower middle income,5,True,-0.7697,12.9,-0.3185,59.68,-1.2995,35.71,-0.2881,75.0,2.1154,38.71,-0.4098,2.4,118,109,178,170,28,113
SEN,Senegal,Sub-Saharan Africa ,Lower middle income,7,True,0.9817,12.9,-0.3268,95.97,0.3543,57.14,0.118,82.14,-0.5168,83.87,-0.4241,90.42,53,110,74,134,159,115
MHL,Marshall Islands (the),East Asia & Pacific,Upper middle income,4,False,,0.0,-0.3383,58.87,,0.0,-0.385,53.57,6.5091,38.71,-1.068,1.2,,111,,177,6,164
BGD,Bangladesh,South Asia,Lower middle income,8,True,-0.0857,58.06,-0.3505,94.35,0.1152,57.14,2.0367,78.57,-1.1123,67.74,-0.9041,86.23,92,112,100,69,194,153
DZA,Algeria,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,7,True,-1.0,16.13,-0.358,96.77,0.7259,57.14,1.0166,85.71,-0.5805,87.1,-0.8675,88.02,129,113,52,81,164,148
KGZ,Kyrgyz Republic,Europe & Central Asia,Lower middle income,7,True,1.0669,12.9,-0.3682,97.58,-0.504,57.14,0.6198,89.29,-0.5278,67.74,-0.4567,83.83,52,114,136,96,162,117
CPV,Cabo Verde,Sub-Saharan Africa ,Upper middle income,6,True,,0.0,-0.3759,87.1,-1.7408,35.71,-0.3353,85.71,0.5995,83.87,-0.4901,74.85,,115,182,172,70,119
NAM,Namibia,Sub-Saharan Africa ,Lower middle income,7,True,0.3599,16.13,-0.3776,96.77,0.0413,21.43,0.4494,92.86,-0.3619,87.1,-0.3827,86.23,71,116,106,102,149,110
NGA,Nigeria,Sub-Saharan Africa ,Lower middle income,8,True,-0.0813,96.77,-0.3827,95.97,1.1991,57.14,3.5333,67.86,-0.962,83.87,-0.9079,82.63,90,117,39,53,184,154
PRY,Paraguay,Latin America & Caribbean ,Upper middle income,7,True,-0.62,16.13,-0.383,93.55,-0.0925,57.14,-0.1858,85.71,-0.4219,83.87,-0.3897,84.43,112,118,113,158,153,111
PSE,Palestine,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,5,True,2.4675,12.9,-0.4026,52.42,0.629,35.71,0.8471,67.86,2.8699,41.94,-0.5746,1.8,23,119,60,86,22,127
VUT,Vanuatu,East Asia & Pacific,Lower middle income,5,True,,0.0,-0.4038,59.68,,0.0,0.1515,60.71,2.7953,58.06,-0.7689,1.2,,120,,130,23,139
GHA,Ghana,Sub-Saharan Africa ,Lower middle income,7,True,-0.5837,16.13,-0.4177,95.97,0.2635,57.14,0.2474,85.71,-0.6608,83.87,-0.7629,86.83,108,121,79,119,166,138
TTO,Trinidad and Tobago,Latin America & Caribbean ,High income,6,True,-0.124,12.9,-0.4238,95.16,-0.1927,35.71,-0.8536,78.57,0.1634,64.52,-0.6864,79.04,97,122,120,193,104,132
LCA,Saint Lucia,Latin America & Caribbean ,Upper middle income,5,True,-1.0,12.9,-0.4414,59.68,-0.9558,28.57,0.3274,60.71,4.023,38.71,-0.5408,2.4,129,123,163,113,20,125
NPL,Nepal,South Asia,Lower middle income,7,True,0.3806,12.9,-0.4666,92.74,0.6484,57.14,-0.1623,82.14,-0.24,83.87,-0.7954,80.84,70,124,59,155,144,142
LAO,Laos,East Asia & Pacific,Lower middle income,7,True,-1.0,16.13,-0.4668,93.55,-1.3187,57.14,0.2759,71.43,0.2862,87.1,-0.7227,76.65,129,125,179,116,96,135
TJK,Tajikistan,Europe & Central Asia,Lower middle income,7,True,-0.7438,12.9,-0.4671,95.16,-1.1271,57.14,-0.1471,85.71,-0.064,67.74,-0.7241,82.63,116,126,172,154,126,136
KHM,Cambodia,East Asia & Pacific,Lower middle income,7,True,0.6367,16.13,-0.4746,92.74,-0.4848,57.14,0.3965,85.71,-0.2362,87.1,-0.3555,86.83,63,127,135,107,142,109
GAB,Gabon,Sub-Saharan Africa ,Upper middle income,6,True,-0.801,12.9,-0.4836,59.68,0.196,57.14,0.1622,60.71,-0.2589,58.06,-0.8957,2.4,121,128,89,128,145,151
SLV,El Salvador,Latin America & Caribbean ,Upper middle income,7,True,-1.0,12.9,-0.4844,94.35,0.5222,57.14,-0.3958,92.86,-0.4765,83.87,-0.6683,87.43,129,129,64,179,157,129
BWA,Botswana,Sub-Saharan Africa ,Upper middle income,7,True,-0.92,16.13,-0.5135,95.97,0.2156,57.14,0.1733,78.57,-0.0172,87.1,-0.194,86.23,124,130,86,127,121,101
GUY,Guyana,Latin America & Caribbean ,High income,6,True,-0.0704,12.9,-0.5153,59.68,-0.464,57.14,3.2266,60.71,0.7154,38.71,-0.5116,2.4,89,131,134,56,59,122
TZA,Tanzania,Sub-Saharan Africa ,Lower middle income,7,True,-0.8304,12.9,-0.5505,91.94,-0.2581,57.14,0.2031,85.71,-0.4432,87.1,-0.8634,85.03,122,132,124,124,156,147
BLZ,Belize,Latin America & Caribbean ,Upper middle income,5,True,-0.0893,12.9,-0.5551,59.68,-0.7421,35.71,31.8123,71.43,1.6998,38.71,-0.0758,1.8,93,133,153,3,30,93
WSM,Samoa,East Asia & Pacific,Upper middle income,5,True,,0.0,-0.5573,59.68,,0.0,0.2569,71.43,6.1473,38.71,-0.7138,1.8,,134,,118,9,134
PNG,Papua New Guinea,East Asia & Pacific,Lower middle income,6,True,,0.0,-0.5593,59.68,-1.2069,57.14,-1.0273,53.57,0.2716,38.71,-2.0726,1.8,,135,176,197,97,188
DJI,Djibouti,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,5,True,,0.0,-0.5608,59.68,-1.6661,35.71,0.3152,64.29,0.0292,58.06,-1.0906,2.4,,136,181,114,118,166
GRD,Grenada,Latin America & Caribbean ,Upper middle income,5,True,,0.0,-0.5738,59.68,-1.0423,7.14,0.2351,53.57,4.0392,38.71,0.1167,1.8,,137,166,120,18,82
SUR,Suriname,Latin America & Caribbean ,Upper middle income,6,True,,0.0,-0.5843,59.68,-1.2026,57.14,0.1549,60.71,0.6653,38.71,0.1309,2.4,,138,175,129,63,80
