block_a,block_b,var_a,var_b,rho_spearman,pvalue_raw,pvalue_fdr,pvalue_holm,significance,n_pairs
tech_infrastructure_control,ecosystem_outcome,wipo_sp11_score,oxford_ind_regulatory_quality,0.9316,0.0,0.0,0.0,survives_fdr_and_holm,131
institutional_control,ecosystem_outcome,wipo_ruleol_score,oxford_ind_regulatory_quality,0.9312,0.0,0.0,0.0,survives_fdr_and_holm,131
tech_infrastructure_control,ecosystem_outcome,wipo_in_2_2_2_score,oxford_ind_stem_graduates,0.9309,0.0,0.0,0.0,survives_fdr_and_holm,119
tech_infrastructure_control,ecosystem_outcome,wipo_in_3_3_3_score,wipo_out_6_3_5_score,0.9309,0.0,0.0,0.0,survives_fdr_and_holm,139
tech_infrastructure_control,ecosystem_outcome,wipo_ictuse_score,oxford_data_infrastructure,0.9293,0.0,0.0,0.0,survives_fdr_and_holm,131
institutional_control,ecosystem_outcome,wipo_goveff_score,oxford_ind_regulatory_quality,0.9292,0.0,0.0,0.0,survives_fdr_and_holm,131
tech_infrastructure_control,ecosystem_outcome,wipo_in_score,oxford_infrastructure,0.9287,0.0,0.0,0.0,survives_fdr_and_holm,140
tech_infrastructure_control,ecosystem_outcome,wipo_c_hitechmanufind2_score,wipo_out_6_2_4_score,0.9272,0.0,0.0,0.0,survives_fdr_and_holm,110
tech_infrastructure_control,ecosystem_outcome,wipo_sp31_score,oxford_ind_telecom_infrastructure,0.9267,0.0,0.0,0.0,survives_fdr_and_holm,131
tech_infrastructure_control,ecosystem_outcome,wipo_in_5_2_5_score,wipo_out_6_1_2_score,0.9267,0.0,0.0,0.0,survives_fdr_and_holm,125
socioeconomic_control,ecosystem_outcome,wb_secure_servers_per_1m,wipo_out_7_3_1_score,0.9262,0.0,0.0,0.0,survives_fdr_and_holm,141
tech_infrastructure_control,ecosystem_outcome,wipo_sp63_score,wipo_out_6_3_score,0.9261,0.0,0.0,0.0,survives_fdr_and_holm,132
tech_infrastructure_control,ecosystem_outcome,wipo_cctld_score,wipo_out_7_3_1_score,0.9255,0.0,0.0,0.0,survives_fdr_and_holm,132
tech_infrastructure_control,ecosystem_outcome,wipo_sp31_score,oxford_data_infrastructure,0.9254,0.0,0.0,0.0,survives_fdr_and_holm,131
tech_infrastructure_control,ecosystem_outcome,wipo_in_score,oxford_ind_govt_effectiveness,0.9254,0.0,0.0,0.0,survives_fdr_and_holm,140
tech_infrastructure_control,ecosystem_outcome,wipo_in_3_1_score,oxford_data_infrastructure,0.9253,0.0,0.0,0.0,survives_fdr_and_holm,140
institutional_control,ecosystem_outcome,wb_government_effectiveness,oxford_ind_regulatory_quality,0.9236,0.0,0.0,0.0,survives_fdr_and_holm,191
tech_infrastructure_control,ecosystem_outcome,wipo_sp23_score,oxford_technology_sector,0.9232,0.0,0.0,0.0,survives_fdr_and_holm,131
tech_infrastructure_control,ecosystem_outcome,wipo_in_score,oxford_data_infrastructure,0.9223,0.0,0.0,0.0,survives_fdr_and_holm,140
socioeconomic_control,ecosystem_outcome,wb_mobile_subscriptions_per100,oxford_ind_mobile_subscriptions,0.9209,0.0,0.0,0.0,survives_fdr_and_holm,192
institutional_control,ecosystem_outcome,wipo_ruleol_score,oxford_ind_govt_effectiveness,0.9209,0.0,0.0,0.0,survives_fdr_and_holm,131
tech_infrastructure_control,ecosystem_outcome,wipo_gentld_score,wipo_out_7_3_1_score,0.9189,0.0,0.0,0.0,survives_fdr_and_holm,132
tech_infrastructure_control,ecosystem_outcome,wipo_ictservexp_score,wipo_out_6_3_4_score,0.9188,0.0,0.0,0.0,survives_fdr_and_holm,131
institutional_control,ecosystem_outcome,wipo_goveff_score,wipo_out_7_2_3_score,0.9185,0.0,0.0,0.0,survives_fdr_and_holm,65
tech_infrastructure_control,ecosystem_outcome,wipo_sp73_score,wipo_out_7_3_1_score,0.9185,0.0,0.0,0.0,survives_fdr_and_holm,132
tech_infrastructure_control,ecosystem_outcome,wipo_in_3_1_score,wipo_gii_score,0.9182,0.0,0.0,0.0,survives_fdr_and_holm,141
tech_infrastructure_control,ecosystem_outcome,wipo_in_3_1_score,oxford_infrastructure,0.9175,0.0,0.0,0.0,survives_fdr_and_holm,140
socioeconomic_control,ecosystem_outcome,wb_secure_servers_per_1m,wipo_out_7_3_2_score,0.9172,0.0,0.0,0.0,survives_fdr_and_holm,141
institutional_control,ecosystem_outcome,wb_control_of_corruption,oxford_ind_govt_effectiveness,0.9171,0.0,0.0,0.0,survives_fdr_and_holm,191
tech_infrastructure_control,ecosystem_outcome,wipo_gerdperf_score,wipo_out_6_1_2_score,0.9168,0.0,0.0,0.0,survives_fdr_and_holm,85
tech_infrastructure_control,ecosystem_outcome,wipo_ictuse_score,wipo_out_7_2_3_score,0.9165,0.0,0.0,0.0,survives_fdr_and_holm,65
tech_infrastructure_control,ecosystem_outcome,wipo_in_score,wipo_out_7_2_3_score,0.9159,0.0,0.0,0.0,survives_fdr_and_holm,65
tech_infrastructure_control,ecosystem_outcome,wipo_entmedia_score,oxford_data_infrastructure,0.9149,0.0,0.0,0.0,survives_fdr_and_holm,62
tech_infrastructure_control,ecosystem_outcome,wipo_in_3_score,wipo_gii_score,0.9144,0.0,0.0,0.0,survives_fdr_and_holm,141
tech_infrastructure_control,ecosystem_outcome,wipo_govolserv_score,oxford_ind_online_services,0.9138,0.0,0.0,0.0,survives_fdr_and_holm,131
institutional_control,ecosystem_outcome,wipo_regqua_score,wipo_out_7_2_3_score,0.9129,0.0,0.0,0.0,survives_fdr_and_holm,65
tech_infrastructure_control,ecosystem_outcome,wipo_in_5_2_5_score,wipo_patfam_score,0.9129,0.0,0.0,0.0,survives_fdr_and_holm,127
tech_infrastructure_control,ecosystem_outcome,wipo_in_2_3_score,oxford_technology_sector,0.9125,0.0,0.0,0.0,survives_fdr_and_holm,140
socioeconomic_control,ecosystem_outcome,anthropic_gdp_total,oxford_ind_ai_research_papers_log,0.9124,0.0,0.0,0.0,survives_fdr_and_holm,169
tech_infrastructure_control,ecosystem_outcome,wipo_in_1_2_1_score,wipo_out_7_2_3_score,0.9122,0.0,0.0,0.0,survives_fdr_and_holm,65
institutional_control,ecosystem_outcome,wb_regulatory_quality,wipo_out_7_2_3_score,0.9121,0.0,0.0,0.0,survives_fdr_and_holm,65
institutional_control,ecosystem_outcome,wb_rule_of_law,oxford_ind_govt_effectiveness,0.9117,0.0,0.0,0.0,survives_fdr_and_holm,191
tech_infrastructure_control,ecosystem_outcome,wipo_resppop_score,wipo_out_6_1_2_score,0.9099,0.0,0.0,0.0,survives_fdr_and_holm,99
tech_infrastructure_control,ecosystem_outcome,wipo_sp11_score,wipo_out_7_2_3_score,0.9096,0.0,0.0,0.0,survives_fdr_and_holm,65
socioeconomic_control,ecosystem_outcome,wb_gdp_per_capita_ppp,oxford_ind_telecom_infrastructure,0.9095,0.0,0.0,0.0,survives_fdr_and_holm,184
institutional_control,ecosystem_outcome,wb_government_effectiveness,wipo_out_7_2_3_score,0.9093,0.0,0.0,0.0,survives_fdr_and_holm,65
tech_infrastructure_control,ecosystem_outcome,wipo_in_1_1_1_score,oxford_ind_govt_effectiveness,0.9092,0.0,0.0,0.0,survives_fdr_and_holm,140
tech_infrastructure_control,ecosystem_outcome,wipo_in_3_1_1_score,oxford_ind_telecom_infrastructure,0.9088,0.0,0.0,0.0,survives_fdr_and_holm,139
tech_infrastructure_control,ecosystem_outcome,wipo_in_3_1_score,oxford_ai_infrastructure,0.9086,0.0,0.0,0.0,survives_fdr_and_holm,140
institutional_control,ecosystem_outcome,wipo_regqua_score,oxford_ind_govt_effectiveness,0.9079,0.0,0.0,0.0,survives_fdr_and_holm,131
socioeconomic_control,ecosystem_outcome,wb_gdp_per_capita_ppp,oxford_data_infrastructure,0.9078,0.0,0.0,0.0,survives_fdr_and_holm,184
tech_infrastructure_control,ecosystem_outcome,wipo_ictuse_score,oxford_infrastructure,0.9072,0.0,0.0,0.0,survives_fdr_and_holm,131
tech_infrastructure_control,ecosystem_outcome,wipo_in_1_2_score,wipo_out_7_2_3_score,0.907,0.0,0.0,0.0,survives_fdr_and_holm,65
tech_infrastructure_control,ecosystem_outcome,wipo_in_1_1_1_score,oxford_ind_regulatory_quality,0.9068,0.0,0.0,0.0,survives_fdr_and_holm,140
tech_infrastructure_control,ecosystem_outcome,wipo_in_1_score,oxford_ind_regulatory_quality,0.9064,0.0,0.0,0.0,survives_fdr_and_holm,140
institutional_control,ecosystem_outcome,wb_rule_of_law,oxford_ind_regulatory_quality,0.906,0.0,0.0,0.0,survives_fdr_and_holm,191
tech_infrastructure_control,ecosystem_outcome,wipo_ictuse_score,oxford_ind_ict_skills,0.9059,0.0,0.0,0.0,survives_fdr_and_holm,126
tech_infrastructure_control,ecosystem_outcome,wipo_in_3_1_score,oxford_ind_online_services,0.9055,0.0,0.0,0.0,survives_fdr_and_holm,140
tech_infrastructure_control,ecosystem_outcome,wb_fixed_broadband_per100,oxford_ind_telecom_infrastructure,0.9054,0.0,0.0,0.0,survives_fdr_and_holm,191
socioeconomic_control,ecosystem_outcome,anthropic_gdp_total,oxford_compute_capacity,0.9052,0.0,0.0,0.0,survives_fdr_and_holm,171
tech_infrastructure_control,ecosystem_outcome,wipo_entmedia_score,oxford_ind_regulatory_quality,0.905,0.0,0.0,0.0,survives_fdr_and_holm,62
tech_infrastructure_control,ecosystem_outcome,wipo_ictuse_score,oxford_ind_ict_trade_goods_log,0.9048,0.0,0.0,0.0,survives_fdr_and_holm,131
tech_infrastructure_control,ecosystem_outcome,wipo_ictuse_score,oxford_ind_github_activity_log,0.9046,0.0,0.0,0.0,survives_fdr_and_holm,131
tech_infrastructure_control,ecosystem_outcome,wipo_entmedia_score,oxford_ind_govt_effectiveness,0.9035,0.0,0.0,0.0,survives_fdr_and_holm,62
tech_infrastructure_control,ecosystem_outcome,wipo_in_3_1_score,oxford_ind_telecom_infrastructure,0.9034,0.0,0.0,0.0,survives_fdr_and_holm,140
tech_infrastructure_control,ecosystem_outcome,wipo_in_3_score,oxford_infrastructure,0.9032,0.0,0.0,0.0,survives_fdr_and_holm,140
tech_infrastructure_control,ecosystem_outcome,wipo_in_3_score,oxford_data_infrastructure,0.903,0.0,0.0,0.0,survives_fdr_and_holm,140
tech_infrastructure_control,ecosystem_outcome,wipo_resppop_score,wipo_gii_score,0.9028,0.0,0.0,0.0,survives_fdr_and_holm,108
tech_infrastructure_control,ecosystem_outcome,wipo_in_score,oxford_maturity,0.9027,0.0,0.0,0.0,survives_fdr_and_holm,140
tech_infrastructure_control,ecosystem_outcome,wipo_in_3_1_1_score,oxford_ind_households_internet,0.9024,0.0,0.0,0.0,survives_fdr_and_holm,139
institutional_control,ecosystem_outcome,wipo_goveff_score,wipo_gii_score,0.9022,0.0,0.0,0.0,survives_fdr_and_holm,132
tech_infrastructure_control,ecosystem_outcome,wipo_sp31_score,wipo_gii_score,0.9022,0.0,0.0,0.0,survives_fdr_and_holm,132
institutional_control,ecosystem_outcome,wipo_ruleol_score,wipo_out_7_2_3_score,0.9016,0.0,0.0,0.0,survives_fdr_and_holm,65
tech_infrastructure_control,ecosystem_outcome,wipo_ictuse_score,wipo_gii_score,0.9016,0.0,0.0,0.0,survives_fdr_and_holm,132
tech_infrastructure_control,ecosystem_outcome,wipo_ictuse_score,wipo_out_7_3_1_score,0.9012,0.0,0.0,0.0,survives_fdr_and_holm,132
institutional_control,ecosystem_outcome,wb_control_of_corruption,wipo_out_7_2_3_score,0.9011,0.0,0.0,0.0,survives_fdr_and_holm,65
tech_infrastructure_control,ecosystem_outcome,wipo_cultservexp_score,wipo_out_7_2_1_score,0.9002,0.0,0.0,0.0,survives_fdr_and_holm,112
tech_infrastructure_control,ecosystem_outcome,wipo_c_eccomplexity_score,wipo_out_6_3_score,0.9001,0.0,0.0,0.0,survives_fdr_and_holm,121
tech_infrastructure_control,ecosystem_outcome,wipo_ictacc_score,oxford_ind_ict_skills,0.8999,0.0,0.0,0.0,survives_fdr_and_holm,126
tech_infrastructure_control,ecosystem_outcome,wipo_in_3_1_1_score,oxford_infrastructure,0.8997,0.0,0.0,0.0,survives_fdr_and_holm,139
tech_infrastructure_control,ecosystem_outcome,wb_electric_consumption_kwh_pc,oxford_data_infrastructure,0.8992,0.0,0.0,0.0,survives_fdr_and_holm,146
socioeconomic_control,ecosystem_outcome,wb_gdp_current_usd,oxford_ind_ai_research_papers_log,0.8992,0.0,0.0,0.0,survives_fdr_and_holm,189
tech_infrastructure_control,ecosystem_outcome,wipo_in_score,oxford_ai_infrastructure,0.8991,0.0,0.0,0.0,survives_fdr_and_holm,140
tech_infrastructure_control,ecosystem_outcome,wipo_in_1_2_2_score,wipo_out_7_2_3_score,0.8982,0.0,0.0,0.0,survives_fdr_and_holm,65
tech_infrastructure_control,ecosystem_outcome,wipo_in_score,oxford_ind_regulatory_quality,0.8981,0.0,0.0,0.0,survives_fdr_and_holm,140
tech_infrastructure_control,ecosystem_outcome,wipo_sp31_score,oxford_infrastructure,0.8978,0.0,0.0,0.0,survives_fdr_and_holm,131
tech_infrastructure_control,ecosystem_outcome,wipo_sp23_score,oxford_innovation_capacity,0.8974,0.0,0.0,0.0,survives_fdr_and_holm,131
tech_infrastructure_control,ecosystem_outcome,wipo_in_score,oxford_size,0.897,0.0,0.0,0.0,survives_fdr_and_holm,140
tech_infrastructure_control,ecosystem_outcome,wipo_in_1_1_score,wipo_out_7_2_3_score,0.8967,0.0,0.0,0.0,survives_fdr_and_holm,65
tech_infrastructure_control,ecosystem_outcome,wipo_in_2_3_1_score,wipo_gii_score,0.8966,0.0,0.0,0.0,survives_fdr_and_holm,118
tech_infrastructure_control,ecosystem_outcome,wipo_in_3_1_score,oxford_data_quality,0.8965,0.0,0.0,0.0,survives_fdr_and_holm,140
tech_infrastructure_control,ecosystem_outcome,wipo_sp23_score,wipo_out_6_1_5_score,0.8962,0.0,0.0,0.0,survives_fdr_and_holm,132
tech_infrastructure_control,ecosystem_outcome,wipo_in_3_1_2_score,oxford_ind_telecom_infrastructure,0.8957,0.0,0.0,0.0,survives_fdr_and_holm,140
institutional_control,ecosystem_outcome,wb_rule_of_law,wipo_out_7_2_3_score,0.8954,0.0,0.0,0.0,survives_fdr_and_holm,65
tech_infrastructure_control,ecosystem_outcome,wipo_sp61_score,wipo_patorig_score,0.8949,0.0,0.0,0.0,survives_fdr_and_holm,131
adoption_diffusion,ecosystem_outcome,anthropic_ai_autonomy_mean,wipo_out_7_2_3_score,-0.894,0.0,0.0,0.0,survives_fdr_and_holm,60
tech_infrastructure_control,ecosystem_outcome,wipo_knowintsemp_score,oxford_ind_github_activity_log,0.8934,0.0,0.0,0.0,survives_fdr_and_holm,123
tech_infrastructure_control,ecosystem_outcome,wipo_in_score,oxford_ind_telecom_infrastructure,0.8934,0.0,0.0,0.0,survives_fdr_and_holm,140
institutional_control,ecosystem_outcome,wb_control_of_corruption,oxford_ind_regulatory_quality,0.8931,0.0,0.0,0.0,survives_fdr_and_holm,191
tech_infrastructure_control,ecosystem_outcome,wipo_in_2_3_4_score,oxford_ind_eng_tech_higher_ed_quality,0.8928,0.0,0.0,0.0,survives_fdr_and_holm,140
tech_infrastructure_control,ecosystem_outcome,wipo_envperf_score,wipo_out_7_3_1_score,0.8924,0.0,0.0,0.0,survives_fdr_and_holm,130
tech_infrastructure_control,ecosystem_outcome,wipo_in_2_3_score,wipo_out_6_1_5_score,0.8924,0.0,0.0,0.0,survives_fdr_and_holm,141
tech_infrastructure_control,ecosystem_outcome,wb_electric_consumption_kwh_pc,oxford_ind_telecom_infrastructure,0.8923,0.0,0.0,0.0,survives_fdr_and_holm,146
socioeconomic_control,ecosystem_outcome,wb_secure_servers_per_1m,wipo_out_7_3_score,0.8916,0.0,0.0,0.0,survives_fdr_and_holm,141
tech_infrastructure_control,ecosystem_outcome,wipo_qsrank_score,oxford_ind_eng_tech_higher_ed_quality,0.8916,0.0,0.0,0.0,survives_fdr_and_holm,131
socioeconomic_control,ecosystem_outcome,wb_gdp_per_capita_ppp,oxford_ind_ict_skills,0.8915,0.0,0.0,0.0,survives_fdr_and_holm,174
tech_infrastructure_control,ecosystem_outcome,wipo_gerdperf_score,wipo_out_score,0.8914,0.0,0.0,0.0,survives_fdr_and_holm,89
tech_infrastructure_control,ecosystem_outcome,wipo_in_score,oxford_data_quality,0.8913,0.0,0.0,0.0,survives_fdr_and_holm,140
tech_infrastructure_control,ecosystem_outcome,wipo_ictuse_score,oxford_data_quality,0.8913,0.0,0.0,0.0,survives_fdr_and_holm,131
tech_infrastructure_control,ecosystem_outcome,wipo_resppop_score,wipo_out_score,0.891,0.0,0.0,0.0,survives_fdr_and_holm,108
tech_infrastructure_control,ecosystem_outcome,wipo_in_3_1_1_score,oxford_data_infrastructure,0.8905,0.0,0.0,0.0,survives_fdr_and_holm,139
tech_infrastructure_control,ecosystem_outcome,wipo_knowintsemp_score,wipo_out_7_3_1_score,0.89,0.0,0.0,0.0,survives_fdr_and_holm,124
tech_infrastructure_control,ecosystem_outcome,wipo_sp23_score,wipo_gii_score,0.8895,0.0,0.0,0.0,survives_fdr_and_holm,132
tech_infrastructure_control,ecosystem_outcome,wipo_envperf_score,oxford_ind_github_activity_log,0.8895,0.0,0.0,0.0,survives_fdr_and_holm,130
tech_infrastructure_control,ecosystem_outcome,wipo_gerdperf_score,wipo_out_6_score,0.8893,0.0,0.0,0.0,survives_fdr_and_holm,89
tech_infrastructure_control,ecosystem_outcome,wb_electric_consumption_kwh_pc,oxford_ind_ict_skills,0.8892,0.0,0.0,0.0,survives_fdr_and_holm,137
tech_infrastructure_control,ecosystem_outcome,wipo_sp31_score,oxford_data_quality,0.8887,0.0,0.0,0.0,survives_fdr_and_holm,131
tech_infrastructure_control,ecosystem_outcome,wipo_sp73_score,oxford_ind_github_activity_log,0.8887,0.0,0.0,0.0,survives_fdr_and_holm,131
tech_infrastructure_control,ecosystem_outcome,wipo_in_2_3_score,oxford_ai_infrastructure,0.8881,0.0,0.0,0.0,survives_fdr_and_holm,140
tech_infrastructure_control,ecosystem_outcome,wipo_in_2_3_score,oxford_innovation_capacity,0.888,0.0,0.0,0.0,survives_fdr_and_holm,140
institutional_control,ecosystem_outcome,wipo_goveff_score,oxford_data_infrastructure,0.8878,0.0,0.0,0.0,survives_fdr_and_holm,131
socioeconomic_control,ecosystem_outcome,wb_gdp_per_capita_ppp,oxford_infrastructure,0.8872,0.0,0.0,0.0,survives_fdr_and_holm,184
tech_infrastructure_control,ecosystem_outcome,wipo_entmedia_score,oxford_governance_ethics,0.8871,0.0,0.0,0.0,survives_fdr_and_holm,62
tech_infrastructure_control,ecosystem_outcome,wipo_sp31_score,oxford_ind_online_services,0.8871,0.0,0.0,0.0,survives_fdr_and_holm,131
tech_infrastructure_control,ecosystem_outcome,wipo_gerdperf_score,wipo_gii_score,0.8867,0.0,0.0,0.0,survives_fdr_and_holm,89
tech_infrastructure_control,ecosystem_outcome,wipo_resppop_score,wipo_pctpatorig_score,0.8867,0.0,0.0,0.0,survives_fdr_and_holm,98
tech_infrastructure_control,ecosystem_outcome,wipo_in_2_3_score,oxford_total_score,0.8867,0.0,0.0,0.0,survives_fdr_and_holm,140
socioeconomic_control,ecosystem_outcome,wb_researchers_rd_per_million,wipo_gii_score,0.8866,0.0,0.0,0.0,survives_fdr_and_holm,103
socioeconomic_control,ecosystem_outcome,wb_secure_servers_per_1m,wipo_gii_score,0.8865,0.0,0.0,0.0,survives_fdr_and_holm,141
tech_infrastructure_control,ecosystem_outcome,wb_electric_consumption_kwh_pc,oxford_infrastructure,0.8864,0.0,0.0,0.0,survives_fdr_and_holm,146
tech_infrastructure_control,ecosystem_outcome,wipo_in_2_3_4_score,oxford_technology_sector,0.8861,0.0,0.0,0.0,survives_fdr_and_holm,140
institutional_control,ecosystem_outcome,wb_government_effectiveness,wipo_gii_score,0.8858,0.0,0.0,0.0,survives_fdr_and_holm,141
tech_infrastructure_control,ecosystem_outcome,wipo_in_2_3_1_score,wipo_out_6_1_2_score,0.8855,0.0,0.0,0.0,survives_fdr_and_holm,106
tech_infrastructure_control,ecosystem_outcome,wipo_ictuse_score,oxford_ind_ict_trade_services_log,0.8855,0.0,0.0,0.0,survives_fdr_and_holm,131
tech_infrastructure_control,ecosystem_outcome,wb_internet_penetration,oxford_ind_households_internet,0.885,0.0,0.0,0.0,survives_fdr_and_holm,186
tech_infrastructure_control,ecosystem_outcome,wipo_sp11_score,wipo_gii_score,0.885,0.0,0.0,0.0,survives_fdr_and_holm,132
tech_infrastructure_control,ecosystem_outcome,wipo_in_score,oxford_ind_ict_trade_goods_log,0.8849,0.0,0.0,0.0,survives_fdr_and_holm,140
tech_infrastructure_control,ecosystem_outcome,wipo_ictuse_score,oxford_size,0.8849,0.0,0.0,0.0,survives_fdr_and_holm,131
tech_infrastructure_control,ecosystem_outcome,wipo_ictuse_score,oxford_maturity,0.8844,0.0,0.0,0.0,survives_fdr_and_holm,131
tech_infrastructure_control,ecosystem_outcome,wipo_in_4_score,wipo_gii_score,0.8844,0.0,0.0,0.0,survives_fdr_and_holm,141
tech_infrastructure_control,ecosystem_outcome,wipo_resppop_score,oxford_ind_github_activity_log,0.8844,0.0,0.0,0.0,survives_fdr_and_holm,107
tech_infrastructure_control,ecosystem_outcome,wipo_resppop_score,wipo_out_7_3_2_score,0.8843,0.0,0.0,0.0,survives_fdr_and_holm,108
